"rank";"LName";"X";"Y";"Z";"facies";"Porosity";"sel"
"1";1;1;35;645;-996.25;3;0.18;TRUE
"2";2;1;35;645;-996.75;3;0.19;TRUE
"3";3;1;35;645;-997.25;3;0.17;TRUE
"4";4;1;35;645;-997.75;3;0.17;TRUE
"5";5;1;35;645;-998.25;3;0.16;TRUE
"6";6;1;35;645;-998.75;3;0.16;TRUE
"7";7;1;35;645;-999.25;3;0.14;TRUE
"8";8;1;35;645;-999.75;3;0.14;TRUE
"9";9;1;35;645;-1000.25;4;0.01;FALSE
"10";10;1;35;645;-1000.75;3;0.15;TRUE
"11";11;1;35;645;-1001.25;3;0.15;TRUE
"12";12;1;35;645;-1001.75;3;0.15;TRUE
"13";13;1;35;645;-1002.25;3;0.15;TRUE
"14";14;1;35;645;-1002.75;3;0.16;TRUE
"15";15;1;35;645;-1003.25;3;0.16;TRUE
"16";16;1;35;645;-1003.75;3;0.16;TRUE
"17";17;1;35;645;-1004.25;3;0.15;TRUE
"18";18;1;35;645;-1004.75;3;0.15;TRUE
"19";19;1;35;645;-1005.25;3;0.14;TRUE
"20";20;1;35;645;-1005.75;3;0.16;TRUE
"21";21;1;35;645;-1006.25;3;0.15;TRUE
"22";22;1;35;645;-1006.75;3;0.16;TRUE
"23";23;1;35;645;-1007.25;1;0.32;FALSE
"24";24;1;35;645;-1007.75;1;0.32;FALSE
"25";25;1;35;645;-1008.25;1;0.34;FALSE
"26";26;1;35;645;-1008.75;1;0.34;FALSE
"27";27;1;35;645;-1009.25;1;0.35;FALSE
"28";28;1;35;645;-1009.75;1;0.36;FALSE
"29";29;1;35;645;-1010.25;1;0.36;FALSE
"30";30;1;35;645;-1010.75;1;0.34;FALSE
"31";31;1;35;645;-1011.25;1;0.35;FALSE
"32";32;1;35;645;-1011.75;1;0.36;FALSE
"33";33;1;35;645;-1012.25;1;0.35;FALSE
"34";34;1;35;645;-1012.75;1;0.36;FALSE
"35";35;1;35;645;-1013.25;1;0.37;FALSE
"36";36;1;35;645;-1013.75;1;0.38;FALSE
"37";37;1;35;645;-1014.25;1;0.4;FALSE
"38";38;1;35;645;-1014.75;1;0.4;FALSE
"39";39;1;35;645;-1015.25;1;0.4;FALSE
"40";40;1;35;645;-1015.75;3;0.15;TRUE
"41";41;1;35;645;-1016.25;3;0.15;TRUE
"42";42;1;35;645;-1016.75;3;0.16;TRUE
"43";43;1;35;645;-1017.25;3;0.16;TRUE
"44";44;1;35;645;-1017.75;3;0.16;TRUE
"45";45;1;35;645;-1018.25;3;0.16;TRUE
"46";46;1;35;645;-1018.75;3;0.15;TRUE
"47";47;1;35;645;-1019.25;3;0.16;TRUE
"48";48;1;35;645;-1019.75;2;0.33;FALSE
"49";49;1;35;645;-1020.25;2;0.33;FALSE
"50";50;1;35;645;-1020.75;2;0.33;FALSE
"51";51;1;35;645;-1021.25;2;0.33;FALSE
"52";52;1;35;645;-1021.75;2;0.32;FALSE
"53";53;1;35;645;-1022.25;3;0.17;TRUE
"54";54;1;35;645;-1022.75;2;0.32;FALSE
"55";55;1;35;645;-1023.25;2;0.31;FALSE
"56";56;1;35;645;-1023.75;3;0.19;TRUE
"57";57;1;35;645;-1024.25;3;0.2;TRUE
"58";58;1;35;645;-1024.75;4;0.01;FALSE
"59";59;1;35;645;-1025.25;4;0.01;FALSE
"60";60;1;35;645;-1025.75;4;0.01;FALSE
"61";61;1;35;645;-1026.25;4;0.01;FALSE
"62";62;1;35;645;-1026.75;4;0.01;FALSE
"63";63;1;35;645;-1027.25;4;0.01;FALSE
"64";64;1;35;645;-1027.75;4;0.01;FALSE
"65";65;1;35;645;-1028.25;4;0.01;FALSE
"66";66;1;35;645;-1028.75;4;0.01;FALSE
"67";67;1;35;645;-1029.25;4;0.01;FALSE
