rank;LName;X;Y;Z;facies;Porosity;P
;;m;m;m;;;
N;N;R+;R+;D;K;R;R+
;;;;;;;
;;;;;;;
;;;;;;;Normal score
1;1;35;645;-996.25;3;0.18;-0.7094725
2;1;35;645;-996.75;3;0.19;-0.5040619
3;1;35;645;-997.25;3;0.17;-0.8825121
4;1;35;645;-997.75;3;0.17;-0.880514
5;1;35;645;-998.25;3;0.16;-0.9918044
6;1;35;645;-998.75;3;0.16;-0.9895916
7;1;35;645;-999.25;3;0.14;-1.079818
8;1;35;645;-999.75;3;0.14;-1.077395
9;1;35;645;-1000.25;4;0.01;-3.460293
10;1;35;645;-1000.75;3;0.15;-1.053501
11;1;35;645;-1001.25;3;0.15;-1.051145
12;1;35;645;-1001.75;3;0.15;-1.048794
13;1;35;645;-1002.25;3;0.15;-1.04645
14;1;35;645;-1002.75;3;0.16;-0.9873836
15;1;35;645;-1003.25;3;0.16;-0.9851804
16;1;35;645;-1003.75;3;0.16;-0.9829819
17;1;35;645;-1004.25;3;0.15;-1.04411
18;1;35;645;-1004.75;3;0.15;-1.041777
19;1;35;645;-1005.25;3;0.14;-1.074978
20;1;35;645;-1005.75;3;0.16;-0.9807882
21;1;35;645;-1006.25;3;0.15;-1.039449
22;1;35;645;-1006.75;3;0.16;-0.9785992
23;1;35;645;-1007.25;1;0.32;0.7182123
24;1;35;645;-1007.75;1;0.32;0.7199668
25;1;35;645;-1008.25;1;0.34;0.8470679
26;1;35;645;-1008.75;1;0.34;0.8490089
27;1;35;645;-1009.25;1;0.35;0.9315724
28;1;35;645;-1009.75;1;0.36;1.041777
29;1;35;645;-1010.25;1;0.36;1.04411
30;1;35;645;-1010.75;1;0.34;0.8509532
31;1;35;645;-1011.25;1;0.35;0.9336651
32;1;35;645;-1011.75;1;0.36;1.04645
33;1;35;645;-1012.25;1;0.35;0.935762
34;1;35;645;-1012.75;1;0.36;1.048794
35;1;35;645;-1013.25;1;0.37;1.174389
36;1;35;645;-1013.75;1;0.38;1.293204
37;1;35;645;-1014.25;1;0.4;1.62512
38;1;35;645;-1014.75;1;0.4;1.630209
39;1;35;645;-1015.25;1;0.4;1.635341
