X;Y;Z;CO2;lCO2;T
m;m;m;[mol/m2];[mol/m2];Celsius
R+;R+;A;R+;R;R+
;;;;; 
relative_X;relative_Y;height;flux;Log_flux;temperature
;;arbitrary 0;;; 
0;600;0;5.43;0.73;31.1
0;575;0;3.95;0.60;29.3
0;550;0;5.92;0.77;30.0
0;525;0;2.35;0.37;29.5
0;500;0;7.75;0.89;28.1
0;475;0;7.83;0.89;27.0
0;450;0;3.19;0.50;29.2
0;425;0;21.2;1.33;27.9
0;400;0;1.76;0.25;27.6
0;375;0;2.73;0.44;26.5
0;350;0;21.1;1.32;26.0
0;325;0;2.23;0.35;27.6
0;300;0;4.32;0.64;27.6
0;275;0;6.20;0.79;29.9
0;250;0;8.48;0.93;27.4
0;225;0;22.0;1.34;27.0
0;200;0;6.85;0.84;33.5
0;175;0;3.64;0.56;34.6
0;150;0;7.02;0.85;34.0
0;125;0;9.00;0.95;34.6
0;100;0;12.7;1.10;32.3
25;600;0;4.65;0.67;32.6
25;575;0;3.68;0.57;33.5
25;550;0;10.3;1.01;34.3
25;525;0;6.85;0.84;31.7
25;500;0;4.52;0.65;32.6
25;475;0;15.2;1.18;33.2
25;450;0;9.28;0.97;33.5
25;425;0;11.0;1.04;34.2
25;400;0;3.48;0.54;31.5
25;375;0;25.7;1.41;31.9
25;350;0;17.8;1.25;33.3
25;325;0;8.94;0.95;32.3
25;300;0;64.0;1.81;34.2
25;275;0;68.0;1.83;33.3
25;250;0;17.6;1.25;26.7
25;225;0;12.3;1.09;31.1
25;200;0;7.51;0.88;33.7
25;175;0;20.9;1.32;33.4
25;150;0;16.3;1.21;32.8
25;125;0;16.7;1.22;33.9
25;100;0;18.2;1.26;31.4
50;600;0;9.69;0.99;30.0
50;575;0;2.31;0.36;30.2
50;550;0;10.1;1.01;29.6
50;525;0;2.77;0.44;31.2
50;500;0;2.24;0.35;31.7
50;475;0;3.83;0.58;34.0
50;450;0;14.8;1.17;32.4
50;425;0;1.44;0.16;32.3
50;400;0;166;2.22;31.6
50;375;0;4.97;0.70;32.9
50;350;0;56.2;1.75;33.4
50;325;0;3.79;0.58;30.5
50;300;0;17.6;1.25;27.2
50;275;0;1206;3.08;49.7
50;250;0;7.21;0.86;27.9
50;225;0;13.4;1.13;30.3
50;200;0;9.74;0.99;33.4
50;175;0;3.90;0.59;33.4
50;150;0;24.9;1.40;34.3
50;125;0;15.4;1.19;34.7
50;100;0;15.8;1.20;34.9
75;600;0;6.28;0.80;32.0
75;575;0;1.34;0.13;30.2
75;550;0;4.07;0.61;31.8
75;525;0;5.51;0.74;32.0
75;500;0;7.04;0.85;32.1
75;475;0;9.77;0.99;31.0
75;450;0;5.37;0.73;25.4
75;425;0;66.0;1.82;28.5
75;400;0;16.6;1.22;26.6
75;375;0;35.4;1.55;30.2
75;350;0;71.6;1.85;40.3
75;325;0;24.0;1.38;25.6
75;300;0;2.33;0.37;24.0
75;275;0;11.9;1.08;25.4
75;250;0;6.35;0.80;26.6
75;225;0;5.53;0.74;26.1
75;200;0;5.10;0.71;27.6
75;175;0;3.07;0.49;28.4
75;150;0;6.78;0.83;31.2
75;125;0;6.72;0.83;31.6
75;100;0;4.61;0.66;31.8
100;600;0;17.2;1.24;25.9
100;575;0;3.98;0.60;26.9
100;550;0;4.68;0.67;25.9
100;525;0;7.30;0.86;25.9
100;500;0;4.65;0.67;25.3
100;475;0;2.88;0.46;24.9
100;450;0;2.57;0.41;24.9
100;425;0;1.31;0.12;27.4
100;400;0;24.2;1.38;30.0
100;375;0;11.0;1.04;31.2
100;350;0;1175;3.07;41.2
100;325;0;510;2.71;31.5
100;300;0;104;2.02;40.0
100;275;0;46.8;1.67;28.9
100;225;0;0.345;-0.46;26.3
100;200;0;2.52;0.40;27.5
100;175;0;7.47;0.87;28.5
100;150;0;2.46;0.39;28.4
100;125;0;6.55;0.82;26.8
100;100;0;13.9;1.14;29.8
100;75;0;6.55;0.82;31.1
125;600;0;6.86;0.84;25.7
125;575;0;6.27;0.80;24.5
125;550;0;4.44;0.65;24.2
125;525;0;2.36;0.37;24.8
125;500;0;1.46;0.16;23.9
125;475;0;2.78;0.44;27.1
125;425;0;63.6;1.80;35.2
125;400;0;152;2.18;54.1
125;375;0;166;2.22;56.1
125;350;0;59.8;1.78;66.7
125;325;0;315;2.50;55.8
125;300;0;636;2.80;74.9
125;275;0;191;2.28;53.0
125;225;0;0.530;-0.28;26.0
125;200;0;18.6;1.27;30.4
125;175;0;40.8;1.61;32.8
125;150;0;3.83;0.58;29.4
125;125;0;2.20;0.34;29.2
125;100;0;9.62;0.98;29.5
125;75;0;12.9;1.11;34.6
150;600;0;11.3;1.05;28.3
150;575;0;3.71;0.57;26.4
150;550;0;0.265;-0.58;27.5
150;500;0;0.795;-0.10;27.4
150;475;0;0.398;-0.40;25.1
150;425;0;9.54;0.98;63.0
150;400;0;855;2.93;65.6
150;375;0;109;2.04;53.4
150;350;0;102;2.01;52.4
150;325;0;68.6;1.84;41.7
150;300;0;727;2.86;69.2
150;275;0;433;2.64;53.1
150;250;0;241;2.38;66.6
150;200;0;11.4;1.06;30.4
150;175;0;51.9;1.72;33.6
150;150;0;20.0;1.30;31.1
150;125;0;4.68;0.67;30.0
150;100;0;27.7;1.44;33.9
150;75;0;7.66;0.88;35.6
175;600;0;5.30;0.72;27.4
175;575;0;6.49;0.81;27.7
175;550;0;0.663;-0.18;28.6
175;525;0;1.72;0.24;27.8
175;475;0;0.265;-0.58;27.0
175;450;0;3.58;0.55;33.1
175;425;0;56.2;1.75;39.1
175;400;0;51.7;1.71;35.2
175;375;0;52.5;1.72;34.5
175;350;0;47.3;1.67;45.0
175;325;0;245;2.39;43.7
175;300;0;89.3;1.95;51.6
175;275;0;75.3;1.88;63.8
175;250;0;123;2.09;58.9
175;225;0;32.2;1.51;28.5
175;200;0;13.8;1.14;29.9
175;175;0;83.5;1.92;32.1
175;150;0;23.3;1.37;29.4
175;125;0;13.3;1.12;29.1
175;100;0;17.1;1.23;28.6
175;75;0;2.08;0.32;32.4
200;600;0;2.39;0.38;26.7
200;575;0;2.78;0.44;27.5
200;550;0;2.78;0.44;27.2
200;525;0;1.29;0.11;26.7
200;500;0;0.663;-0.18;27.9
200;475;0;84.1;1.92;40.3
200;450;0;69.3;1.84;42.1
200;425;0;46.0;1.66;33.1
200;400;0;12.3;1.09;26.4
200;375;0;66.9;1.83;38.4
