E;N;H;cr
m;m;m;ppm
R+;R+;AR+;R+
;;; 
Easting;Northing;Quota;Chromium
;;; 
1458806.07;4920641.15;0;951
1465119.07;4920403.09;0;803
1456944.06;4919753.16;0;935
1468094.09;4922716.04;0;1210
1472256.1;4922616.04;0;1190
1458781.08;4921491.14;0;839
1469494.1;4923266.04;0;1500
1457894.08;4922841.16;0;1040
1465281.11;4925541.08;0;1240
1461444.09;4923391.12;0;573
1463106.12;4927129.1;0;1130
1471219.12;4925272.02;0;1300
1467357.1;4925691.06;0;1580
1465732.09;4922466.08;0;1700
1467119.07;4920453.08;0;1080
1461519.13;4926866.11;0;424
1463599.09;4923203.1;0;826
1473294.1;4924716.02;0;1530
1479444.13;4926690.96;0;798
1474194.12;4926766;0;2420
1475419.12;4927016;0;2110
1481394.12;4927416.49;0;2670
1477894.14;4927540.99;0;732
1480019.15;4929040.97;0;2480
1480894.14;4929240.94;0;3760
1476119.14;4929540.99;0;1020
1477519.16;4930015.96;0;1280
1470644.14;4930041.03;0;1660
1468869.16;4930441.05;0;1920
1473069.17;4931066;0;2020
1466719.17;4931141.06;0;1190
1476744.17;4931765.97;0;797
1479569.17;4932365.97;0;2810
1475494.17;4932440.99;0;1700
1481494.17;4933215.93;0;2620
1469744.18;4933341.03;0;2170
1471569.17;4933441.02;0;1950
1473994.18;4933541;0;1310
1480944.17;4933865.94;0;2010
1475144.19;4934115.98;0;568
1472294.19;4934316.03;0;1350
1476819.19;4934490.98;0;528
1464969.19;4934516.09;0;1760
1473594.2;4935016;0;1040
1482994.23;4938215.94;0;2380
1463251;4925923;0;274
1452290;4915117;0;232
1452762;4915997;0;357
1450061;4918187;0;503
1451979;4917286;0;550
1453347;4917758;0;318
1454680;4918369;0;508
1449550;4921296;0;935
1450743;4919981;0;808
1454194;4919853;0;635
1454942;4920309;0;603
1448312;4923615;0;810
1448795;4923022;0;884
1451504;4922722;0;513
1454047;4922867;0;904
1454905;4923222;0;1100
1448672;4924527;0;960
1452174;4926075;0;523
1454119;4924361;0;574
1455283;4925341;0;856
1457456;4926279;0;838
1458880;4924277;0;910
1460513;4925801;0;764
1454266;4927579;0;543
1454584;4927908;0;530
1458031;4927102;0;1570
1468257;4927792;0;1720
1467376;4928110;0;447
1471043;4928114;0;1560
1470451;4927649;0;1180
1468555;4934768;0;1720
1467119.07;4920453.08;0;38.570.000.000
1458269.1;4925766.14;0;39.540.000.000
1468687.13;4927041.06;0;57.790.000.000
1468687.13;4927041.06;0;560
1459182.1;4924816.12;0;451
1461519.13;4926866.11;0;27.380.000.000
1461519.13;4926866.11;0;25.180.000.000
1460019.12;4927228.14;0;98.820.000.000
1461119.1;4924416.11;0;26.830.000.000
1463984.11;4925616.08;0;20.680.000.000
1463599.09;4923203.1;0;41.350.000.000
1456944.06;4919753.16;0;95.795.776.040
1465119.07;4920403.09;0;76.636.620.830
1467119.07;4920453.08;0;93.743.009.410
1458806.07;4920641.15;0;80.057.898.550
1458781.08;4921491.14;0;80.057.898.550
1465732.09;4922466.08;0;132.061.319.800
1472256.1;4922616.04;0;116.323.442.300
1468094.09;4922716.04;0;122.481.742.200
1457894.08;4922841.16;0;85.531.942.890
1463599.09;4923203.1;0;67.741.298.770
1469494.1;4923266.04;0;121.797.486.700
1461444.09;4923391.12;0;49.266.399.110
1469944.09;4923616.05;0;124.534.508.800
1461119.1;4924416.11;0;54.740.443.450
1473294.1;4924716.02;0;135.482.597.500
1459182.1;4924816.12;0;78.689.387.460
1471219.12;4925272.02;0;105.375.353.600
1465281.11;4925541.08;0;106.059.609.200
1467357.1;4925691.06;0;130.008.553.200
1458269.1;4925766.14;0;73.899.598.660
1457219.12;4926453.15;0;119.744.720.000
1465819.12;4926728.09;0;92.374.498.320
1468687.13;4927041.06;0;104.691.098.100
1460019.12;4927228.14;0;169.695.374.700
1483644.13;4927365.93;0;177.222.185.700
1468194.13;4927441.04;0;97.848.542.670
1471294.13;4927816.02;0;155.326.008.300
1458519.14;4929491.13;0;399.605.237.200
1470644.14;4930041.03;0;138.903.875.300
1466144.15;4930191.08;0;92.374.498.320
1463769.16;4930366.08;0;208.013.685.100
1461744.15;4930766.1;0;210.750.707.300
1466719.17;4931141.06;0;97.164.287.120
1457544.16;4931141.14;0;49.266.399.110
1457544.16;4931141.14;0;49.266.399.110
1456069.17;4931191.16;0;80.057.898.550
1459119.17;4931441.15;0;182.696.230.000
1476744.17;4931765.97;0;65.004.276.600
1476744.17;4931765.97;0;65.004.276.600
1463469.16;4931891.08;0;227.172.840.300
1463469.16;4931891.08;0;267.543.917.400
1483444.17;4932190.92;0;308.599.250.000
1465919.18;4932216.07;0;171.748.141.300
1479569.17;4932365.97;0;248.384.762.200
1475494.17;4932440.99;0;112.217.909.100
1456619.17;4932691.15;0;56.793.210.080
1455894.18;4932941.17;0;44.476.610.300
1460794.19;4933166.13;0;153.273.241.700
1467744.18;4933366.06;0;149.851.963.900
1467744.18;4933366.06;0;136.166.853.100
1472294.19;4934316.03;0;132.745.575.400
1463769.2;4934416.1;0;113.586.420.200
1455094.18;4934466.18;0;56.108.954.540
1476819.19;4934490.98;0;47.897.888.020
1456944.19;4934566.14;0;21.211.921.840
1467694.2;4934591.06;0;131.377.064.300
1485094.2;4934940.91;0;224.435.818.100
1485094.2;4934940.91;0;221.014.540.400
1461344.19;4934941.1;0;121.797.486.700
1473594.2;4935016;0;99.217.053.750
1480019.19;4935440.95;0;197.065.596.400
1483269.19;4935515.93;0;190.223.041.000
1454069.19;4935716.19;0;62.951.509.970
1454069.19;4935716.19;0;67.741.298.770
1468894.2;4935891.06;0;161.484.308.200
1484719.2;4936215.91;0;243.594.973.400
1479519.2;4936490.96;0;171.063.885.800
1479519.2;4936490.96;0;172.432.396.900
1468694.22;4936816.06;0;127.955.786.600
1468694.22;4936816.06;0;125.903.019.900
1471544.21;4936916.04;0;182.696.230.000
1468219.21;4936991.05;0;65.688.532.140
1468219.21;4936991.05;0;65.004.276.600
1474944.21;4937591;0;97.164.287.120
1474944.21;4937591;0;97.164.287.120
1474944.21;4937591;0;101.269.820.400
1470594.23;4938191.04;0;104.006.842.600
1480919.23;4938265.94;0;166.274.097.000
1476794.23;4938390.99;0;138.903.875.300
1478069.23;4938915.98;0;181.327.718.900
1482169.23;4938990.94;0;218.277.518.300
1479394.24;4939715.94;0;206.645.174.000
1473844.25;4940066;0;91.690.242.780
1482569.08;4923190.94;0;2430
1481431.1;4922515.94;0;1340
1481369.11;4925077.93;0;1070
1478969.1;4924240.97;0;516
1479331.09;4922540.97;0;503
1479794.06;4920315.95;0;567
1486794.08;4921015.88;0;440
1486244.11;4925640.89;0;1150
1485206.12;4925065.91;0;1460
1486319.1;4923390.9;0;918
1482206.07;4919540.94;0;1220
1485231.07;4921790.91;0;1480
1485219.08;4921327.92;0;895
1483769.08;4920827.93;0;1040
1477044.08;4922602.97;0;1560
1476144.09;4922740.99;0;1600
1474594.1;4924341.01;0;2430
1476644.1;4924465.97;0;997
1474169.08;4921828;0;2230
1472756.07;4919891.03;0;2920
1471269.05;4917333.03;0;1680
1472637.03;4916591.02;0;1320
1475381.06;4918840.98;0;644
1470107.07;4919903.04;0;2000
1470682.07;4919553.02;0;1330
1474844.04;4916416;0;979
1473561.06;4918228;0;3160
1467107.04;4916048.07;0;1130
1469869.03;4914641.03;0;1320
1465381.04;4917541.07;0;763
1477144.06;4918865.97;0;1120
1476432.07;4919440.97;0;759
1468556.04;4917641.06;0;1460
1456344.02;4914228.15;0;73
1455894;4913106.17;0;58
1459668.97;4910491.13;0;372
1460581.96;4909266.12;0;342
1461969;4912279.11;0;601
1461882.04;4917866.1;0;752
1459419.02;4915279.14;0;603
1467269;4912766.06;0;535
1458794.06;4918241.13;0;650
1463131.99;4910441.11;0;122
1457644.03;4915578.13;0;216
1461969.07;4919541.1;0;1280
1457668.98;4912029.13;0;451
1465018.99;4912441.09;0;506
1458139.03;4916891.13;0;317
1462269.01;4914741.12;0;734
1463194.05;4919341.09;0;861
1458544;4911891.15;0;362
1459793.97;4907716.14;0;71
1484294.13;4927990.92;0;2180
1483944.16;4930115.91;0;3010
1484894.15;4930940.91;0;3130
1462705;4913393;0;1060
1468696;4912996;0;1490
1462815;4915055;0;415
1466080;4914370;0;946
1463466;4916897;0;517
1482369.1;4923965.93;0;864.1
1481694.09;4923165.95;0;732.6
1482819.12;4925565.94;0;938.9
1482119.1;4925490.93;0;1153.3
1480844.12;4925527.95;0;933.3
1481781.1;4924040.93;0;750.7
1477869.12;4925465.96;0;278.5
1479056.12;4925140.97;0;135.8
1478519.11;4924877.98;0;347.2
1478581.08;4923490.95;0;489.8
1479969.11;4925240.94;0;45.7
1479244.1;4923440.98;0;256.8
1480269.09;4924165.96;0;123.9
1480631.1;4923352.96;0;116.8
1480181.07;4922215.94;0;146.5
1480844.08;4922240.96;0;752.8
1480269.07;4921452.95;0;313.8
1479781.09;4921490.95;0;230.4
1483044.08;4922240.93;0;1564.3
1482719.08;4922165.94;0;1328.1
1483444.08;4922915.92;0;1695.1
1482369.08;4921365.93;0;1069.4
1486894.08;4921990.91;0;247.9
1487069.13;4927290.88;0;94.6
1487244.11;4926352.88;0;648.9
1487619.13;4926315.9;0;172.7
1485969.13;4926452.89;0;785.3
1485769.13;4926290.9;0;1523.4
1487031.1;4925565.89;0;760
1487344.1;4924765.89;0;378.4
1486519.1;4924165.89;0;638.8
1486119.1;4924715.91;0;704.4
1485869.08;4922265.91;0;396.6
1487419.09;4923565.89;0;1121.7
1487581.09;4922590.87;0;620.8
1488081.07;4921727.89;0;587.7
1487019.08;4920365.89;0;163.2
1482294.06;4920390.93;0;980.1
1485644.07;4920240.91;0;573.2
1485881.06;4919215.89;0;634.5
1484631.09;4923752.91;0;1076
1484969.09;4922815.92;0;914.2
1484781.08;4920502.92;0;1242.1
1478244.09;4921952.97;0;289.5
1478444.07;4921265.98;0;932.1
1479069.06;4920365.97;0;818.3
1477469.08;4921590.98;0;838.4
1475119.08;4921490.99;0;1202.4
1475231.09;4922602.98;0;1836.4
1476056.09;4921765.98;0;1065
1477144.1;4923765.98;0;577.6
1475194.1;4924128;0;1156.7
1474544.09;4923740.99;0;1070.7
1475494.1;4924565.98;0;1121.5
1476419.09;4923591;0;1080.9
1474119.08;4922716.02;0;868.9
1470331.03;4916709.03;0;537.5
1470612.05;4917191.03;0;1238
1471144.03;4916566.04;0;681
1471994.03;4916491.03;0;771.9
1472982.06;4919161.02;0;1244.7
1473344.07;4919916.02;0;1261.5
1472281.07;4919834.03;0;1246.1
1472744.07;4919341.01;0;1416.4
1472332.06;4918141.02;0;1048.5
1472106.05;4917291.01;0;926.2
1473044.04;4917466;0;655.2
1475619.06;4919590.99;0;991.4
1474819.05;4917866.01;0;490.9
1475119.04;4916998;0;444.2
1470411.05;4918933.02;0;836.1
1468552.06;4918934.05;0;1053.2
1469126.05;4918416.03;0;1117
1469956.06;4917691.05;0;882.7
1469637.04;4916941.03;0;1216
1470181.03;4915891.05;0;616.9
1470994.03;4915203.03;0;822.8
1473306.02;4915591.01;0;2464.2
1474269.06;4919004;0;1458.4
1468061.03;4915779.05;0;588
1469001.02;4915366.04;0;638.6
1470701.01;4914279.03;0;714.8
1466132.04;4916986.06;0;804.9
1465794.04;4916034.06;0;358.7
1466119.05;4918878.08;0;923
1465144.06;4918408.07;0;579.1
1476561.04;4918316;0;657.9
1477694.05;4919765.98;0;400.5
1468632.03;4916766.05;0;633.5
1467177.04;4917491.08;0;877.3
1467706.04;4918716.05;0;1093.3
1478944.07;4919415.95;0;526.3
1455894;4913106.17;0;27.3
1470206.01;4913604.05;0;640.5
1460581.96;4909266.12;0;143.2
1461969;4912279.11;0;308.8
1464281.01;4914666.08;0;495.8
1468094.03;4914954.04;0;566
1458794.06;4918241.13;0;356.6
1465332.04;4917316.08;0;195
1462656.99;4911741.12;0;453.3
1457644.03;4915578.13;0;123.7
1465444.01;4913691.09;0;482.8
1463194.05;4919341.09;0;374.9
1462356.05;4916816.11;0;280.9
1462656.99;4911741.12;0;7.116.257.649
1470206.01;4913604.05;0;1.327.455.754
1465444.01;4913691.09;0;7.595.236.529
1464281.01;4914666.08;0;7.732.087.637
1462269.01;4914741.12;0;7.732.087.637
1468094.03;4914954.04;0;9.100.598.724
1459419.02;4915279.14;0;5.268.767.682
1462356.05;4916816.11;0;5.816.172.117
1461882.04;4917866.1;0;6.774.129.877
1458794.06;4918241.13;0;5.816.172.117
1463194.05;4919341.09;0;8.758.470.952
1461969.07;4919541.1;0;1.279.557.866
1486819.17;4932440.9;0;1.813.277.189
