E;N;H;cr
m;m;m;ppm
R+;R+;AR+;R+
;;; 
Easting;Northing;Quota;Chromium
;;; 
1458806.07;4920641.15;0;951
1465119.07;4920403.09;0;803
1456944.06;4919753.16;0;935
1468094.09;4922716.04;0;1210
1472256.1;4922616.04;0;1190
1458781.08;4921491.14;0;839
1469494.1;4923266.04;0;1500
1457894.08;4922841.16;0;1040
1465281.11;4925541.08;0;1240
1461444.09;4923391.12;0;573
1463106.12;4927129.1;0;1130
1471219.12;4925272.02;0;1300
1467357.1;4925691.06;0;1580
1465732.09;4922466.08;0;1700
1467119.07;4920453.08;0;1080
1461519.13;4926866.11;0;424
1463599.09;4923203.1;0;826
1473294.1;4924716.02;0;1530
1479444.13;4926690.96;0;798
1474194.12;4926766;0;2420
1475419.12;4927016;0;2110
1481394.12;4927416.49;0;2670
1477894.14;4927540.99;0;732
1480019.15;4929040.97;0;2480
1480894.14;4929240.94;0;3760
1476119.14;4929540.99;0;1020
1477519.16;4930015.96;0;1280
1470644.14;4930041.03;0;1660
1468869.16;4930441.05;0;1920
1473069.17;4931066;0;2020
1466719.17;4931141.06;0;1190
1476744.17;4931765.97;0;797
1479569.17;4932365.97;0;2810
1475494.17;4932440.99;0;1700
1481494.17;4933215.93;0;2620
1469744.18;4933341.03;0;2170
1471569.17;4933441.02;0;1950
1473994.18;4933541;0;1310
1480944.17;4933865.94;0;2010
1475144.19;4934115.98;0;568
1472294.19;4934316.03;0;1350
1476819.19;4934490.98;0;528
1464969.19;4934516.09;0;1760
1473594.2;4935016;0;1040
1482994.23;4938215.94;0;2380
1463251;4925923;0;274
1452290;4915117;0;232
1452762;4915997;0;357
1450061;4918187;0;503
1451979;4917286;0;550
1453347;4917758;0;318
1454680;4918369;0;508
1449550;4921296;0;935
1450743;4919981;0;808
1454194;4919853;0;635
1454942;4920309;0;603
1448312;4923615;0;810
1448795;4923022;0;884
1451504;4922722;0;513
1454047;4922867;0;904
1454905;4923222;0;1100
1448672;4924527;0;960
1452174;4926075;0;523
1454119;4924361;0;574
1455283;4925341;0;856
1457456;4926279;0;838
1458880;4924277;0;910
1460513;4925801;0;764
1454266;4927579;0;543
1454584;4927908;0;530
1458031;4927102;0;1570
1468257;4927792;0;1720
1467376;4928110;0;447
1471043;4928114;0;1560
1470451;4927649;0;1180
1468555;4934768;0;1720
1467119.07;4920453.08;0;385.70000000
1458269.1;4925766.14;0;395.40000000
1468687.13;4927041.06;0;577.90000000
1468687.13;4927041.06;0;560
1459182.1;4924816.12;0;451
1461519.13;4926866.11;0;273.80000000
1461519.13;4926866.11;0;251.80000000
1460019.12;4927228.14;0;988.20000000
1461119.1;4924416.11;0;268.30000000
1463984.11;4925616.08;0;206.80000000
1463599.09;4923203.1;0;413.50000000
1456944.06;4919753.16;0;957.95776040
1465119.07;4920403.09;0;766.36620830
1467119.07;4920453.08;0;937.43009410
1458806.07;4920641.15;0;800.57898550
1458781.08;4921491.14;0;800.57898550
1465732.09;4922466.08;0;1320.61319800
1472256.1;4922616.04;0;1163.23442300
1468094.09;4922716.04;0;1224.81742200
1457894.08;4922841.16;0;855.31942890
1463599.09;4923203.1;0;677.41298770
1469494.1;4923266.04;0;1217.97486700
1461444.09;4923391.12;0;492.66399110
1469944.09;4923616.05;0;1245.34508800
1461119.1;4924416.11;0;547.40443450
1473294.1;4924716.02;0;1354.82597500
1459182.1;4924816.12;0;786.89387460
1471219.12;4925272.02;0;1053.75353600
1465281.11;4925541.08;0;1060.59609200
1467357.1;4925691.06;0;1300.08553200
1458269.1;4925766.14;0;738.99598660
1457219.12;4926453.15;0;1197.44720000
1465819.12;4926728.09;0;923.74498320
1468687.13;4927041.06;0;1046.91098100
1460019.12;4927228.14;0;1696.95374700
1483644.13;4927365.93;0;1772.22185700
1468194.13;4927441.04;0;978.48542670
1471294.13;4927816.02;0;1553.26008300
1458519.14;4929491.13;0;3996.05237200
1470644.14;4930041.03;0;1389.03875300
1466144.15;4930191.08;0;923.74498320
1463769.16;4930366.08;0;2080.13685100
1461744.15;4930766.1;0;2107.50707300
1466719.17;4931141.06;0;971.64287120
1457544.16;4931141.14;0;492.66399110
1457544.16;4931141.14;0;492.66399110
1456069.17;4931191.16;0;800.57898550
1459119.17;4931441.15;0;1826.96230000
1476744.17;4931765.97;0;650.04276600
1476744.17;4931765.97;0;650.04276600
1463469.16;4931891.08;0;2271.72840300
1463469.16;4931891.08;0;2675.43917400
1483444.17;4932190.92;0;3085.99250000
1465919.18;4932216.07;0;1717.48141300
1479569.17;4932365.97;0;2483.84762200
1475494.17;4932440.99;0;1122.17909100
1456619.17;4932691.15;0;567.93210080
1455894.18;4932941.17;0;444.76610300
1460794.19;4933166.13;0;1532.73241700
1467744.18;4933366.06;0;1498.51963900
1467744.18;4933366.06;0;1361.66853100
1472294.19;4934316.03;0;1327.45575400
1463769.2;4934416.1;0;1135.86420200
1455094.18;4934466.18;0;561.08954540
1476819.19;4934490.98;0;478.97888020
1456944.19;4934566.14;0;212.11921840
1467694.2;4934591.06;0;1313.77064300
1485094.2;4934940.91;0;2244.35818100
1485094.2;4934940.91;0;2210.14540400
1461344.19;4934941.1;0;1217.97486700
1473594.2;4935016;0;992.17053750
1480019.19;4935440.95;0;1970.65596400
1483269.19;4935515.93;0;1902.23041000
1454069.19;4935716.19;0;629.51509970
1454069.19;4935716.19;0;677.41298770
1468894.2;4935891.06;0;1614.84308200
1484719.2;4936215.91;0;2435.94973400
1479519.2;4936490.96;0;1710.63885800
1479519.2;4936490.96;0;1724.32396900
1468694.22;4936816.06;0;1279.55786600
1468694.22;4936816.06;0;1259.03019900
1471544.21;4936916.04;0;1826.96230000
1468219.21;4936991.05;0;656.88532140
1468219.21;4936991.05;0;650.04276600
1474944.21;4937591;0;971.64287120
1474944.21;4937591;0;971.64287120
1474944.21;4937591;0;1012.69820400
1470594.23;4938191.04;0;1040.06842600
1480919.23;4938265.94;0;1662.74097000
1476794.23;4938390.99;0;1389.03875300
1478069.23;4938915.98;0;1813.27718900
1482169.23;4938990.94;0;2182.77518300
1479394.24;4939715.94;0;2066.45174000
1473844.25;4940066;0;916.90242780
