X;Y;Z;phi
m;m;m; 
R+;R+;D;R+B
;;; 
X;Y;depth;porosity
;;; 
26.47;14.18;-0.2;0.38
26.47;14.18;-0.4;0.38
26.47;14.18;-0.6;0.38
26.47;14.18;-0.8;0.38
26.47;14.18;-1;0.38
26.47;14.18;-1.2;0.38
26.47;14.18;-1.4;0.38
26.47;14.18;-1.6;0.38
26.47;14.18;-1.9;0.33
26.47;14.18;-2.1;0.33
26.47;14.18;-2.3;0.33
26.47;14.18;-2.5;0.33
26.47;14.18;-2.7;0.33
26.47;14.18;-2.9;0.33
26.47;14.18;-3.1;0.33
26.47;14.18;-3.3;0.33
26.47;14.18;-3.5;0.33
26.47;14.18;-3.7;0.33
26.47;14.18;-4;0.36
26.47;14.18;-4.4;0.55
26.47;14.18;-4.6;0.55
26.47;14.18;-4.8;0.55
26.47;14.18;-5;0.55
26.47;14.18;-5.2;0.55
26.47;14.18;-5.6;0.35
26.47;14.18;-5.8;0.35
26.47;14.18;-6;0.35
26.47;14.18;-6.2;0.35
26.47;14.18;-6.4;0.35
26.47;14.18;-6.6;0.35
26.47;14.18;-6.8;0.35
26.47;14.18;-7;0.35
26.47;14.18;-7.2;0.35
26.47;14.18;-7.7;0.36
26.47;14.18;-7.9;0.36
26.47;14.18;-8.1;0.36
26.47;14.18;-8.3;0.36
26.47;14.18;-8.5;0.36
26.47;14.18;-8.7;0.36
26.47;14.18;-8.9;0.36
26.47;14.18;-9.1;0.36
26.47;14.18;-9.3;0.36
26.47;14.18;-9.5;0.36
26.47;14.18;-9.7;0.36
26.47;14.18;-9.9;0.36
26.47;14.18;-10.2;0.43
26.47;14.18;-10.4;0.43
26.47;14.18;-10.7;0.34
26.47;14.18;-10.9;0.34
26.47;14.18;-11.1;0.34
26.47;14.18;-11.4;0.48
26.47;14.18;-11.6;0.48
26.47;14.18;-11.8;0.48
26.47;14.18;-12;0.48
26.47;14.18;-12.2;0.48
26.47;14.18;-12.4;0.48
26.47;14.18;-12.6;0.48
26.47;14.18;-12.8;0.48
26.47;14.18;-13.2;0.37
26.47;14.18;-13.4;0.37
26.47;14.18;-13.95;0.56
26.47;14.18;-14.15;0.56
26.47;14.18;-14.35;0.56
26.47;14.18;-14.55;0.56
26.47;14.18;-14.75;0.56
26.47;14.18;-14.95;0.56
26.47;14.18;-15.15;0.56
26.47;14.18;-15.5;0.40
26.47;14.18;-15.7;0.40
26.47;14.18;-15.9;0.40
26.47;14.18;-16.1;0.40
26.47;14.18;-16.3;0.40
26.47;14.18;-16.5;0.40
26.47;14.18;-16.7;0.40
26.47;14.18;-16.9;0.40
26.47;14.18;-17.1;0.40
26.47;14.18;-17.3;0.40
26.47;14.18;-17.7;0.42
26.47;14.18;-17.9;0.42
26.47;14.18;-18.1;0.42
26.47;14.18;-18.3;0.42
26.47;14.18;-18.6;0.39
26.47;14.18;-18.8;0.39
26.47;14.18;-19;0.39
26.47;14.18;-19.2;0.39
26.47;14.18;-19.4;0.39
26.47;14.18;-19.7;0.43
26.47;14.18;-20.2;0.46
26.47;14.18;-20.6;0.36
26.47;14.18;-20.8;0.36
26.47;14.18;-21;0.36
26.47;14.18;-21.2;0.36
26.47;14.18;-21.55;0.45
26.47;14.18;-21.75;0.45
26.47;14.18;-21.95;0.45
26.47;14.18;-22.15;0.45
26.47;14.18;-22.35;0.45
26.47;14.18;-22.55;0.45
26.47;14.18;-22.75;0.45
26.47;14.18;-22.95;0.45
26.47;14.18;-23.2;0.46
26.47;14.18;-23.4;0.46
26.47;14.18;-23.8;0.26
26.47;14.18;-24;0.26
26.47;14.18;-24.2;0.26
26.47;14.18;-24.6;0.25
26.47;14.18;-24.8;0.25
26.47;14.18;-25;0.25
26.47;14.18;-25.2;0.25
26.47;14.18;-25.4;0.25
26.47;14.18;-25.6;0.25
26.47;14.18;-25.8;0.25
26.47;14.18;-26;0.25
26.47;14.18;-26.2;0.25
26.47;14.18;-26.4;0.25
26.47;14.18;-26.6;0.25
26.47;14.18;-26.8;0.25
26.47;14.18;-27;0.25
26.47;14.18;-27.2;0.25
26.47;14.18;-27.4;0.25
26.47;14.18;-27.6;0.25
26.47;14.18;-27.8;0.25
26.47;14.18;-28;0.25
26.47;14.18;-28.2;0.25
26.47;14.18;-28.4;0.25
26.47;14.18;-28.8;0.26
26.47;14.18;-29;0.26
26.47;14.18;-29.2;0.26
26.47;14.18;-29.4;0.26
26.47;14.18;-29.6;0.26
26.47;14.18;-29.8;0.26
26.47;14.18;-30;0.26
26.47;14.18;-30.2;0.26
26.47;14.18;-30.4;0.26
26.47;14.18;-30.6;0.26
26.47;14.18;-30.8;0.26
26.47;14.18;-31;0.26
26.47;14.18;-31.2;0.26
26.47;14.18;-31.4;0.26
52.58;85.35;-0.2;0.44
52.58;85.35;-0.4;0.44
52.58;85.35;-0.6;0.44
52.58;85.35;-0.8;0.44
52.58;85.35;-1;0.44
52.58;85.35;-1.2;0.44
52.58;85.35;-1.4;0.44
52.58;85.35;-1.6;0.44
52.58;85.35;-1.8;0.44
52.58;85.35;-2;0.44
52.58;85.35;-2.2;0.44
52.58;85.35;-2.4;0.44
