X;Y;Z;phi
m;m;m;
R+;R+;D-;P
;;;
Longitude;Latitude;Depth;
;;;
5.7;1;-0.1;0.44
5.7;1;-0.3;0.76
5.7;1;-0.5;0.57
5.7;1;-0.7;0.79
5.7;1;-0.9;0.33
5.7;1;-1.1;0.43
5.7;1;-1.3;0.58
5.7;1;-1.5;0.38
5.7;1;-1.7;0.46
5.7;1;-1.9;0.48
5.7;1;-2.07;0.46
5.7;1;-2.1;0.47
5.7;1;-2.13;0.40
5.7;1;-2.16;0.42
5.7;1;-2.19;0.43
5.7;1;-2.22;0.49
5.7;1;-2.25;0.49
5.7;1;-2.28;0.47
5.7;1;-2.31;0.47
5.7;1;-2.34;0.45
5.7;1;-2.37;0.41
5.7;1;-2.4;0.45
5.7;1;-2.43;0.40
5.7;1;-2.46;0.48
5.7;1;-2.49;0.45
5.7;1;-2.55;0.43
5.7;1;-2.58;0.40
5.7;1;-2.61;0.42
5.7;1;-2.64;0.41
5.7;1;-2.67;0.41
5.7;1;-2.7;0.48
5.7;1;-2.73;0.47
5.7;1;-2.76;0.42
5.7;1;-2.79;0.46
5.7;1;-2.82;0.43
5.7;1;-2.85;0.47
5.7;1;-2.88;0.44
5.7;1;-2.91;0.50
5.7;1;-2.94;0.47
5.7;1;-2.97;0.41
5.7;1;-3;0.48
5.7;1;-3.03;0.47
5.7;1;-3.06;0.44
5.7;1;-3.09;0.46
5.7;1;-3.12;0.46
5.7;1;-3.15;0.45
5.7;1;-3.18;0.43
5.7;1;-3.21;0.40
5.7;1;-3.24;0.43
5.7;1;-3.27;0.48
5.7;1;-3.3;0.46
5.7;1;-3.33;0.49
5.7;1;-3.36;0.43
5.7;1;-3.39;0.41
5.7;1;-3.45;0.41
5.7;1;-3.48;0.49
5.7;1;-3.51;0.44
5.7;1;-3.54;0.47
5.7;1;-3.57;0.46
5.7;1;-3.6;0.49
5.7;1;-3.63;0.43
5.7;1;-3.66;0.40
5.7;1;-3.69;0.47
5.7;1;-3.72;0.46
5.7;1;-3.75;0.48
5.7;1;-3.78;0.44
5.7;1;-3.81;0.41
5.7;1;-3.84;0.45
5.7;1;-3.87;0.48
5.7;1;-3.9;0.41
5.7;1;-3.93;0.48
5.7;1;-3.96;0.49
5.7;1;-3.99;0.45
5.7;1;-4.02;0.48
5.7;1;-4.05;0.42
