X;Y;Z;phi
m;m;m;	 
R+;R+;D;K
;;; 
Longitude;Latitude;Depth; 
;;; 
5.7;1;-0.10;1
5.7;1;-0.30;1
5.7;1;-0.50;1
5.7;1;-0.70;1
5.7;1;-0.90;1
5.7;1;-1.10;1
5.7;1;-1.30;1
5.7;1;-1.50;1
5.7;1;-1.70;1
5.7;1;-1.90;1
5.7;1;-2.07;2
5.7;1;-2.10;2
5.7;1;-2.13;2
5.7;1;-2.16;2
5.7;1;-2.19;2
5.7;1;-2.22;2
5.7;1;-2.25;2
5.7;1;-2.28;2
5.7;1;-2.31;2
5.7;1;-2.34;2
5.7;1;-2.37;2
5.7;1;-2.40;2
5.7;1;-2.43;2
5.7;1;-2.46;2
5.7;1;-2.49;2
5.7;1;-2.55;2
5.7;1;-2.58;2
5.7;1;-2.61;2
5.7;1;-2.64;2
5.7;1;-2.67;2
5.7;1;-2.70;2
5.7;1;-2.73;2
5.7;1;-2.76;2
5.7;1;-2.79;2
5.7;1;-2.82;2
5.7;1;-2.85;2
5.7;1;-2.88;2
5.7;1;-2.91;2
5.7;1;-2.94;2
5.7;1;-2.97;2
5.7;1;-3.00;2
5.7;1;-3.03;2
5.7;1;-3.06;2
5.7;1;-3.09;2
5.7;1;-3.12;2
5.7;1;-3.15;2
5.7;1;-3.18;2
5.7;1;-3.21;2
5.7;1;-3.24;2
5.7;1;-3.27;2
5.7;1;-3.30;2
5.7;1;-3.33;2
5.7;1;-3.36;2
5.7;1;-3.39;2
5.7;1;-3.45;3
5.7;1;-3.48;3
5.7;1;-3.51;3
5.7;1;-3.54;3
5.7;1;-3.57;3
5.7;1;-3.60;3
5.7;1;-3.63;3
5.7;1;-3.66;3
5.7;1;-3.69;3
5.7;1;-3.72;3
5.7;1;-3.75;3
5.7;1;-3.78;3
5.7;1;-3.81;3
5.7;1;-3.84;3
5.7;1;-3.87;3
5.7;1;-3.90;3
5.7;1;-3.93;3
5.7;1;-3.96;3
5.7;1;-3.99;3
5.7;1;-4.02;3
5.7;1;-4.05;3
5.7;1;-4.08;3
5.7;1;-4.11;3
5.7;1;-4.14;3
5.7;1;-4.17;3
5.7;1;-4.20;3
5.7;1;-4.23;3
5.7;1;-4.29;4
5.7;1;-4.32;4
5.7;1;-4.35;4
5.7;1;-4.38;4
5.7;1;-4.41;4
5.7;1;-4.44;4
5.7;1;-4.47;4
5.7;1;-4.50;4
5.7;1;-4.53;4
5.7;1;-4.59;4
5.7;1;-4.62;4
5.7;1;-4.65;4
5.7;1;-4.68;4
5.7;1;-4.71;4
5.7;1;-4.74;4
5.7;1;-4.77;4
5.7;1;-4.80;4
5.7;1;-4.83;4
5.7;1;-4.86;4
5.7;1;-4.89;4
5.7;1;-4.92;4
5.7;1;-4.95;4
5.7;1;-4.98;4
5.7;1;-5.01;4
5.7;1;-5.04;4
5.7;1;-5.07;4
5.7;1;-5.10;4
5.7;1;-5.13;4
5.7;1;-5.16;4
5.7;1;-5.19;4
5.7;1;-5.22;4
5.7;1;-5.25;4
5.7;1;-5.28;4
5.7;1;-5.31;4
5.7;1;-5.34;4
5.7;1;-5.37;4
5.7;1;-5.40;4
5.7;1;-5.43;4
5.7;1;-5.46;4
5.7;1;-5.49;4
5.7;1;-5.52;4
5.7;1;-5.55;4
5.7;1;-5.61;5
5.7;1;-5.64;5
5.7;1;-5.67;5
5.7;1;-5.70;5
5.7;1;-5.73;5
5.7;1;-5.76;5
5.7;1;-5.79;5
5.7;1;-5.82;5
5.7;1;-5.85;5
5.7;1;-5.88;5
5.7;1;-5.91;5
5.7;1;-5.94;5
5.7;1;-5.97;5
5.7;1;-6.00;5
5.7;1;-6.03;5
5.7;1;-6.06;5
5.7;1;-6.09;5
5.7;1;-6.12;5
5.7;1;-6.15;5
5.7;1;-6.18;5
5.7;1;-6.21;5
5.7;1;-6.24;5
5.7;1;-6.27;5
5.7;1;-6.30;5
5.7;1;-6.33;5
5.7;1;-6.36;5
5.7;1;-6.39;5
5.7;1;-6.42;5
5.7;1;-6.45;5
5.7;1;-6.48;5
5.7;1;-6.51;5
5.7;1;-6.54;5
5.7;1;-6.60;5
5.7;1;-6.63;5
5.7;1;-6.66;5
5.7;1;-6.69;5
