X;Y;Z;phi
72.9;1;-1.30;0.43
14.3;1;-10.83;0.35
14.3;1;-7.80;0.28
72.9;1;-11.25;0.34
5.7;1;-2.43;0.40
31.5;1;-10.47;0.41
72.9;1;-10.08;0.27
84;1;-9.15;0.42
91.9;1;-4.68;0.27
37;1;-7.23;0.49
37;1;-13.92;0.10
37;1;-9.72;0.43
31.5;1;-13.89;0.11
62.9;1;-9.57;0.44
22.4;1;-2.25;0.50
31.5;1;-13.44;0.12
62.9;1;-6.30;0.35
62.9;1;-12.57;0.48
62.9;1;-6.33;0.32
84;1;-5.94;0.42
84;1;-12.18;0.48
22.4;1;-10.20;0.27
46.9;1;-14.46;0.12
91.9;1;-9.99;0.28
91.9;1;-8.55;0.50
72.9;1;-4.80;0.29
72.9;1;-9.00;0.50
31.5;1;-12.84;0.12
91.9;1;-4.50;0.34
84;1;-7.92;0.30
84;1;-2.88;0.41
37;1;-10.77;0.27
46.9;1;-5.49;0.46
14.3;1;-11.43;0.25
14.3;1;-10.29;0.31
72.9;1;-12.45;0.32
22.4;1;-4.86;0.41
46.9;1;-13.53;0.11
72.9;1;-10.59;0.33
50;1;-5.97;0.32
50;1;-5.28;0.30
46.9;1;-10.29;0.28
62.9;1;-8.43;0.47
37;1;-1.53;0.46
84;1;-3.66;0.27
72.9;1;-14.91;0.13
5.7;1;-11.67;0.33
50;1;-12.72;0.47
22.4;1;-7.20;0.29
46.9;1;-10.35;0.29
91.9;1;-11.04;0.35
50;1;-8.76;0.44
84;1;-14.40;0.12
72.9;1;-10.23;0.30
31.5;1;-0.30;0.70
62.9;1;-3.81;0.47
5.7;1;-11.07;0.34
46.9;1;-13.02;0.14
91.9;1;-10.59;0.34
31.5;1;-11.58;0.28
72.9;1;-7.17;0.32
5.7;1;-2.34;0.45
62.9;1;-4.11;0.40
37;1;-11.46;0.27
84;1;-14.49;0.11
31.5;1;-7.92;0.41
37;1;-13.11;0.11
37;1;-10.47;0.26
37;1;-6.84;0.28
84;1;-5.16;0.26
62.9;1;-6.48;0.30
91.9;1;-9.66;0.30
72.9;1;-13.89;0.12
31.5;1;-10.11;0.49
37;1;-10.44;0.34
72.9;1;-14.94;0.15
50;1;-9.96;0.48
91.9;1;-13.11;0.12
91.9;1;-3.48;0.43
37;1;-13.02;0.11
31.5;1;-6.36;0.33
5.7;1;-2.13;0.40
62.9;1;-2.28;0.50
50;1;-4.86;0.46
22.4;1;-6.57;0.34
46.9;1;-11.19;0.26
22.4;1;-9.78;0.26
31.5;1;-9.48;0.33
31.5;1;-7.98;0.45
50;1;-2.28;0.47
91.9;1;-9.24;0.48
84;1;-12.03;0.43
91.9;1;-3.66;0.49
91.9;1;-11.19;0.33
50;1;-4.77;0.44
5.7;1;-9.39;0.35
50;1;-11.79;0.34
31.5;1;-10.53;0.42
14.3;1;-14.79;0.13
31.5;1;-6.24;0.31
72.9;1;-6.27;0.32
31.5;1;-3.78;0.42
5.7;1;-8.40;0.25
31.5;1;-9.27;0.34
84;1;-11.94;0.46
84;1;-11.79;0.31
72.9;1;-12.75;0.49
72.9;1;-10.80;0.32
50;1;-14.10;0.11
46.9;1;-6.06;0.32
37;1;-5.07;0.26
62.9;1;-4.26;0.27
46.9;1;-5.07;0.43
31.5;1;-10.08;0.42
14.3;1;-6.48;0.33
37;1;-11.94;0.33
5.7;1;-5.64;0.33
62.9;1;-12.33;0.34
62.9;1;-10.14;0.49
37;1;-10.56;0.32
91.9;1;-4.35;0.26
31.5;1;-5.37;0.30
5.7;1;-9.90;0.28
46.9;1;-10.32;0.32
37;1;-1.41;0.43
46.9;1;-6.72;0.44
50;1;-9.87;0.27
46.9;1;-7.41;0.43
72.9;1;-11.19;0.34
37;1;-9.63;0.27
22.4;1;-4.41;0.42
14.3;1;-13.86;0.13
72.9;1;-7.29;0.26
50;1;-10.08;0.45
50;1;-3.87;0.44
46.9;1;-5.91;0.29
72.9;1;-13.26;0.12
46.9;1;-6.69;0.41
14.3;1;-13.50;0.13
72.9;1;-7.56;0.27
62.9;1;-10.41;0.29
31.5;1;-11.91;0.26
84;1;-6.93;0.50
50;1;-1.74;0.41
46.9;1;-12.84;0.44
72.9;1;-5.10;0.30
22.4;1;-11.10;0.32
84;1;-13.11;0.11
62.9;1;-3.06;0.45
5.7;1;-12.57;0.15
37;1;-4.17;0.34
91.9;1;-9.81;0.26
72.9;1;-4.77;0.31
72.9;1;-9.72;0.43
72.9;1;-13.35;0.10
22.4;1;-9.24;0.46
37;1;-2.31;0.49
50;1;-3.48;0.26
22.4;1;-3.81;0.45
91.9;1;-8.16;0.30
37;1;-9.99;0.50
5.7;1;-5.22;0.43
22.4;1;-3.90;0.49
91.9;1;-5.40;0.27
62.9;1;-5.88;0.32
72.9;1;-5.34;0.25
84;1;-13.26;0.14
22.4;1;-5.52;0.50
50;1;-1.68;0.42
31.5;1;-8.10;0.45
50;1;-5.10;0.34
46.9;1;-9.30;0.30
46.9;1;-3.57;0.34
31.5;1;-6.18;0.32
46.9;1;-7.80;0.44
