X;Y;Z;phi
m;m;m; 
R+;R+;D;R+
;;; 
Longitude;Latitude;Depth; 
;;; 
14.3;1;-13.95;0.11
62.9;1;-0.20;0.30
37;1;-1.74;0.48
62.9;1;-14.13;0.13
31.5;1;-1.59;0.40
5.7;1;-4.20;0.48
14.3;1;-5.61;0.32
14.3;1;-11.76;0.35
91.9;1;-14.61;0.12
5.7;1;-14.82;0.15
50;1;-7.65;0.44
91.9;1;-10.86;0.35
31.5;1;-7.44;0.41
31.5;1;-14.07;0.14
91.9;1;-13.92;0.12
62.9;1;-4.17;0.48
72.9;1;-6.12;0.26
62.9;1;-8.52;0.41
31.5;1;-9.66;0.33
72.9;1;-11.52;0.33
46.9;1;-6.84;0.46
50;1;-1.47;0.44
14.3;1;-10.77;0.33
72.9;1;-3.87;0.34
31.5;1;-9.69;0.27
50;1;-12.78;0.42
84;1;-3.18;0.28
5.7;1;-3.54;0.47
62.9;1;-6.96;0.32
72.9;1;-11.19;0.34
31.5;1;-13.32;0.14
5.7;1;-9.66;0.25
31.5;1;-2.25;0.45
84;1;-0.55;0.75
31.5;1;-0.50;0.72
46.9;1;-10.56;0.35
22.4;1;-12.93;0.47
72.9;1;-12.93;0.40
84;1;-13.65;0.13
