X;Y;Z;phi
m;m;m;
R+;R+;D;R+
;;;
Longitude;Latitude;Depth;
;;;
5.7;1;-28.22;0.32
5.7;1;-28.25;0.28
5.7;1;-28.28;0.28
5.7;1;-28.31;0.31
5.7;1;-28.34;0.27
5.7;1;-28.37;0.28
5.7;1;-28.4;0.25
5.7;1;-28.43;0.28
5.7;1;-28.46;0.31
5.7;1;-28.49;0.28
5.7;1;-28.52;0.32
5.7;1;-28.55;0.31
5.7;1;-28.58;0.35
5.7;1;-28.61;0.29
5.7;1;-28.64;0.26
5.7;1;-28.67;0.30
5.7;1;-28.7;0.31
5.7;1;-28.76;0.33
5.7;1;-28.79;0.27
5.7;1;-28.82;0.35
5.7;1;-28.85;0.34
5.7;1;-28.88;0.27
5.7;1;-28.91;0.32
5.7;1;-28.94;0.26
5.7;1;-28.97;0.27
5.7;1;-29;0.29
5.7;1;-29.03;0.30
5.7;1;-29.09;0.30
5.7;1;-29.12;0.26
5.7;1;-29.15;0.28
5.7;1;-29.18;0.30
5.7;1;-29.21;0.27
5.7;1;-29.24;0.28
5.7;1;-29.27;0.32
5.7;1;-29.3;0.32
5.7;1;-29.36;0.34
5.7;1;-29.39;0.35
5.7;1;-29.42;0.31
5.7;1;-29.45;0.32
5.7;1;-29.48;0.26
5.7;1;-29.51;0.29
5.7;1;-29.54;0.27
5.7;1;-29.6;0.29
5.7;1;-29.63;0.32
5.7;1;-29.66;0.25
5.7;1;-29.69;0.26
5.7;1;-29.72;0.31
5.7;1;-29.75;0.30
5.7;1;-29.78;0.25
5.7;1;-29.81;0.31
5.7;1;-29.84;0.26
5.7;1;-29.87;0.34
5.7;1;-29.9;0.28
5.7;1;-29.93;0.31
5.7;1;-29.96;0.30
5.7;1;-29.99;0.27
5.7;1;-30.02;0.26
5.7;1;-30.05;0.28
5.7;1;-30.08;0.30
5.7;1;-30.11;0.35
5.7;1;-30.17;0.29
5.7;1;-30.2;0.34
5.7;1;-30.23;0.33
5.7;1;-30.26;0.31
5.7;1;-30.29;0.31
5.7;1;-30.32;0.34
5.7;1;-30.35;0.27
5.7;1;-30.38;0.25
5.7;1;-30.41;0.34
5.7;1;-30.44;0.29
5.7;1;-30.47;0.34
5.7;1;-30.5;0.25
5.7;1;-30.53;0.31
5.7;1;-30.56;0.31
5.7;1;-30.59;0.30
5.7;1;-30.62;0.35
5.7;1;-30.65;0.32
5.7;1;-30.68;0.31
5.7;1;-30.71;0.30
5.7;1;-30.74;0.33
5.7;1;-30.77;0.31
5.7;1;-30.8;0.31
5.7;1;-30.83;0.26
5.7;1;-30.89;0.31
5.7;1;-30.92;0.33
5.7;1;-30.95;0.35
5.7;1;-30.98;0.30
5.7;1;-31.01;0.33
5.7;1;-31.04;0.32
5.7;1;-31.07;0.34
5.7;1;-31.1;0.34
5.7;1;-31.13;0.31
5.7;1;-31.16;0.35
5.7;1;-31.19;0.30
5.7;1;-31.22;0.34
5.7;1;-31.25;0.31
5.7;1;-31.28;0.35
5.7;1;-31.31;0.32
5.7;1;-31.34;0.33
