X;Y;Z;phi
m;m;m;
R+;R+;D;R+
;;;
Longitude;Latitude;Depth;
;;;
5.7;1;-13.32;0.44
5.7;1;-13.52;0.76
5.7;1;-13.72;0.57
5.7;1;-13.92;0.79
5.7;1;-14.12;0.33
5.7;1;-14.32;0.43
5.7;1;-14.52;0.58
5.7;1;-14.72;0.38
5.7;1;-14.92;0.46
5.7;1;-15.12;0.48
5.7;1;-15.29;0.46
5.7;1;-15.32;0.47
5.7;1;-15.35;0.40
5.7;1;-15.38;0.42
5.7;1;-15.41;0.43
5.7;1;-15.44;0.49
5.7;1;-15.47;0.49
5.7;1;-15.50;0.47
5.7;1;-15.53;0.47
5.7;1;-15.56;0.45
5.7;1;-15.59;0.41
5.7;1;-15.62;0.45
5.7;1;-15.65;0.40
5.7;1;-15.68;0.48
5.7;1;-15.71;0.45
5.7;1;-15.77;0.43
5.7;1;-15.80;0.40
5.7;1;-15.83;0.42
5.7;1;-15.86;0.41
5.7;1;-15.89;0.41
5.7;1;-15.92;0.48
5.7;1;-15.95;0.47
5.7;1;-15.98;0.42
5.7;1;-16.01;0.46
5.7;1;-16.04;0.43
5.7;1;-16.07;0.47
5.7;1;-16.10;0.44
5.7;1;-16.13;0.50
5.7;1;-16.16;0.47
5.7;1;-16.19;0.41
5.7;1;-16.22;0.48
5.7;1;-16.25;0.47
5.7;1;-16.28;0.44
5.7;1;-16.31;0.46
5.7;1;-16.34;0.46
5.7;1;-16.37;0.45
5.7;1;-16.40;0.43
5.7;1;-16.43;0.40
5.7;1;-16.46;0.43
5.7;1;-16.49;0.48
5.7;1;-16.52;0.46
5.7;1;-16.55;0.49
5.7;1;-16.58;0.43
5.7;1;-16.61;0.41
5.7;1;-16.67;0.41
5.7;1;-16.70;0.49
5.7;1;-16.73;0.44
5.7;1;-16.76;0.47
5.7;1;-16.79;0.46
5.7;1;-16.82;0.49
5.7;1;-16.85;0.43
5.7;1;-16.88;0.40
5.7;1;-16.91;0.47
5.7;1;-16.94;0.46
5.7;1;-16.97;0.48
5.7;1;-17.00;0.44
5.7;1;-17.03;0.41
5.7;1;-17.06;0.45
5.7;1;-17.09;0.48
5.7;1;-17.12;0.41
5.7;1;-17.15;0.48
5.7;1;-17.18;0.49
5.7;1;-17.21;0.45
5.7;1;-17.24;0.48
5.7;1;-17.27;0.42
5.7;1;-17.30;0.41
5.7;1;-17.33;0.46
5.7;1;-17.36;0.41
5.7;1;-17.39;0.42
5.7;1;-17.42;0.48
5.7;1;-17.45;0.41
5.7;1;-17.51;0.41
5.7;1;-17.54;0.43
5.7;1;-17.57;0.42
5.7;1;-17.60;0.47
5.7;1;-17.63;0.46
5.7;1;-17.66;0.45
5.7;1;-17.69;0.41
5.7;1;-17.72;0.43
5.7;1;-17.75;0.45
5.7;1;-17.81;0.42
5.7;1;-17.84;0.45
5.7;1;-17.87;0.48
5.7;1;-17.90;0.49
5.7;1;-17.93;0.50
5.7;1;-17.96;0.49
5.7;1;-17.99;0.41
5.7;1;-18.02;0.47
