X;Y;Z;phi
m;m;m;
R+;R+;D;R+
;;;
Longitude;Latitude;Depth;
;;;
5.7;1;7.02;0.44
5.7;1;6.82;0.76
5.7;1;6.62;0.57
5.7;1;6.42;0.79
5.7;1;6.22;0.33
5.7;1;6.02;0.43
5.7;1;5.82;0.58
5.7;1;5.62;0.38
5.7;1;5.42;0.46
5.7;1;5.22;0.48
5.7;1;5.05;0.46
5.7;1;5.02;0.47
5.7;1;4.99;0.4
5.7;1;4.96;0.42
5.7;1;4.93;0.43
5.7;1;4.90;0.49
5.7;1;4.87;0.49
5.7;1;4.84;0.47
5.7;1;4.81;0.47
5.7;1;4.78;0.45
5.7;1;4.75;0.41
5.7;1;4.72;0.45
5.7;1;4.69;0.4
5.7;1;4.66;0.48
5.7;1;4.63;0.45
5.7;1;4.57;0.43
5.7;1;4.54;0.4
5.7;1;4.51;0.42
5.7;1;4.48;0.41
5.7;1;4.45;0.41
5.7;1;4.42;0.48
5.7;1;4.39;0.47
5.7;1;4.36;0.42
5.7;1;4.33;0.46
5.7;1;4.30;0.43
5.7;1;4.27;0.47
5.7;1;4.24;0.44
5.7;1;4.21;0.5
5.7;1;4.18;0.47
5.7;1;4.15;0.41
5.7;1;4.12;0.48
5.7;1;4.09;0.47
5.7;1;4.06;0.44
5.7;1;4.03;0.46
5.7;1;4.00;0.46
5.7;1;3.97;0.45
5.7;1;3.94;0.43
5.7;1;3.91;0.4
5.7;1;3.88;0.43
5.7;1;3.85;0.48
5.7;1;3.82;0.46
5.7;1;3.79;0.49
5.7;1;3.76;0.43
5.7;1;3.73;0.41
5.7;1;3.67;0.41
5.7;1;3.64;0.49
5.7;1;3.61;0.44
5.7;1;3.58;0.47
5.7;1;3.55;0.46
5.7;1;3.52;0.49
5.7;1;3.49;0.43
5.7;1;3.46;0.4
5.7;1;3.43;0.47
5.7;1;3.40;0.46
5.7;1;3.37;0.48
5.7;1;3.34;0.44
5.7;1;3.31;0.41
5.7;1;3.28;0.45
5.7;1;3.25;0.48
5.7;1;3.22;0.41
5.7;1;3.19;0.48
5.7;1;3.16;0.49
5.7;1;3.13;0.45
5.7;1;3.10;0.48
5.7;1;3.07;0.42
5.7;1;3.04;0.41
5.7;1;3.01;0.46
5.7;1;2.98;0.41
5.7;1;2.95;0.42
5.7;1;2.92;0.48
5.7;1;2.89;0.41
5.7;1;2.83;0.41
5.7;1;2.80;0.43
5.7;1;2.77;0.42
5.7;1;2.74;0.47
5.7;1;2.71;0.46
5.7;1;2.68;0.45
5.7;1;2.65;0.41
5.7;1;2.62;0.43
5.7;1;2.59;0.45
5.7;1;2.53;0.42
5.7;1;2.50;0.45
5.7;1;2.47;0.48
5.7;1;2.44;0.49
5.7;1;2.41;0.5
5.7;1;2.38;0.49
5.7;1;2.35;0.41
5.7;1;2.32;0.47
5.7;1;2.29;0.46
5.7;1;2.26;0.45
5.7;1;2.23;0.46
5.7;1;2.20;0.42
5.7;1;2.17;0.46
5.7;1;2.14;0.41
5.7;1;2.11;0.49
5.7;1;2.08;0.48
