X;Y;Z;phi
72.9;1;28.79;0.43
14.3;1;6.54;0.35
14.3;1;9.57;0.28
72.9;1;18.84;0.34
5.7;1;4.69;0.4
31.5;1;22.96;0.41
72.9;1;20.01;0.27
84;1;10.13;0.42
91.9;1;5.40;0.27
37;1;29.48;0.49
37;1;22.79;0.1
37;1;26.99;0.43
31.5;1;19.54;0.11
62.9;1;27.19;0.44
22.4;1;23.63;0.5
31.5;1;19.99;0.12
62.9;1;30.46;0.35
62.9;1;24.19;0.48
62.9;1;30.43;0.32
84;1;13.34;0.42
84;1;7.10;0.48
22.4;1;15.68;0.27
46.9;1;25.35;0.12
91.9;1;0.09;0.28
91.9;1;1.53;0.5
72.9;1;25.29;0.29
72.9;1;21.09;0.5
31.5;1;20.59;0.12
91.9;1;5.58;0.34
84;1;11.36;0.3
84;1;16.40;0.41
37;1;25.94;0.27
46.9;1;34.32;0.46
14.3;1;5.94;0.25
14.3;1;7.08;0.31
72.9;1;17.64;0.32
22.4;1;21.02;0.41
46.9;1;26.28;0.11
72.9;1;19.50;0.33
50;1;34.03;0.32
50;1;34.72;0.3
46.9;1;29.52;0.28
62.9;1;28.33;0.47
37;1;35.18;0.46
84;1;15.62;0.27
72.9;1;15.18;0.13
5.7;1;-4.55;0.33
50;1;27.28;0.47
22.4;1;18.68;0.29
46.9;1;29.46;0.29
91.9;1;-0.96;0.35
50;1;31.24;0.44
84;1;4.88;0.12
72.9;1;19.86;0.3
31.5;1;33.13;0.7
62.9;1;32.95;0.47
5.7;1;-3.95;0.34
46.9;1;26.79;0.14
91.9;1;-0.51;0.34
31.5;1;21.85;0.28
72.9;1;22.92;0.32
5.7;1;4.78;0.45
62.9;1;32.65;0.4
37;1;25.25;0.27
84;1;4.79;0.11
31.5;1;25.51;0.41
37;1;23.60;0.11
37;1;26.24;0.26
37;1;29.87;0.28
84;1;14.12;0.26
62.9;1;30.28;0.3
91.9;1;0.42;0.3
72.9;1;16.20;0.12
31.5;1;23.32;0.49
37;1;26.27;0.34
72.9;1;15.15;0.15
50;1;30.04;0.48
91.9;1;-3.03;0.12
91.9;1;6.60;0.43
37;1;23.69;0.11
31.5;1;27.07;0.33
5.7;1;4.99;0.4
62.9;1;34.48;0.5
50;1;35.14;0.46
22.4;1;19.31;0.34
46.9;1;28.62;0.26
22.4;1;16.10;0.26
31.5;1;23.95;0.33
31.5;1;25.45;0.45
50;1;37.72;0.47
91.9;1;0.84;0.48
84;1;7.25;0.43
91.9;1;6.42;0.49
91.9;1;-1.11;0.33
50;1;35.23;0.44
5.7;1;-2.27;0.35
50;1;28.21;0.34
31.5;1;22.90;0.42
14.3;1;2.58;0.13
31.5;1;27.19;0.31
72.9;1;23.82;0.32
31.5;1;29.65;0.42
5.7;1;-1.28;0.25
31.5;1;24.16;0.34
84;1;7.34;0.46
84;1;7.49;0.31
72.9;1;17.34;0.49
72.9;1;19.29;0.32
50;1;25.90;0.11
46.9;1;33.75;0.32
37;1;31.64;0.26
62.9;1;32.50;0.27
46.9;1;34.74;0.43
31.5;1;23.35;0.42
14.3;1;10.89;0.33
37;1;24.77;0.33
5.7;1;1.48;0.33
62.9;1;24.43;0.34
62.9;1;26.62;0.49
37;1;26.15;0.32
91.9;1;5.73;0.26
31.5;1;28.06;0.3
5.7;1;-2.78;0.28
46.9;1;29.49;0.32
37;1;35.30;0.43
46.9;1;33.09;0.44
50;1;30.13;0.27
46.9;1;32.40;0.43
72.9;1;18.90;0.34
37;1;27.08;0.27
22.4;1;21.47;0.42
14.3;1;3.51;0.13
72.9;1;22.80;0.26
50;1;29.92;0.45
50;1;36.13;0.44
46.9;1;33.90;0.29
72.9;1;16.83;0.12
46.9;1;33.12;0.41
14.3;1;3.87;0.13
72.9;1;22.53;0.27
62.9;1;26.35;0.29
31.5;1;21.52;0.26
84;1;12.35;0.5
50;1;38.26;0.41
46.9;1;26.97;0.44
72.9;1;24.99;0.3
22.4;1;14.78;0.32
84;1;6.17;0.11
62.9;1;33.70;0.45
5.7;1;-5.45;0.15
37;1;32.54;0.34
91.9;1;0.27;0.26
72.9;1;25.32;0.31
72.9;1;20.37;0.43
72.9;1;16.74;0.1
22.4;1;16.64;0.46
37;1;34.40;0.49
50;1;36.52;0.26
22.4;1;22.07;0.45
91.9;1;1.92;0.3
37;1;26.72;0.5
5.7;1;1.90;0.43
22.4;1;21.98;0.49
91.9;1;4.68;0.27
62.9;1;30.88;0.32
72.9;1;24.75;0.25
84;1;6.02;0.14
22.4;1;20.36;0.5
50;1;38.32;0.42
31.5;1;25.33;0.45
