TS;X;Y;Z;CO2
;m;m;m; 
V;R;R;D;R+
;;;; 
;Longitude;Latitude;Depth; 
;;;; 
;138.391;590.444;0;11.3
;259.958;567.98;0;2.65
;226.065;523.37;0;2.78
;95.3108;482.531;0;2.88
;49.6509;452.5;0;14.8
;139.713;383.413;0;109
;287.528;473.059;0;84.1
;337.913;370.872;0;5.04
;352.332;351.248;0;1.99
;263.328;403.58;0;95.4
;2.44783;585.211;0;3.95
;431.793;546.919;0;27.4
;430.553;579.349;0;38.4
;327.997;239.852;0;1.64
;474.623;184.035;0;29.8
;259.071;145.162;0;1.89
;65.5064;258.842;0;6.35
;177.181;289.674;0;89.3
;14.7416;248.857;0;17.6
;7.78654;160.163;0;7.02
;10.7336;169.217;0;3.64
;597.72;547.808;0;15.4
;582.692;457.465;0;59.1
;388.077;221.323;0;265
;442.118;161.664;0;10.4
;368.952;259.263;0;3.58
;276.54;240.888;0;1.33
;178.16;218.592;0;32.2
;110.697;163.865;0;7.47
;431.988;300.787;0;1.46
;479.169;300.385;0;45.93
;162.563;80.4929;0;2.08
;132.729;39.9715;0;2.35
;625.58;168.072;0;6.68
;140.781;18.0695;0;0
;684.824;563.769;0;57.1
;118.638;24.9774;0;17.9
;441.991;151.25;0;10.4
;313.31;74.3513;0;4.92
;498.495;353.889;0;33.7
;510.622;284.096;0;3.01
;107.285;75.5495;0;6.55
;595.636;327.153;0;337
;588.354;376.402;0;88.8
;631.805;37.3343;0;198.53
;490.753;113.013;0;3.64
;659.89;533.453;0;10.3
;695.059;496.671;0;48.6
;437.497;42.8327;0;4.92
;452.671;3.64125;0;4.92
;495.957;601.806;0;11.3
