Città;Lat (WGS84);Long (WGS84);X (UTM32N);Y (UTM32N)
Alessandria;44.907273;8.611680;469345;4972723
Asti;44.900751;8.206426;437346;4972231
Bergamo;45.698264;9.677270;552727;5060746
Brescia;45.541553;10.211802;594604;5043827
Cremona;45.133249;10.022651;580413;4998261
Milano;45.465422;9.185924;514535;5034672
Novara;45.446930;8.622161;470451;5032670
Parma;44.801485;10.327904;605020;4961756
Pavia;45.184725;9.158207;512429;5003484
Piacenza;45.052621;9.692984;554568;4989030
Reggio E.;44.698993;10.629686;629115;4950805
Torino;45.070312;7.686857;396631;4991600
Vercelli;45.320227;8.418573;454431;5018689
