X;Y;Z;T
570597;5056738;-1176.70;53
542584;5032164;-1650.20;57
481536;5043001;-3909.85;111
577378;5050285;-1711.53;67
543856;5037072;-2227.70;89
544210;5038919;-2375.50;86
403880;4959663;-1287.50;54
564208;4983518;-1476.10;44
540070;5032725;-911.15;44
385456;4956442;-1746.70;55
616306;4974986;-2015.80;46
481812;5041223;-2946.60;92
477546;5014218;-3142.60;85
627094;4964123;-2971.00;73
532705;4991366;-1219.60;52
388993;4951258;-1211.15;47
438864;4979277;-1108.60;48
518692;4956784;-334.00;57
572938;4922264;-169.80;69
548512;4970426;-1599.10;58
446247;5017428;-2286.15;77
483455;5033252;-3629.00;96
479244;5036775;-3292.00;101
501645;5020644;-3071.00;88
504355;5022945;-2822.00;77
412731;4995280;-876.70;44
499139;4969065;-1534.20;56
501982;4970698;-1506.55;59
517630;5000560;-2330.00;79
585563;4982857;-2234.90;74
626449;4945775;-901.70;47
630058;4947713;-1843.55;52
580858;4982073;-994.80;40
534301;5069155;-1297.40;69
469919;5065633;-2026.20;58
574071;5042956;-2832.95;75
565144;5037890;-2973.00;85
553920;5018096;-918.00;41
510262;5016708;-2884.10;82
405981;5010221;-861.40;40
530001;5007294;-1457.60;51
453936;5010779;-1580.60;51
530835;5000400;-1108.35;48
562052;5025715;-994.65;47
453670;5003393;-988.35;46
473070;4994438;-1465.60;74
551410;5038385;-3168.60;76
515158;5008441;-3324.40;91
596291;4947144;-1611.00;54
591253;4950226;-1101.52;54
596033;4948506;-2346.60;71
606080;4939075;-1050.65;48
612040;4941953;-1985.25;63
593216;4943243;-1240.00;60
600803;4942513;-1511.50;56
589101;5015517;-2514.85;82
590432;5019491;-2021.70;72
582934;5019255;-1682.55;52
576210;5004148;-1094.60;41
487536;5040842;-1206.50;40
528557;5045094;-2150.00;84
505468;5012625;-3244.60;85
578288;4962076;-1967.75;59
571003;4979934;-1874.70;56
581785;4987907;-1276.65;54
426075;5027465;-1627.50;84
434462;5035328;-1559.00;71
459140;5044740;-1295.00;56
629382;4927931;-672.00;49
631573;4937565;-1049.70;49
629244;5009697;-1469.50;38
597696;5035857;-1055.40;53
620605;4913550;-228.00;54
601735;5025397;-3194.15;78
506541;5037256;-2253.50;78
511434;5044651;-809.30;38
599343;4998101;-1942.45;60
508187;4984755;-1063.40;47
577907;5016313;-1422.25;48
536415;5029070;-1470.65;53
574383;5033137;-1499.75;51
559317;5028477;-1090.00;49
526651;5038120;-1270.60;59
537242;5015010;-1413.70;48
564756;5001699;-1105.15;41
485470;4956706;-1583.20;50
447930;5007637;-1056.65;39
544087;5038574;-2881.00;90
551209;5044783;-2558.80;78
540929;5013566;-1067.65;48
545880;5012289;-1107.30;44
570597;5056738;-2125.70;66
481536;5043001;-5101.65;153
577378;5050285;-3075.03;93
543856;5037072;-2815.00;91
403880;4959663;-2593.45;87
564208;4983518;-1782.80;54
540070;5032725;-1329.15;47
385456;4956442;-2827.70;94
616306;4974986;-3350.50;75
481812;5041223;-4261.77;120
477546;5014218;-4408.25;105
627094;4964123;-4930.00;97
532705;4991366;-1244.15;55
388993;4951258;-1243.60;48
438864;4979277;-1251.30;51
518692;4956784;-1374.00;78
572938;4922264;-2018.40;88
548512;4970426;-2264.60;73
446247;5017428;-2682.40;79
483455;5033252;-5291.00;151
479244;5036775;-4514.00;140
501645;5020644;-3108.00;91
