depth;T
0;14.9
20;15.4
40;16.0
60;16.5
80;17.0
100;17.5
120;18.1
140;18.6
160;19.1
180;19.6
200;20.1
220;20.7
240;21.2
260;21.7
280;22.2
300;22.7
320;23.2
340;23.8
360;24.3
380;24.8
400;25.3
420;25.8
440;26.3
460;26.8
480;27.3
500;27.8
520;28.3
540;28.8
560;29.3
580;29.8
600;30.3
620;30.8
640;31.3
660;31.8
680;32.3
700;32.8
720;33.3
740;33.8
760;34.3
780;34.8
800;35.3
820;35.8
840;36.3
860;36.7
880;37.2
900;37.7
920;38.2
940;38.7
960;39.2
980;39.7
1000;40.1
1020;40.6
1040;41.1
1060;41.6
1080;42.1
1100;42.5
1120;43.0
1140;43.5
1160;44.0
1180;44.5
1200;44.9
1220;45.4
1240;45.9
1260;46.4
1280;46.8
1300;47.3
1320;47.8
1340;48.2
1360;48.7
1380;49.2
1400;49.7
1420;50.1
1440;50.6
1460;51.1
1480;51.5
1500;52.0
1520;52.4
1540;52.9
1560;53.4
1580;53.8
1600;54.3
1620;54.8
1640;55.2
1660;55.7
1680;56.1
1700;56.6
1720;57.1
1740;57.5
1760;58.0
1780;58.4
1800;58.9
1820;59.4
1840;59.8
1860;60.3
1880;60.7
1900;61.2
1920;61.6
1940;62.1
1960;62.5
1980;63.0
2000;63.4
2020;63.9
2040;64.3
2060;64.8
2080;65.2
2100;65.7
2120;66.1
2140;66.6
2160;67.0
2180;67.5
2200;67.9
2220;68.4
2240;68.8
2260;69.3
2280;69.7
2300;70.1
2320;70.6
2340;71.0
2360;71.5
2380;71.9
2400;72.4
2420;72.8
2440;73.2
2460;73.7
2480;74.1
2500;74.6
2520;75.0
2540;75.4
2560;75.9
2580;76.3
2600;76.7
2620;77.2
2640;77.6
2660;78.1
2680;78.5
2700;78.9
2720;79.4
2740;79.8
2760;80.2
2780;80.7
2800;81.1
2820;81.5
2840;82.0
2860;82.4
2880;82.8
2900;83.3
2920;83.7
2940;84.1
2960;84.4
2980;84.8
3000;85.2
3020;85.6
3040;86.0
3060;86.3
3080;86.7
3100;87.1
3120;87.5
3140;87.8
3160;88.2
3180;88.6
3200;89.0
3220;89.3
3240;89.7
3260;90.1
3280;90.5
3300;90.8
3320;91.3
3340;91.7
3360;92.0
3380;92.4
3400;92.8
3420;93.2
3440;93.5
3460;93.9
3480;94.3
3500;94.7
3520;95.0
3540;95.4
3560;95.8
3580;96.2
3600;96.5
3620;96.9
3640;97.3
3660;97.7
3680;98.0
3700;98.4
3720;98.8
3740;99.1
3760;99.5
3780;99.9
3800;100.2
3820;100.6
3840;101.0
3860;101.4
3880;101.7
3900;102.1
3920;102.5
3940;102.8
3960;103.2
3980;103.6
4000;103.9
4020;104.3
4040;104.7
4060;105.1
4080;105.4
4100;105.8
4120;106.2
4140;106.5
4160;106.9
4180;107.3
4200;107.6
4220;108.0
4240;108.4
4260;108.7
4280;109.1
4300;109.5
4320;109.9
4340;110.3
4360;110.7
4380;111.1
4400;111.5
4420;111.9
4440;112.1
4460;112.4
4480;112.7
4500;113.0
4520;113.2
4540;113.5
4560;113.8
4580;114.0
4600;114.3
4620;114.7
4640;115.1
4660;115.5
4680;115.9
4700;116.3
4720;116.7
4740;117.1
4760;117.5
4780;117.9
4800;118.3
4820;118.7
4840;119.1
4860;119.5
4880;119.9
4900;120.3
4920;120.6
4940;120.8
4960;121.2
4980;121.7
5000;122.1
5020;122.5
5040;123.0
5060;123.4
5080;123.8
5100;124.3
5120;124.7
5140;125.2
5160;125.6
5180;126.0
5200;126.5
5220;126.9
5240;127.3
5260;127.8
5280;128.2
5300;128.6
5320;129.1
5340;129.5
5360;129.9
5380;130.4
5400;130.8
5420;131.2
5440;131.7
