depth;T
0;14.7
20;15.3
40;15.8
60;16.4
80;16.9
100;17.4
120;18.0
140;18.5
160;19.1
180;19.6
200;20.2
220;20.7
240;21.2
260;21.8
280;22.3
300;22.8
320;23.4
340;23.9
360;24.4
380;25.0
400;25.5
420;26.0
440;26.5
460;27.0
480;27.5
500;28.0
520;28.5
540;29.0
560;29.5
580;30.0
600;30.6
620;31.1
640;31.6
660;32.1
680;32.6
700;33.1
720;33.6
740;34.2
760;34.7
780;35.2
800;35.7
820;36.2
840;36.7
860;37.2
880;37.7
900;38.2
920;38.7
940;39.2
960;39.7
980;40.2
1000;40.7
1020;41.2
1040;41.7
1060;42.2
1080;42.7
1100;43.2
1120;43.7
1140;44.2
1160;44.7
1180;45.2
1200;45.7
1220;46.2
1240;46.7
1260;47.2
1280;47.7
1300;48.1
1320;48.6
1340;49.1
1360;49.6
1380;50.1
1400;50.6
1420;51.1
1440;51.6
1460;52.0
1480;52.5
1500;53.0
1520;53.5
1540;54.0
1560;54.5
1580;54.9
1600;55.4
1620;55.9
1640;56.4
1660;56.8
1680;57.3
1700;57.8
1720;58.3
1740;58.7
1760;59.1
1780;59.5
1800;60.0
1820;60.4
1840;60.9
1860;61.3
1880;61.8
1900;62.3
1920;62.8
1940;63.3
1960;63.7
1980;64.2
2000;64.7
2020;65.2
2040;65.6
2060;66.1
2080;66.6
2100;67.0
2120;67.5
2140;68.0
2160;68.5
2180;68.9
2200;69.4
2220;69.9
2240;70.3
2260;70.8
2280;71.3
2300;71.7
2320;72.2
2340;72.7
2360;73.1
2380;73.6
2400;74.1
2420;74.5
2440;75.0
2460;75.5
2480;75.9
2500;76.4
2520;76.8
2540;77.3
2560;77.8
2580;78.2
2600;78.7
2620;79.2
2640;79.6
2660;80.1
2680;80.5
2700;81.0
2720;81.4
2740;81.9
2760;82.4
2780;82.8
2800;83.3
2820;83.7
2840;84.2
2860;84.6
2880;85.1
2900;85.5
2920;86.0
2940;86.5
2960;86.9
2980;87.4
3000;87.8
3020;88.3
3040;88.7
3060;89.2
3080;89.6
3100;90.1
3120;90.5
3140;91.0
3160;91.4
3180;91.9
3200;92.3
3220;92.8
3240;93.2
3260;93.7
3280;94.1
3300;94.5
3320;95.0
3340;95.4
3360;95.9
3380;96.3
3400;96.8
3420;97.2
3440;97.5
3460;97.9
3480;98.3
3500;98.7
3520;99.1
3540;99.6
3560;100.0
3580;100.5
3600;100.9
3620;101.4
3640;101.8
3660;102.2
3680;102.7
3700;103.1
3720;103.6
3740;104.0
3760;104.4
3780;104.9
3800;105.3
3820;105.7
3840;106.2
3860;106.6
3880;107.1
3900;107.5
3920;107.9
3940;108.4
3960;108.8
3980;109.2
4000;109.7
4020;110.1
4040;110.5
4060;111.0
4080;111.4
4100;111.8
4120;112.3
4140;112.7
4160;113.1
4180;113.6
4200;114.0
4220;114.4
4240;114.9
4260;115.3
4280;115.7
4300;116.2
4320;116.6
4340;117.0
4360;117.5
4380;117.9
4400;118.3
4420;118.7
4440;119.2
4460;119.6
4480;120.0
4500;120.5
4520;120.9
4540;121.3
4560;121.7
4580;122.1
4600;122.5
4620;122.9
4640;123.4
4660;123.7
4680;124.1
4700;124.5
4720;124.9
4740;125.2
4760;125.6
4780;126.0
4800;126.3
4820;126.7
4840;127.1
4860;127.4
4880;127.8
4900;128.2
4920;128.5
4940;128.9
4960;129.3
4980;129.6
5000;130.0
5020;130.4
5040;130.7
5060;131.1
5080;131.4
5100;131.8
5120;132.2
5140;132.5
5160;132.9
5180;133.3
5200;133.6
5220;134.0
5240;134.4
5260;134.7
5280;135.1
5300;135.5
5320;135.8
5340;136.2
5360;136.6
5380;137.0
5400;137.3
5420;137.7
5440;138.1
5460;138.4
5480;138.8
5500;139.2
5520;139.5
5540;139.9
5560;140.3
5580;140.6
5600;141.0
5620;141.4
5640;141.7
5660;142.1
5680;142.5
5700;142.9
5720;143.2
5740;143.6
5760;144.0
5780;144.3
5800;144.7
5820;145.1
5840;145.4
5860;145.8
5880;146.2
5900;146.6
