Field 0;Points:0;Points:1;Points:2
172.43;477546;5014218;-35820
172.43;477546;5014218;-35595
173.47;477546;5014218;-33320
174.51;477546;5014218;-33095
171.815;477546;5014218;-30820
169.12;477546;5014218;-30595
159.92;477546;5014218;-28320
150.72;477546;5014218;-28095
137.52;477546;5014218;-25820
124.32;477546;5014218;-25595
116.765;477546;5014218;-23320
109.21;477546;5014218;-23095
104.445;477546;5014218;-20820
99.68;477546;5014218;-20595
95.555;477546;5014218;-18320
91.43;477546;5014218;-18095
86.605;477546;5014218;-15820
81.78;477546;5014218;-15595
77.06;477546;5014218;-13320
72.34;477546;5014218;-13095
68.7;477546;5014218;-10820
65.06;477546;5014218;-10595
55.19;477546;5014218;-8320
45.32;477546;5014218;-8094.999997
34.73;477546;5014218;-5820
24.14;477546;5014218;-5594.999997
20.255;477546;5014218;-3320
16.37;477546;5014218;-3094.999997
14.105;477546;5014218;-820
11.84;477546;5014218;-594.9999973
11.84;477546;5014218;1680
