Field 0;Points:0;Points:1;Points:2
19.43;477546;5014218;-35820
19.43;477546;5014218;-35595
18.47;477546;5014218;-33320
17.51;477546;5014218;-33095
14.815;477546;5014218;-30820
12.12;477546;5014218;-30595
9.94;477546;5014218;-28320
7.76;477546;5014218;-28095
7.465;477546;5014218;-25820
7.17;477546;5014218;-25595
8.665;477546;5014218;-23320
10.16;477546;5014218;-23095
9.92;477546;5014218;-20820
9.68;477546;5014218;-20595
9.555;477546;5014218;-18320
9.43;477546;5014218;-18095
8.605;477546;5014218;-15820
7.78;477546;5014218;-15595
8.06;477546;5014218;-13320
8.34;477546;5014218;-13095
10.2;477546;5014218;-10820
12.06;477546;5014218;-10595
22.545;477546;5014218;-8320
33.03;477546;5014218;-8094.999997
22.715;477546;5014218;-5820
12.4;477546;5014218;-5594.999997
8.73;477546;5014218;-3320
5.06;477546;5014218;-3094.999997
2.685;477546;5014218;-820
0.31;477546;5014218;-594.9999973
0.31;477546;5014218;1680
