Field 0;Points:0;Points:1;Points:2
361.98;477546;5014218;-35820
361.98;477546;5014218;-35595
360.2;477546;5014218;-33320
358.42;477546;5014218;-33095
351.8;477546;5014218;-30820
345.18;477546;5014218;-30595
326.45;477546;5014218;-28320
307.72;477546;5014218;-28095
283.52;477546;5014218;-25820
259.32;477546;5014218;-25595
244.265;477546;5014218;-23320
229.21;477546;5014218;-23095
221.17;477546;5014218;-20820
213.13;477546;5014218;-20595
205.03;477546;5014218;-18320
196.93;477546;5014218;-18095
184.355;477546;5014218;-15820
171.78;477546;5014218;-15595
162.06;477546;5014218;-13320
152.34;477546;5014218;-13095
147.515;477546;5014218;-10820
142.69;477546;5014218;-10595
122.505;477546;5014218;-8320
102.32;477546;5014218;-8094.999997
87.23;477546;5014218;-5820
72.14;477546;5014218;-5594.999997
50.43;477546;5014218;-3320
28.72;477546;5014218;-3094.999997
26.33;477546;5014218;-820
23.94;477546;5014218;-594.9999973
23.94;477546;5014218;1680
