Field 0,Points:0,Points:1,Points:2
11.73,505470,5012600,333.2179871
11.73,505470,5012600,325.1910095
11.73,505470,5012600,317.1640015
11.73,505470,5012600,309.1369934
11.73,505470,5012600,301.1099854
11.73,505470,5012600,293.0830078
11.73,505470,5012600,285.0559998
11.73,505470,5012600,277.0289917
11.73,505470,5012600,269.0020142
11.73,505470,5012600,260.9750061
11.73,505470,5012600,252.947998
11.73,505470,5012600,244.9210052
11.73,505470,5012600,236.8939972
11.73,505470,5012600,228.8670044
11.73,505470,5012600,220.8399963
11.73,505470,5012600,212.8130035
11.73,505470,5012600,204.7859955
11.73,505470,5012600,196.7590027
11.73,505470,5012600,188.7319946
11.73,505470,5012600,180.7050018
11.73,505470,5012600,172.6779938
11.73,505470,5012600,164.651001
11.73,505470,5012600,156.6239929
11.73,505470,5012600,148.5970001
11.73,505470,5012600,140.5700073
11.73,505470,5012600,132.5429993
11.73,505470,5012600,124.5159988
11.73,505470,5012600,116.4889984
11.73,505470,5012600,108.461998
11.73,505470,5012600,100.4349976
11.73,505470,5012600,92.40799713
11.73,505470,5012600,84.3809967
11.73,505470,5012600,76.35399628
11.73,505470,5012600,68.32700348
11.73,505470,5012600,60.29999924
11.73,505470,5012600,52.27299881
11.73,505470,5012600,44.24599838
11.73,505470,5012600,36.21900177
11.73,505470,5012600,28.19199944
11.73,505470,5012600,20.16500092
11.73,505470,5012600,12.13799953
11.73,505470,5012600,4.111000061
11.73,505470,5012600,-3.915999889
11.73,505470,5012600,-11.94299984
11.73,505470,5012600,-19.96999931
11.73,505470,5012600,-27.99699974
11.73,505470,5012600,-36.02399826
11.73,505470,5012600,-44.05099869
11.73,505470,5012600,-52.07799911
11.73,505470,5012600,-60.10499954
11.73,505470,5012600,-68.13200378
11.73,505470,5012600,-76.15899658
11.73,505470,5012600,-84.18599701
11.73,505470,5012600,-92.21299744
11.73,505470,5012600,-100.2399979
11.73,505470,5012600,-108.2669983
11.73,505470,5012600,-116.2939987
11.73,505470,5012600,-124.3209991
11.73,505470,5012600,-132.3480072
11.73,505470,5012600,-140.375
11.73,505470,5012600,-148.4019928
11.73,505470,5012600,-156.4290009
11.92,505470,5012600,-164.4559937
11.92,505470,5012600,-172.4830017
11.92,505470,5012600,-180.5099945
11.92,505470,5012600,-188.5370026
11.92,505470,5012600,-196.5639954
11.92,505470,5012600,-204.5910034
11.92,505470,5012600,-212.6179962
11.92,505470,5012600,-220.6450043
11.92,505470,5012600,-228.6719971
11.92,505470,5012600,-236.6990051
11.92,505470,5012600,-244.7259979
11.92,505470,5012600,-252.753006
11.92,505470,5012600,-260.7799988
11.92,505470,5012600,-268.8070068
11.92,505470,5012600,-276.8340149
11.92,505470,5012600,-284.8609924
11.92,505470,5012600,-292.8880005
11.92,505470,5012600,-300.9150085
11.92,505470,5012600,-308.9419861
11.92,505470,5012600,-316.9689941
11.92,505470,5012600,-324.9960022
11.92,505470,5012600,-333.0230103
11.92,505470,5012600,-341.0499878
11.92,505470,5012600,-349.0769958
11.92,505470,5012600,-357.1040039
11.92,505470,5012600,-365.131012
11.92,505470,5012600,-373.1579895
11.92,505470,5012600,-381.1849976
11.92,505470,5012600,-389.2120056
11.92,505470,5012600,-397.2390137
11.92,505470,5012600,-405.2659912
11.92,505470,5012600,-413.2929993
11.92,505470,5012600,-421.3200073
11.92,505470,5012600,-429.3469849
11.92,505470,5012600,-437.3739929
11.92,505470,5012600,-445.401001
11.92,505470,5012600,-453.428009
11.92,505470,5012600,-461.4549866
11.92,505470,5012600,-469.4819946
11.92,505470,5012600,-477.5090027
11.92,505470,5012600,-485.5360107
11.92,505470,5012600,-493.5629883
11.92,505470,5012600,-501.5899963
11.92,505470,5012600,-509.6170044
11.92,505470,5012600,-517.6439819
11.92,505470,5012600,-525.6710205
11.92,505470,5012600,-533.697998
11.92,505470,5012600,-541.7249756
11.92,505470,5012600,-549.7520142
11.92,505470,5012600,-557.7789917
11.92,505470,5012600,-565.8060303
11.92,505470,5012600,-573.8330078
11.92,505470,5012600,-581.8599854
11.92,505470,5012600,-589.8870239
11.92,505470,5012600,-597.9140015
11.92,505470,5012600,-605.940979
11.92,505470,5012600,-613.9680176
11.92,505470,5012600,-621.9949951
11.92,505470,5012600,-630.0219727
11.92,505470,5012600,-638.0490112
11.92,505470,5012600,-646.0759888
11.92,505470,5012600,-654.1030273
11.92,505470,5012600,-662.1300049
12.05,505470,5012600,-670.1569824
12.05,505470,5012600,-678.184021
12.05,505470,5012600,-686.2109985
12.05,505470,5012600,-694.2379761
12.05,505470,5012600,-702.2650146
12.05,505470,5012600,-710.2919922
12.05,505470,5012600,-718.3189697
12.05,505470,5012600,-726.3460083
12.05,505470,5012600,-734.3729858
12.05,505470,5012600,-742.4000244
12.05,505470,5012600,-750.427002
12.05,505470,5012600,-758.4539795
12.05,505470,5012600,-766.4810181
12.05,505470,5012600,-774.5079956
12.05,505470,5012600,-782.5349731
12.05,505470,5012600,-790.5620117
12.05,505470,5012600,-798.5889893
12.05,505470,5012600,-806.6160278
12.05,505470,5012600,-814.6430054
12.05,505470,5012600,-822.6699829
12.05,505470,5012600,-830.6970215
12.05,505470,5012600,-838.723999
12.05,505470,5012600,-846.7509766
12.05,505470,5012600,-854.7780151
12.05,505470,5012600,-862.8049927
12.05,505470,5012600,-870.8319702
12.05,505470,5012600,-878.8590088
12.05,505470,5012600,-886.8859863
12.05,505470,5012600,-894.9130249
12.05,505470,5012600,-902.9400024
12.05,505470,5012600,-910.96698
12.05,505470,5012600,-918.9940186
12.05,505470,5012600,-927.0209961
12.05,505470,5012600,-935.0479736
12.05,505470,5012600,-943.0750122
12.05,505470,5012600,-951.1019897
12.05,505470,5012600,-959.1290283
12.05,505470,5012600,-967.1560059
12.05,505470,5012600,-975.1829834
12.05,505470,5012600,-983.210022
12.05,505470,5012600,-991.2369995
12.05,505470,5012600,-999.2639771
12.05,505470,5012600,-1007.291016
12.05,505470,5012600,-1015.317993
12.05,505470,5012600,-1023.344971
12.05,505470,5012600,-1031.371948
12.05,505470,5012600,-1039.399048
12.05,505470,5012600,-1047.426025
12.05,505470,5012600,-1055.453003
12.05,505470,5012600,-1063.47998
12.05,505470,5012600,-1071.506958
12.05,505470,5012600,-1079.534058
12.05,505470,5012600,-1087.561035
12.05,505470,5012600,-1095.588013
12.05,505470,5012600,-1103.61499
12.05,505470,5012600,-1111.641968
12.05,505470,5012600,-1119.668945
12.05,505470,5012600,-1127.696045
12.05,505470,5012600,-1135.723022
12.05,505470,5012600,-1143.75
12.05,505470,5012600,-1151.776978
12.05,505470,5012600,-1159.803955
12.28,505470,5012600,-1167.831055
12.28,505470,5012600,-1175.858032
12.28,505470,5012600,-1183.88501
12.28,505470,5012600,-1191.911987
12.28,505470,5012600,-1199.938965
12.28,505470,5012600,-1207.965942
12.28,505470,5012600,-1215.993042
12.28,505470,5012600,-1224.02002
12.28,505470,5012600,-1232.046997
12.28,505470,5012600,-1240.073975
12.28,505470,5012600,-1248.100952
12.28,505470,5012600,-1256.128052
12.28,505470,5012600,-1264.155029
12.28,505470,5012600,-1272.182007
12.28,505470,5012600,-1280.208984
12.28,505470,5012600,-1288.235962
12.28,505470,5012600,-1296.262939
12.28,505470,5012600,-1304.290039
12.28,505470,5012600,-1312.317017
12.28,505470,5012600,-1320.343994
12.28,505470,5012600,-1328.370972
12.28,505470,5012600,-1336.397949
12.28,505470,5012600,-1344.425049
12.28,505470,5012600,-1352.452026
12.28,505470,5012600,-1360.479004
12.28,505470,5012600,-1368.505981
12.28,505470,5012600,-1376.532959
12.28,505470,5012600,-1384.560059
12.28,505470,5012600,-1392.587036
12.28,505470,5012600,-1400.614014
12.28,505470,5012600,-1408.640991
12.28,505470,5012600,-1416.667969
12.28,505470,5012600,-1424.694946
12.28,505470,5012600,-1432.722046
12.28,505470,5012600,-1440.749023
12.28,505470,5012600,-1448.776001
12.28,505470,5012600,-1456.802979
12.28,505470,5012600,-1464.829956
12.28,505470,5012600,-1472.857056
12.28,505470,5012600,-1480.884033
12.28,505470,5012600,-1488.911011
12.28,505470,5012600,-1496.937988
12.28,505470,5012600,-1504.964966
12.28,505470,5012600,-1512.991943
12.28,505470,5012600,-1521.019043
12.28,505470,5012600,-1529.046021
12.28,505470,5012600,-1537.072998
12.28,505470,5012600,-1545.099976
12.28,505470,5012600,-1553.126953
12.28,505470,5012600,-1561.154053
12.28,505470,5012600,-1569.18103
12.28,505470,5012600,-1577.208008
12.28,505470,5012600,-1585.234985
12.28,505470,5012600,-1593.261963
12.28,505470,5012600,-1601.28894
12.28,505470,5012600,-1609.31604
12.28,505470,5012600,-1617.343018
12.28,505470,5012600,-1625.369995
12.28,505470,5012600,-1633.396973
12.28,505470,5012600,-1641.42395
12.28,505470,5012600,-1649.45105
12.28,505470,5012600,-1657.478027
48,505470,5012600,-1665.505005
48,505470,5012600,-1673.531982
48,505470,5012600,-1681.55896
48,505470,5012600,-1689.58606
48,505470,5012600,-1697.613037
48,505470,5012600,-1705.640015
48,505470,5012600,-1713.666992
48,505470,5012600,-1721.69397
48,505470,5012600,-1729.720947
48,505470,5012600,-1737.748047
48,505470,5012600,-1745.775024
48,505470,5012600,-1753.802002
48,505470,5012600,-1761.828979
48,505470,5012600,-1769.855957
48,505470,5012600,-1777.883057
48,505470,5012600,-1785.910034
48,505470,5012600,-1793.937012
48,505470,5012600,-1801.963989
48,505470,5012600,-1809.990967
48,505470,5012600,-1818.017944
48,505470,5012600,-1826.045044
48,505470,5012600,-1834.072021
48,505470,5012600,-1842.098999
48,505470,5012600,-1850.125977
48,505470,5012600,-1858.152954
48,505470,5012600,-1866.180054
48,505470,5012600,-1874.207031
48,505470,5012600,-1882.234009
48,505470,5012600,-1890.260986
48,505470,5012600,-1898.287964
48,505470,5012600,-1906.314941
48,505470,5012600,-1914.342041
48,505470,5012600,-1922.369019
48,505470,5012600,-1930.395996
48,505470,5012600,-1938.422974
48,505470,5012600,-1946.449951
48,505470,5012600,-1954.477051
48,505470,5012600,-1962.504028
48,505470,5012600,-1970.531006
48,505470,5012600,-1978.557983
48,505470,5012600,-1986.584961
48,505470,5012600,-1994.612061
48,505470,5012600,-2002.639038
48,505470,5012600,-2010.666016
48,505470,5012600,-2018.692993
48,505470,5012600,-2026.719971
48,505470,5012600,-2034.746948
48,505470,5012600,-2042.774048
48,505470,5012600,-2050.801025
48,505470,5012600,-2058.827881
48,505470,5012600,-2066.85498
48,505470,5012600,-2074.88208
48,505470,5012600,-2082.908936
48,505470,5012600,-2090.936035
48,505470,5012600,-2098.962891
48,505470,5012600,-2106.98999
48,505470,5012600,-2115.01709
48,505470,5012600,-2123.043945
48,505470,5012600,-2131.071045
48,505470,5012600,-2139.0979
48,505470,5012600,-2147.125
48,505470,5012600,-2155.1521
48,505470,5012600,-2163.178955
58,505470,5012600,-2171.206055
58,505470,5012600,-2179.23291
58,505470,5012600,-2187.26001
58,505470,5012600,-2195.287109
58,505470,5012600,-2203.313965
58,505470,5012600,-2211.341064
58,505470,5012600,-2219.36792
