Field 0,Points:0,Points:1,Points:2
12.15,505470,5012600,333.2179871
12.15,505470,5012600,325.1910095
12.15,505470,5012600,317.1640015
12.15,505470,5012600,309.1369934
12.15,505470,5012600,301.1099854
12.15,505470,5012600,293.0830078
12.15,505470,5012600,285.0559998
12.15,505470,5012600,277.0289917
12.15,505470,5012600,269.0020142
12.15,505470,5012600,260.9750061
12.15,505470,5012600,252.947998
12.15,505470,5012600,244.9210052
12.15,505470,5012600,236.8939972
12.15,505470,5012600,228.8670044
12.15,505470,5012600,220.8399963
12.15,505470,5012600,212.8130035
12.15,505470,5012600,204.7859955
12.15,505470,5012600,196.7590027
12.15,505470,5012600,188.7319946
12.15,505470,5012600,180.7050018
12.15,505470,5012600,172.6779938
12.15,505470,5012600,164.651001
12.15,505470,5012600,156.6239929
12.15,505470,5012600,148.5970001
12.15,505470,5012600,140.5700073
12.15,505470,5012600,132.5429993
12.15,505470,5012600,124.5159988
12.15,505470,5012600,116.4889984
12.15,505470,5012600,108.461998
12.15,505470,5012600,100.4349976
12.15,505470,5012600,92.40799713
12.15,505470,5012600,84.3809967
12.15,505470,5012600,76.35399628
12.15,505470,5012600,68.32700348
12.15,505470,5012600,60.29999924
12.15,505470,5012600,52.27299881
12.15,505470,5012600,44.24599838
12.15,505470,5012600,36.21900177
12.15,505470,5012600,28.19199944
12.15,505470,5012600,20.16500092
12.15,505470,5012600,12.13799953
12.15,505470,5012600,4.111000061
12.15,505470,5012600,-3.915999889
12.15,505470,5012600,-11.94299984
12.15,505470,5012600,-19.96999931
12.15,505470,5012600,-27.99699974
12.15,505470,5012600,-36.02399826
12.15,505470,5012600,-44.05099869
12.15,505470,5012600,-52.07799911
12.15,505470,5012600,-60.10499954
12.15,505470,5012600,-68.13200378
12.15,505470,5012600,-76.15899658
12.15,505470,5012600,-84.18599701
12.15,505470,5012600,-92.21299744
12.15,505470,5012600,-100.2399979
12.15,505470,5012600,-108.2669983
12.15,505470,5012600,-116.2939987
12.15,505470,5012600,-124.3209991
12.15,505470,5012600,-132.3480072
12.15,505470,5012600,-140.375
12.15,505470,5012600,-148.4019928
12.15,505470,5012600,-156.4290009
12.3,505470,5012600,-164.4559937
12.3,505470,5012600,-172.4830017
12.3,505470,5012600,-180.5099945
12.3,505470,5012600,-188.5370026
12.3,505470,5012600,-196.5639954
12.3,505470,5012600,-204.5910034
12.3,505470,5012600,-212.6179962
12.3,505470,5012600,-220.6450043
12.3,505470,5012600,-228.6719971
12.3,505470,5012600,-236.6990051
12.3,505470,5012600,-244.7259979
12.3,505470,5012600,-252.753006
12.3,505470,5012600,-260.7799988
12.3,505470,5012600,-268.8070068
12.3,505470,5012600,-276.8340149
12.3,505470,5012600,-284.8609924
12.3,505470,5012600,-292.8880005
12.3,505470,5012600,-300.9150085
12.3,505470,5012600,-308.9419861
12.3,505470,5012600,-316.9689941
12.3,505470,5012600,-324.9960022
12.3,505470,5012600,-333.0230103
12.3,505470,5012600,-341.0499878
12.3,505470,5012600,-349.0769958
12.3,505470,5012600,-357.1040039
12.3,505470,5012600,-365.131012
12.3,505470,5012600,-373.1579895
12.3,505470,5012600,-381.1849976
12.3,505470,5012600,-389.2120056
12.3,505470,5012600,-397.2390137
12.3,505470,5012600,-405.2659912
12.3,505470,5012600,-413.2929993
12.3,505470,5012600,-421.3200073
12.3,505470,5012600,-429.3469849
12.3,505470,5012600,-437.3739929
12.3,505470,5012600,-445.401001
12.3,505470,5012600,-453.428009
12.3,505470,5012600,-461.4549866
12.3,505470,5012600,-469.4819946
12.3,505470,5012600,-477.5090027
12.3,505470,5012600,-485.5360107
12.3,505470,5012600,-493.5629883
12.3,505470,5012600,-501.5899963
12.3,505470,5012600,-509.6170044
12.3,505470,5012600,-517.6439819
12.3,505470,5012600,-525.6710205
12.3,505470,5012600,-533.697998
12.3,505470,5012600,-541.7249756
12.3,505470,5012600,-549.7520142
12.3,505470,5012600,-557.7789917
12.3,505470,5012600,-565.8060303
12.3,505470,5012600,-573.8330078
12.3,505470,5012600,-581.8599854
12.3,505470,5012600,-589.8870239
12.3,505470,5012600,-597.9140015
12.3,505470,5012600,-605.940979
12.3,505470,5012600,-613.9680176
12.3,505470,5012600,-621.9949951
12.3,505470,5012600,-630.0219727
12.3,505470,5012600,-638.0490112
12.3,505470,5012600,-646.0759888
12.3,505470,5012600,-654.1030273
12.3,505470,5012600,-662.1300049
49,505470,5012600,-670.1569824
49,505470,5012600,-678.184021
49,505470,5012600,-686.2109985
49,505470,5012600,-694.2379761
49,505470,5012600,-702.2650146
49,505470,5012600,-710.2919922
49,505470,5012600,-718.3189697
49,505470,5012600,-726.3460083
49,505470,5012600,-734.3729858
49,505470,5012600,-742.4000244
49,505470,5012600,-750.427002
49,505470,5012600,-758.4539795
49,505470,5012600,-766.4810181
49,505470,5012600,-774.5079956
49,505470,5012600,-782.5349731
49,505470,5012600,-790.5620117
49,505470,5012600,-798.5889893
49,505470,5012600,-806.6160278
49,505470,5012600,-814.6430054
49,505470,5012600,-822.6699829
49,505470,5012600,-830.6970215
49,505470,5012600,-838.723999
49,505470,5012600,-846.7509766
49,505470,5012600,-854.7780151
49,505470,5012600,-862.8049927
49,505470,5012600,-870.8319702
49,505470,5012600,-878.8590088
49,505470,5012600,-886.8859863
49,505470,5012600,-894.9130249
49,505470,5012600,-902.9400024
49,505470,5012600,-910.96698
49,505470,5012600,-918.9940186
49,505470,5012600,-927.0209961
49,505470,5012600,-935.0479736
