Field 0,Points:0,Points:1,Points:2
11.43,551210,5044800,333.2179871
11.43,551210,5044800,325.1910095
11.43,551210,5044800,317.1640015
11.43,551210,5044800,309.1369934
11.43,551210,5044800,301.1099854
11.43,551210,5044800,293.0830078
11.43,551210,5044800,285.0559998
11.43,551210,5044800,277.0289917
11.43,551210,5044800,269.0020142
11.43,551210,5044800,260.9750061
11.43,551210,5044800,252.947998
11.43,551210,5044800,244.9210052
11.43,551210,5044800,236.8939972
11.43,551210,5044800,228.8670044
11.43,551210,5044800,220.8399963
11.43,551210,5044800,212.8130035
11.43,551210,5044800,204.7859955
11.43,551210,5044800,196.7590027
11.43,551210,5044800,188.7319946
11.43,551210,5044800,180.7050018
11.43,551210,5044800,172.6779938
11.43,551210,5044800,164.651001
11.43,551210,5044800,156.6239929
11.43,551210,5044800,148.5970001
11.43,551210,5044800,140.5700073
11.43,551210,5044800,132.5429993
11.43,551210,5044800,124.5159988
11.43,551210,5044800,116.4889984
11.43,551210,5044800,108.461998
11.43,551210,5044800,100.4349976
11.43,551210,5044800,92.40799713
11.43,551210,5044800,84.3809967
11.43,551210,5044800,76.35399628
11.43,551210,5044800,68.32700348
11.43,551210,5044800,60.29999924
11.43,551210,5044800,52.27299881
11.43,551210,5044800,44.24599838
11.43,551210,5044800,36.21900177
11.43,551210,5044800,28.19199944
11.43,551210,5044800,20.16500092
11.43,551210,5044800,12.13799953
11.43,551210,5044800,4.111000061
11.43,551210,5044800,-3.915999889
11.43,551210,5044800,-11.94299984
11.43,551210,5044800,-19.96999931
11.43,551210,5044800,-27.99699974
11.43,551210,5044800,-36.02399826
11.43,551210,5044800,-44.05099869
11.43,551210,5044800,-52.07799911
11.43,551210,5044800,-60.10499954
11.43,551210,5044800,-68.13200378
11.43,551210,5044800,-76.15899658
11.43,551210,5044800,-84.18599701
11.43,551210,5044800,-92.21299744
11.43,551210,5044800,-100.2399979
11.43,551210,5044800,-108.2669983
11.43,551210,5044800,-116.2939987
11.43,551210,5044800,-124.3209991
11.43,551210,5044800,-132.3480072
11.43,551210,5044800,-140.375
11.43,551210,5044800,-148.4019928
11.43,551210,5044800,-156.4290009
11.82,551210,5044800,-164.4559937
11.82,551210,5044800,-172.4830017
11.82,551210,5044800,-180.5099945
11.82,551210,5044800,-188.5370026
11.82,551210,5044800,-196.5639954
11.82,551210,5044800,-204.5910034
11.82,551210,5044800,-212.6179962
11.82,551210,5044800,-220.6450043
11.82,551210,5044800,-228.6719971
11.82,551210,5044800,-236.6990051
11.82,551210,5044800,-244.7259979
11.82,551210,5044800,-252.753006
11.82,551210,5044800,-260.7799988
11.82,551210,5044800,-268.8070068
11.82,551210,5044800,-276.8340149
11.82,551210,5044800,-284.8609924
11.82,551210,5044800,-292.8880005
11.82,551210,5044800,-300.9150085
11.82,551210,5044800,-308.9419861
11.82,551210,5044800,-316.9689941
11.82,551210,5044800,-324.9960022
11.82,551210,5044800,-333.0230103
11.82,551210,5044800,-341.0499878
11.82,551210,5044800,-349.0769958
11.82,551210,5044800,-357.1040039
11.82,551210,5044800,-365.131012
11.82,551210,5044800,-373.1579895
11.82,551210,5044800,-381.1849976
