Field 0,Points:0,Points:1,Points:2
11.84,477560,5014200,333.2179871
11.84,477560,5014200,325.1910095
11.84,477560,5014200,317.1640015
11.84,477560,5014200,309.1369934
11.84,477560,5014200,301.1099854
11.84,477560,5014200,293.0830078
11.84,477560,5014200,285.0559998
11.84,477560,5014200,277.0289917
11.84,477560,5014200,269.0020142
11.84,477560,5014200,260.9750061
11.84,477560,5014200,252.947998
11.84,477560,5014200,244.9210052
11.84,477560,5014200,236.8939972
11.84,477560,5014200,228.8670044
11.84,477560,5014200,220.8399963
11.84,477560,5014200,212.8130035
11.84,477560,5014200,204.7859955
11.84,477560,5014200,196.7590027
11.84,477560,5014200,188.7319946
11.84,477560,5014200,180.7050018
11.84,477560,5014200,172.6779938
11.84,477560,5014200,164.651001
11.84,477560,5014200,156.6239929
11.84,477560,5014200,148.5970001
11.84,477560,5014200,140.5700073
11.84,477560,5014200,132.5429993
11.84,477560,5014200,124.5159988
11.84,477560,5014200,116.4889984
11.84,477560,5014200,108.461998
11.84,477560,5014200,100.4349976
11.84,477560,5014200,92.40799713
11.84,477560,5014200,84.3809967
11.84,477560,5014200,76.35399628
11.84,477560,5014200,68.32700348
11.84,477560,5014200,60.29999924
11.84,477560,5014200,52.27299881
11.84,477560,5014200,44.24599838
11.84,477560,5014200,36.21900177
11.84,477560,5014200,28.19199944
11.84,477560,5014200,20.16500092
11.84,477560,5014200,12.13799953
11.84,477560,5014200,4.111000061
11.84,477560,5014200,-3.915999889
11.84,477560,5014200,-11.94299984
11.84,477560,5014200,-19.96999931
11.84,477560,5014200,-27.99699974
11.84,477560,5014200,-36.02399826
11.84,477560,5014200,-44.05099869
11.84,477560,5014200,-52.07799911
11.84,477560,5014200,-60.10499954
11.84,477560,5014200,-68.13200378
11.84,477560,5014200,-76.15899658
11.84,477560,5014200,-84.18599701
11.84,477560,5014200,-92.21299744
11.84,477560,5014200,-100.2399979
11.84,477560,5014200,-108.2669983
11.84,477560,5014200,-116.2939987
11.84,477560,5014200,-124.3209991
11.84,477560,5014200,-132.3480072
11.84,477560,5014200,-140.375
11.84,477560,5014200,-148.4019928
11.84,477560,5014200,-156.4290009
16.37,477560,5014200,-164.4559937
16.37,477560,5014200,-172.4830017
16.37,477560,5014200,-180.5099945
16.37,477560,5014200,-188.5370026
16.37,477560,5014200,-196.5639954
16.37,477560,5014200,-204.5910034
16.37,477560,5014200,-212.6179962
16.37,477560,5014200,-220.6450043
16.37,477560,5014200,-228.6719971
16.37,477560,5014200,-236.6990051
16.37,477560,5014200,-244.7259979
16.37,477560,5014200,-252.753006
16.37,477560,5014200,-260.7799988
16.37,477560,5014200,-268.8070068
16.37,477560,5014200,-276.8340149
16.37,477560,5014200,-284.8609924
16.37,477560,5014200,-292.8880005
16.37,477560,5014200,-300.9150085
16.37,477560,5014200,-308.9419861
16.37,477560,5014200,-316.9689941
16.37,477560,5014200,-324.9960022
16.37,477560,5014200,-333.0230103
16.37,477560,5014200,-341.0499878
16.37,477560,5014200,-349.0769958
16.37,477560,5014200,-357.1040039
16.37,477560,5014200,-365.131012
16.37,477560,5014200,-373.1579895
16.37,477560,5014200,-381.1849976
16.37,477560,5014200,-389.2120056
16.37,477560,5014200,-397.2390137
16.37,477560,5014200,-405.2659912
16.37,477560,5014200,-413.2929993
16.37,477560,5014200,-421.3200073
16.37,477560,5014200,-429.3469849
16.37,477560,5014200,-437.3739929
16.37,477560,5014200,-445.401001
16.37,477560,5014200,-453.428009
16.37,477560,5014200,-461.4549866
16.37,477560,5014200,-469.4819946
16.37,477560,5014200,-477.5090027
16.37,477560,5014200,-485.5360107
16.37,477560,5014200,-493.5629883
16.37,477560,5014200,-501.5899963
16.37,477560,5014200,-509.6170044
16.37,477560,5014200,-517.6439819
16.37,477560,5014200,-525.6710205
16.37,477560,5014200,-533.697998
16.37,477560,5014200,-541.7249756
16.37,477560,5014200,-549.7520142
16.37,477560,5014200,-557.7789917
16.37,477560,5014200,-565.8060303
16.37,477560,5014200,-573.8330078
16.37,477560,5014200,-581.8599854
16.37,477560,5014200,-589.8870239
16.37,477560,5014200,-597.9140015
16.37,477560,5014200,-605.940979
16.37,477560,5014200,-613.9680176
16.37,477560,5014200,-621.9949951
16.37,477560,5014200,-630.0219727
16.37,477560,5014200,-638.0490112
16.37,477560,5014200,-646.0759888
16.37,477560,5014200,-654.1030273
16.37,477560,5014200,-662.1300049
24.14,477560,5014200,-670.1569824
24.14,477560,5014200,-678.184021
24.14,477560,5014200,-686.2109985
24.14,477560,5014200,-694.2379761
24.14,477560,5014200,-702.2650146
24.14,477560,5014200,-710.2919922
24.14,477560,5014200,-718.3189697
24.14,477560,5014200,-726.3460083
24.14,477560,5014200,-734.3729858
24.14,477560,5014200,-742.4000244
24.14,477560,5014200,-750.427002
24.14,477560,5014200,-758.4539795
24.14,477560,5014200,-766.4810181
24.14,477560,5014200,-774.5079956
24.14,477560,5014200,-782.5349731
24.14,477560,5014200,-790.5620117
24.14,477560,5014200,-798.5889893
24.14,477560,5014200,-806.6160278
24.14,477560,5014200,-814.6430054
24.14,477560,5014200,-822.6699829
24.14,477560,5014200,-830.6970215
24.14,477560,5014200,-838.723999
24.14,477560,5014200,-846.7509766
24.14,477560,5014200,-854.7780151
24.14,477560,5014200,-862.8049927
24.14,477560,5014200,-870.8319702
24.14,477560,5014200,-878.8590088
24.14,477560,5014200,-886.8859863
24.14,477560,5014200,-894.9130249
24.14,477560,5014200,-902.9400024
24.14,477560,5014200,-910.96698
24.14,477560,5014200,-918.9940186
24.14,477560,5014200,-927.0209961
24.14,477560,5014200,-935.0479736
24.14,477560,5014200,-943.0750122
24.14,477560,5014200,-951.1019897
24.14,477560,5014200,-959.1290283
24.14,477560,5014200,-967.1560059
24.14,477560,5014200,-975.1829834
24.14,477560,5014200,-983.210022
24.14,477560,5014200,-991.2369995
24.14,477560,5014200,-999.2639771
24.14,477560,5014200,-1007.291016
24.14,477560,5014200,-1015.317993
24.14,477560,5014200,-1023.344971
24.14,477560,5014200,-1031.371948
24.14,477560,5014200,-1039.399048
24.14,477560,5014200,-1047.426025
24.14,477560,5014200,-1055.453003
24.14,477560,5014200,-1063.47998
24.14,477560,5014200,-1071.506958
24.14,477560,5014200,-1079.534058
24.14,477560,5014200,-1087.561035
24.14,477560,5014200,-1095.588013
24.14,477560,5014200,-1103.61499
24.14,477560,5014200,-1111.641968
24.14,477560,5014200,-1119.668945
24.14,477560,5014200,-1127.696045
24.14,477560,5014200,-1135.723022
24.14,477560,5014200,-1143.75
24.14,477560,5014200,-1151.776978
24.14,477560,5014200,-1159.803955
45.32,477560,5014200,-1167.831055
45.32,477560,5014200,-1175.858032
45.32,477560,5014200,-1183.88501
45.32,477560,5014200,-1191.911987
45.32,477560,5014200,-1199.938965
45.32,477560,5014200,-1207.965942
45.32,477560,5014200,-1215.993042
45.32,477560,5014200,-1224.02002
45.32,477560,5014200,-1232.046997
45.32,477560,5014200,-1240.073975
45.32,477560,5014200,-1248.100952
45.32,477560,5014200,-1256.128052
45.32,477560,5014200,-1264.155029
45.32,477560,5014200,-1272.182007
45.32,477560,5014200,-1280.208984
45.32,477560,5014200,-1288.235962
45.32,477560,5014200,-1296.262939
45.32,477560,5014200,-1304.290039
45.32,477560,5014200,-1312.317017
45.32,477560,5014200,-1320.343994
45.32,477560,5014200,-1328.370972
45.32,477560,5014200,-1336.397949
45.32,477560,5014200,-1344.425049
45.32,477560,5014200,-1352.452026
45.32,477560,5014200,-1360.479004
45.32,477560,5014200,-1368.505981
45.32,477560,5014200,-1376.532959
45.32,477560,5014200,-1384.560059
45.32,477560,5014200,-1392.587036
45.32,477560,5014200,-1400.614014
45.32,477560,5014200,-1408.640991
45.32,477560,5014200,-1416.667969
45.32,477560,5014200,-1424.694946
45.32,477560,5014200,-1432.722046
45.32,477560,5014200,-1440.749023
45.32,477560,5014200,-1448.776001
45.32,477560,5014200,-1456.802979
45.32,477560,5014200,-1464.829956
45.32,477560,5014200,-1472.857056
45.32,477560,5014200,-1480.884033
45.32,477560,5014200,-1488.911011
45.32,477560,5014200,-1496.937988
45.32,477560,5014200,-1504.964966
45.32,477560,5014200,-1512.991943
45.32,477560,5014200,-1521.019043
45.32,477560,5014200,-1529.046021
45.32,477560,5014200,-1537.072998
45.32,477560,5014200,-1545.099976
45.32,477560,5014200,-1553.126953
45.32,477560,5014200,-1561.154053
45.32,477560,5014200,-1569.18103
45.32,477560,5014200,-1577.208008
45.32,477560,5014200,-1585.234985
45.32,477560,5014200,-1593.261963
45.32,477560,5014200,-1601.28894
45.32,477560,5014200,-1609.31604
45.32,477560,5014200,-1617.343018
45.32,477560,5014200,-1625.369995
45.32,477560,5014200,-1633.396973
45.32,477560,5014200,-1641.42395
45.32,477560,5014200,-1649.45105
45.32,477560,5014200,-1657.478027
65.06,477560,5014200,-1665.505005
65.06,477560,5014200,-1673.531982
65.06,477560,5014200,-1681.55896
65.06,477560,5014200,-1689.58606
65.06,477560,5014200,-1697.613037
65.06,477560,5014200,-1705.640015
65.06,477560,5014200,-1713.666992
65.06,477560,5014200,-1721.69397
65.06,477560,5014200,-1729.720947
65.06,477560,5014200,-1737.748047
65.06,477560,5014200,-1745.775024
65.06,477560,5014200,-1753.802002
65.06,477560,5014200,-1761.828979
65.06,477560,5014200,-1769.855957
65.06,477560,5014200,-1777.883057
65.06,477560,5014200,-1785.910034
65.06,477560,5014200,-1793.937012
65.06,477560,5014200,-1801.963989
65.06,477560,5014200,-1809.990967
65.06,477560,5014200,-1818.017944
65.06,477560,5014200,-1826.045044
65.06,477560,5014200,-1834.072021
65.06,477560,5014200,-1842.098999
65.06,477560,5014200,-1850.125977
65.06,477560,5014200,-1858.152954
65.06,477560,5014200,-1866.180054
65.06,477560,5014200,-1874.207031
65.06,477560,5014200,-1882.234009
65.06,477560,5014200,-1890.260986
65.06,477560,5014200,-1898.287964
65.06,477560,5014200,-1906.314941
65.06,477560,5014200,-1914.342041
65.06,477560,5014200,-1922.369019
65.06,477560,5014200,-1930.395996
65.06,477560,5014200,-1938.422974
65.06,477560,5014200,-1946.449951
65.06,477560,5014200,-1954.477051
65.06,477560,5014200,-1962.504028
65.06,477560,5014200,-1970.531006
65.06,477560,5014200,-1978.557983
65.06,477560,5014200,-1986.584961
65.06,477560,5014200,-1994.612061
65.06,477560,5014200,-2002.639038
65.06,477560,5014200,-2010.666016
65.06,477560,5014200,-2018.692993
65.06,477560,5014200,-2026.719971
65.06,477560,5014200,-2034.746948
65.06,477560,5014200,-2042.774048
65.06,477560,5014200,-2050.801025
