Field 0,Points:0,Points:1,Points:2
12.11,477560,5014200,333.2179871
12.11,477560,5014200,325.1910095
12.11,477560,5014200,317.1640015
12.11,477560,5014200,309.1369934
12.11,477560,5014200,301.1099854
12.11,477560,5014200,293.0830078
12.11,477560,5014200,285.0559998
12.11,477560,5014200,277.0289917
12.11,477560,5014200,269.0020142
12.11,477560,5014200,260.9750061
12.11,477560,5014200,252.947998
12.11,477560,5014200,244.9210052
12.11,477560,5014200,236.8939972
12.11,477560,5014200,228.8670044
12.11,477560,5014200,220.8399963
12.11,477560,5014200,212.8130035
12.11,477560,5014200,204.7859955
12.11,477560,5014200,196.7590027
12.11,477560,5014200,188.7319946
12.11,477560,5014200,180.7050018
12.11,477560,5014200,172.6779938
12.11,477560,5014200,164.651001
12.11,477560,5014200,156.6239929
12.11,477560,5014200,148.5970001
12.11,477560,5014200,140.5700073
12.11,477560,5014200,132.5429993
12.11,477560,5014200,124.5159988
12.11,477560,5014200,116.4889984
12.11,477560,5014200,108.461998
12.11,477560,5014200,100.4349976
12.11,477560,5014200,92.40799713
12.11,477560,5014200,84.3809967
12.11,477560,5014200,76.35399628
12.11,477560,5014200,68.32700348
12.11,477560,5014200,60.29999924
12.11,477560,5014200,52.27299881
12.11,477560,5014200,44.24599838
12.11,477560,5014200,36.21900177
12.11,477560,5014200,28.19199944
12.11,477560,5014200,20.16500092
12.11,477560,5014200,12.13799953
12.11,477560,5014200,4.111000061
12.11,477560,5014200,-3.915999889
12.11,477560,5014200,-11.94299984
12.11,477560,5014200,-19.96999931
12.11,477560,5014200,-27.99699974
12.11,477560,5014200,-36.02399826
12.11,477560,5014200,-44.05099869
12.11,477560,5014200,-52.07799911
12.11,477560,5014200,-60.10499954
12.11,477560,5014200,-68.13200378
12.11,477560,5014200,-76.15899658
12.11,477560,5014200,-84.18599701
12.11,477560,5014200,-92.21299744
12.11,477560,5014200,-100.2399979
12.11,477560,5014200,-108.2669983
12.11,477560,5014200,-116.2939987
12.11,477560,5014200,-124.3209991
12.11,477560,5014200,-132.3480072
12.11,477560,5014200,-140.375
12.11,477560,5014200,-148.4019928
12.11,477560,5014200,-156.4290009
12.35,477560,5014200,-164.4559937
12.35,477560,5014200,-172.4830017
12.35,477560,5014200,-180.5099945
12.35,477560,5014200,-188.5370026
12.35,477560,5014200,-196.5639954
12.35,477560,5014200,-204.5910034
12.35,477560,5014200,-212.6179962
12.35,477560,5014200,-220.6450043
12.35,477560,5014200,-228.6719971
12.35,477560,5014200,-236.6990051
12.35,477560,5014200,-244.7259979
12.35,477560,5014200,-252.753006
12.35,477560,5014200,-260.7799988
12.35,477560,5014200,-268.8070068
12.35,477560,5014200,-276.8340149
12.35,477560,5014200,-284.8609924
12.35,477560,5014200,-292.8880005
12.35,477560,5014200,-300.9150085
12.35,477560,5014200,-308.9419861
12.35,477560,5014200,-316.9689941
12.35,477560,5014200,-324.9960022
12.35,477560,5014200,-333.0230103
12.35,477560,5014200,-341.0499878
12.35,477560,5014200,-349.0769958
12.35,477560,5014200,-357.1040039
12.35,477560,5014200,-365.131012
12.35,477560,5014200,-373.1579895
12.35,477560,5014200,-381.1849976
12.35,477560,5014200,-389.2120056
12.35,477560,5014200,-397.2390137
12.35,477560,5014200,-405.2659912
12.35,477560,5014200,-413.2929993
12.35,477560,5014200,-421.3200073
12.35,477560,5014200,-429.3469849
12.35,477560,5014200,-437.3739929
12.35,477560,5014200,-445.401001
12.35,477560,5014200,-453.428009
12.35,477560,5014200,-461.4549866
12.35,477560,5014200,-469.4819946
12.35,477560,5014200,-477.5090027
12.35,477560,5014200,-485.5360107
12.35,477560,5014200,-493.5629883
12.35,477560,5014200,-501.5899963
12.35,477560,5014200,-509.6170044
12.35,477560,5014200,-517.6439819
12.35,477560,5014200,-525.6710205
12.35,477560,5014200,-533.697998
12.35,477560,5014200,-541.7249756
12.35,477560,5014200,-549.7520142
12.35,477560,5014200,-557.7789917
12.35,477560,5014200,-565.8060303
12.35,477560,5014200,-573.8330078
12.35,477560,5014200,-581.8599854
12.35,477560,5014200,-589.8870239
12.35,477560,5014200,-597.9140015
12.35,477560,5014200,-605.940979
12.35,477560,5014200,-613.9680176
12.35,477560,5014200,-621.9949951
12.35,477560,5014200,-630.0219727
12.35,477560,5014200,-638.0490112
12.35,477560,5014200,-646.0759888
12.35,477560,5014200,-654.1030273
12.35,477560,5014200,-662.1300049
48,477560,5014200,-670.1569824
48,477560,5014200,-678.184021
48,477560,5014200,-686.2109985
48,477560,5014200,-694.2379761
48,477560,5014200,-702.2650146
48,477560,5014200,-710.2919922
48,477560,5014200,-718.3189697
48,477560,5014200,-726.3460083
48,477560,5014200,-734.3729858
48,477560,5014200,-742.4000244
48,477560,5014200,-750.427002
48,477560,5014200,-758.4539795
48,477560,5014200,-766.4810181
48,477560,5014200,-774.5079956
48,477560,5014200,-782.5349731
48,477560,5014200,-790.5620117
48,477560,5014200,-798.5889893
48,477560,5014200,-806.6160278
48,477560,5014200,-814.6430054
48,477560,5014200,-822.6699829
48,477560,5014200,-830.6970215
48,477560,5014200,-838.723999
48,477560,5014200,-846.7509766
48,477560,5014200,-854.7780151
48,477560,5014200,-862.8049927
48,477560,5014200,-870.8319702
48,477560,5014200,-878.8590088
48,477560,5014200,-886.8859863
48,477560,5014200,-894.9130249
48,477560,5014200,-902.9400024
48,477560,5014200,-910.96698
48,477560,5014200,-918.9940186
48,477560,5014200,-927.0209961
48,477560,5014200,-935.0479736
48,477560,5014200,-943.0750122
48,477560,5014200,-951.1019897
48,477560,5014200,-959.1290283
48,477560,5014200,-967.1560059
48,477560,5014200,-975.1829834
48,477560,5014200,-983.210022
48,477560,5014200,-991.2369995
48,477560,5014200,-999.2639771
48,477560,5014200,-1007.291016
48,477560,5014200,-1015.317993
48,477560,5014200,-1023.344971
48,477560,5014200,-1031.371948
48,477560,5014200,-1039.399048
48,477560,5014200,-1047.426025
48,477560,5014200,-1055.453003
48,477560,5014200,-1063.47998
48,477560,5014200,-1071.506958
48,477560,5014200,-1079.534058
48,477560,5014200,-1087.561035
48,477560,5014200,-1095.588013
48,477560,5014200,-1103.61499
48,477560,5014200,-1111.641968
48,477560,5014200,-1119.668945
48,477560,5014200,-1127.696045
48,477560,5014200,-1135.723022
48,477560,5014200,-1143.75
48,477560,5014200,-1151.776978
48,477560,5014200,-1159.803955
57,477560,5014200,-1167.831055
57,477560,5014200,-1175.858032
57,477560,5014200,-1183.88501
57,477560,5014200,-1191.911987
57,477560,5014200,-1199.938965
57,477560,5014200,-1207.965942
57,477560,5014200,-1215.993042
57,477560,5014200,-1224.02002
57,477560,5014200,-1232.046997
57,477560,5014200,-1240.073975
57,477560,5014200,-1248.100952
57,477560,5014200,-1256.128052
57,477560,5014200,-1264.155029
57,477560,5014200,-1272.182007
57,477560,5014200,-1280.208984
57,477560,5014200,-1288.235962
57,477560,5014200,-1296.262939
57,477560,5014200,-1304.290039
57,477560,5014200,-1312.317017
57,477560,5014200,-1320.343994
57,477560,5014200,-1328.370972
57,477560,5014200,-1336.397949
57,477560,5014200,-1344.425049
57,477560,5014200,-1352.452026
57,477560,5014200,-1360.479004
57,477560,5014200,-1368.505981
57,477560,5014200,-1376.532959
57,477560,5014200,-1384.560059
57,477560,5014200,-1392.587036
57,477560,5014200,-1400.614014
57,477560,5014200,-1408.640991
57,477560,5014200,-1416.667969
57,477560,5014200,-1424.694946
57,477560,5014200,-1432.722046
57,477560,5014200,-1440.749023
57,477560,5014200,-1448.776001
57,477560,5014200,-1456.802979
57,477560,5014200,-1464.829956
57,477560,5014200,-1472.857056
57,477560,5014200,-1480.884033
57,477560,5014200,-1488.911011
57,477560,5014200,-1496.937988
57,477560,5014200,-1504.964966
57,477560,5014200,-1512.991943
57,477560,5014200,-1521.019043
57,477560,5014200,-1529.046021
57,477560,5014200,-1537.072998
57,477560,5014200,-1545.099976
57,477560,5014200,-1553.126953
57,477560,5014200,-1561.154053
57,477560,5014200,-1569.18103
57,477560,5014200,-1577.208008
57,477560,5014200,-1585.234985
57,477560,5014200,-1593.261963
57,477560,5014200,-1601.28894
57,477560,5014200,-1609.31604
57,477560,5014200,-1617.343018
57,477560,5014200,-1625.369995
57,477560,5014200,-1633.396973
57,477560,5014200,-1641.42395
57,477560,5014200,-1649.45105
57,477560,5014200,-1657.478027
77.63,477560,5014200,-1665.505005
77.63,477560,5014200,-1673.531982
77.63,477560,5014200,-1681.55896
77.63,477560,5014200,-1689.58606
77.63,477560,5014200,-1697.613037
77.63,477560,5014200,-1705.640015
77.63,477560,5014200,-1713.666992
77.63,477560,5014200,-1721.69397
77.63,477560,5014200,-1729.720947
77.63,477560,5014200,-1737.748047
77.63,477560,5014200,-1745.775024
77.63,477560,5014200,-1753.802002
77.63,477560,5014200,-1761.828979
77.63,477560,5014200,-1769.855957
77.63,477560,5014200,-1777.883057
77.63,477560,5014200,-1785.910034
77.63,477560,5014200,-1793.937012
77.63,477560,5014200,-1801.963989
77.63,477560,5014200,-1809.990967
77.63,477560,5014200,-1818.017944
77.63,477560,5014200,-1826.045044
77.63,477560,5014200,-1834.072021
77.63,477560,5014200,-1842.098999
77.63,477560,5014200,-1850.125977
77.63,477560,5014200,-1858.152954
77.63,477560,5014200,-1866.180054
77.63,477560,5014200,-1874.207031
77.63,477560,5014200,-1882.234009
77.63,477560,5014200,-1890.260986
77.63,477560,5014200,-1898.287964
77.63,477560,5014200,-1906.314941
77.63,477560,5014200,-1914.342041
77.63,477560,5014200,-1922.369019
77.63,477560,5014200,-1930.395996
77.63,477560,5014200,-1938.422974
77.63,477560,5014200,-1946.449951
77.63,477560,5014200,-1954.477051
77.63,477560,5014200,-1962.504028
77.63,477560,5014200,-1970.531006
77.63,477560,5014200,-1978.557983
77.63,477560,5014200,-1986.584961
77.63,477560,5014200,-1994.612061
77.63,477560,5014200,-2002.639038
77.63,477560,5014200,-2010.666016
77.63,477560,5014200,-2018.692993
77.63,477560,5014200,-2026.719971
77.63,477560,5014200,-2034.746948
77.63,477560,5014200,-2042.774048
77.63,477560,5014200,-2050.801025
77.63,477560,5014200,-2058.827881
77.63,477560,5014200,-2066.85498
77.63,477560,5014200,-2074.88208
77.63,477560,5014200,-2082.908936
77.63,477560,5014200,-2090.936035
77.63,477560,5014200,-2098.962891
77.63,477560,5014200,-2106.98999
77.63,477560,5014200,-2115.01709
77.63,477560,5014200,-2123.043945
77.63,477560,5014200,-2131.071045
77.63,477560,5014200,-2139.0979
77.63,477560,5014200,-2147.125
77.63,477560,5014200,-2155.1521
77.63,477560,5014200,-2163.178955
80,477560,5014200,-2171.206055
80,477560,5014200,-2179.23291
80,477560,5014200,-2187.26001
80,477560,5014200,-2195.287109
80,477560,5014200,-2203.313965
80,477560,5014200,-2211.341064
80,477560,5014200,-2219.36792
80,477560,5014200,-2227.39502
80,477560,5014200,-2235.422119
80,477560,5014200,-2243.448975
80,477560,5014200,-2251.476074
80,477560,5014200,-2259.50293
80,477560,5014200,-2267.530029
80,477560,5014200,-2275.556885
80,477560,5014200,-2283.583984
80,477560,5014200,-2291.611084
80,477560,5014200,-2299.637939
80,477560,5014200,-2307.665039
80,477560,5014200,-2315.691895
80,477560,5014200,-2323.718994
80,477560,5014200,-2331.746094
80,477560,5014200,-2339.772949
80,477560,5014200,-2347.800049
80,477560,5014200,-2355.826904
80,477560,5014200,-2363.854004
80,477560,5014200,-2371.881104
80,477560,5014200,-2379.907959
80,477560,5014200,-2387.935059
80,477560,5014200,-2395.961914
80,477560,5014200,-2403.989014
80,477560,5014200,-2412.016113
80,477560,5014200,-2420.042969
80,477560,5014200,-2428.070068
80,477560,5014200,-2436.096924
80,477560,5014200,-2444.124023
80,477560,5014200,-2452.150879
80,477560,5014200,-2460.177979
80,477560,5014200,-2468.205078
80,477560,5014200,-2476.231934
80,477560,5014200,-2484.259033
80,477560,5014200,-2492.285889
80,477560,5014200,-2500.312988
80,477560,5014200,-2508.340088
80,477560,5014200,-2516.366943
80,477560,5014200,-2524.394043
80,477560,5014200,-2532.420898
80,477560,5014200,-2540.447998
80,477560,5014200,-2548.475098
80,477560,5014200,-2556.501953
80,477560,5014200,-2564.529053
80,477560,5014200,-2572.555908
80,477560,5014200,-2580.583008
80,477560,5014200,-2588.610107
80,477560,5014200,-2596.636963
80,477560,5014200,-2604.664062
80,477560,5014200,-2612.690918
80,477560,5014200,-2620.718018
80,477560,5014200,-2628.745117
80,477560,5014200,-2636.771973
80,477560,5014200,-2644.799072
80,477560,5014200,-2652.825928
80,477560,5014200,-2660.853027
90,477560,5014200,-2668.879883
90,477560,5014200,-2676.906982
90,477560,5014200,-2684.934082
90,477560,5014200,-2692.960938
90,477560,5014200,-2700.988037
90,477560,5014200,-2709.014893
90,477560,5014200,-2717.041992
90,477560,5014200,-2725.069092
90,477560,5014200,-2733.095947
90,477560,5014200,-2741.123047
90,477560,5014200,-2749.149902
90,477560,5014200,-2757.177002
90,477560,5014200,-2765.204102
90,477560,5014200,-2773.230957
90,477560,5014200,-2781.258057
90,477560,5014200,-2789.284912
90,477560,5014200,-2797.312012
90,477560,5014200,-2805.339111
90,477560,5014200,-2813.365967
90,477560,5014200,-2821.393066
90,477560,5014200,-2829.419922
90,477560,5014200,-2837.447021
90,477560,5014200,-2845.474121
90,477560,5014200,-2853.500977
90,477560,5014200,-2861.528076
90,477560,5014200,-2869.554932
90,477560,5014200,-2877.582031
90,477560,5014200,-2885.608887
90,477560,5014200,-2893.635986
90,477560,5014200,-2901.663086
90,477560,5014200,-2909.689941
90,477560,5014200,-2917.717041
90,477560,5014200,-2925.743896
90,477560,5014200,-2933.770996
90,477560,5014200,-2941.798096
90,477560,5014200,-2949.824951
90,477560,5014200,-2957.852051
90,477560,5014200,-2965.878906
90,477560,5014200,-2973.906006
90,477560,5014200,-2981.933105
90,477560,5014200,-2989.959961
90,477560,5014200,-2997.987061
90,477560,5014200,-3006.013916
90,477560,5014200,-3014.041016
90,477560,5014200,-3022.068115
90,477560,5014200,-3030.094971
90,477560,5014200,-3038.12207
90,477560,5014200,-3046.148926
90,477560,5014200,-3054.176025
90,477560,5014200,-3062.202881
90,477560,5014200,-3070.22998
90,477560,5014200,-3078.25708
90,477560,5014200,-3086.283936
90,477560,5014200,-3094.311035
90,477560,5014200,-3102.337891
90,477560,5014200,-3110.36499
90,477560,5014200,-3118.39209
90,477560,5014200,-3126.418945
90,477560,5014200,-3134.446045
90,477560,5014200,-3142.4729
90,477560,5014200,-3150.5
90,477560,5014200,-3158.5271
105.5,477560,5014200,-3166.553955
105.5,477560,5014200,-3174.581055
105.5,477560,5014200,-3182.60791
105.5,477560,5014200,-3190.63501
105.5,477560,5014200,-3198.662109
105.5,477560,5014200,-3206.688965
105.5,477560,5014200,-3214.716064
105.5,477560,5014200,-3222.74292
105.5,477560,5014200,-3230.77002
105.5,477560,5014200,-3238.797119
105.5,477560,5014200,-3246.823975
105.5,477560,5014200,-3254.851074
105.5,477560,5014200,-3262.87793
105.5,477560,5014200,-3270.905029
105.5,477560,5014200,-3278.931885
105.5,477560,5014200,-3286.958984
105.5,477560,5014200,-3294.986084
105.5,477560,5014200,-3303.012939
105.5,477560,5014200,-3311.040039
105.5,477560,5014200,-3319.066895
