Field 0,Points:0,Points:1,Points:2
11.52,448320,5016600,333.2179871
11.52,448320,5016600,325.1910095
11.52,448320,5016600,317.1640015
11.52,448320,5016600,309.1369934
11.52,448320,5016600,301.1099854
11.52,448320,5016600,293.0830078
11.52,448320,5016600,285.0559998
11.52,448320,5016600,277.0289917
11.52,448320,5016600,269.0020142
11.52,448320,5016600,260.9750061
11.52,448320,5016600,252.947998
11.52,448320,5016600,244.9210052
11.52,448320,5016600,236.8939972
11.52,448320,5016600,228.8670044
11.52,448320,5016600,220.8399963
11.52,448320,5016600,212.8130035
11.52,448320,5016600,204.7859955
11.52,448320,5016600,196.7590027
11.52,448320,5016600,188.7319946
11.52,448320,5016600,180.7050018
11.52,448320,5016600,172.6779938
11.52,448320,5016600,164.651001
11.52,448320,5016600,156.6239929
11.52,448320,5016600,148.5970001
11.52,448320,5016600,140.5700073
11.52,448320,5016600,132.5429993
11.52,448320,5016600,124.5159988
11.52,448320,5016600,116.4889984
11.52,448320,5016600,108.461998
11.52,448320,5016600,100.4349976
11.52,448320,5016600,92.40799713
11.52,448320,5016600,84.3809967
11.52,448320,5016600,76.35399628
11.52,448320,5016600,68.32700348
11.52,448320,5016600,60.29999924
11.52,448320,5016600,52.27299881
11.52,448320,5016600,44.24599838
11.52,448320,5016600,36.21900177
11.52,448320,5016600,28.19199944
11.52,448320,5016600,20.16500092
11.52,448320,5016600,12.13799953
11.52,448320,5016600,4.111000061
11.52,448320,5016600,-3.915999889
11.52,448320,5016600,-11.94299984
11.52,448320,5016600,-19.96999931
11.52,448320,5016600,-27.99699974
11.52,448320,5016600,-36.02399826
11.52,448320,5016600,-44.05099869
11.52,448320,5016600,-52.07799911
11.52,448320,5016600,-60.10499954
11.52,448320,5016600,-68.13200378
11.52,448320,5016600,-76.15899658
11.52,448320,5016600,-84.18599701
11.52,448320,5016600,-92.21299744
11.52,448320,5016600,-100.2399979
11.52,448320,5016600,-108.2669983
11.52,448320,5016600,-116.2939987
11.52,448320,5016600,-124.3209991
11.52,448320,5016600,-132.3480072
11.52,448320,5016600,-140.375
