Field 0,Points:0,Points:1,Points:2
11.79,448320,5016600,333.2179871
11.79,448320,5016600,325.1910095
11.79,448320,5016600,317.1640015
11.79,448320,5016600,309.1369934
11.79,448320,5016600,301.1099854
11.79,448320,5016600,293.0830078
11.79,448320,5016600,285.0559998
11.79,448320,5016600,277.0289917
11.79,448320,5016600,269.0020142
11.79,448320,5016600,260.9750061
11.79,448320,5016600,252.947998
11.79,448320,5016600,244.9210052
11.79,448320,5016600,236.8939972
11.79,448320,5016600,228.8670044
11.79,448320,5016600,220.8399963
11.79,448320,5016600,212.8130035
11.79,448320,5016600,204.7859955
11.79,448320,5016600,196.7590027
11.79,448320,5016600,188.7319946
11.79,448320,5016600,180.7050018
11.79,448320,5016600,172.6779938
11.79,448320,5016600,164.651001
11.79,448320,5016600,156.6239929
11.79,448320,5016600,148.5970001
11.79,448320,5016600,140.5700073
11.79,448320,5016600,132.5429993
11.79,448320,5016600,124.5159988
11.79,448320,5016600,116.4889984
11.79,448320,5016600,108.461998
11.79,448320,5016600,100.4349976
11.79,448320,5016600,92.40799713
11.79,448320,5016600,84.3809967
11.79,448320,5016600,76.35399628
11.79,448320,5016600,68.32700348
11.79,448320,5016600,60.29999924
11.79,448320,5016600,52.27299881
11.79,448320,5016600,44.24599838
11.79,448320,5016600,36.21900177
11.79,448320,5016600,28.19199944
11.79,448320,5016600,20.16500092
11.79,448320,5016600,12.13799953
11.79,448320,5016600,4.111000061
11.79,448320,5016600,-3.915999889
11.79,448320,5016600,-11.94299984
11.79,448320,5016600,-19.96999931
11.79,448320,5016600,-27.99699974
11.79,448320,5016600,-36.02399826
11.79,448320,5016600,-44.05099869
11.79,448320,5016600,-52.07799911
11.79,448320,5016600,-60.10499954
11.79,448320,5016600,-68.13200378
11.79,448320,5016600,-76.15899658
11.79,448320,5016600,-84.18599701
11.79,448320,5016600,-92.21299744
11.79,448320,5016600,-100.2399979
11.79,448320,5016600,-108.2669983
11.79,448320,5016600,-116.2939987
11.79,448320,5016600,-124.3209991
11.79,448320,5016600,-132.3480072
11.79,448320,5016600,-140.375
11.79,448320,5016600,-148.4019928
11.79,448320,5016600,-156.4290009
12.03,448320,5016600,-164.4559937
12.03,448320,5016600,-172.4830017
12.03,448320,5016600,-180.5099945
12.03,448320,5016600,-188.5370026
12.03,448320,5016600,-196.5639954
12.03,448320,5016600,-204.5910034
12.03,448320,5016600,-212.6179962
12.03,448320,5016600,-220.6450043
12.03,448320,5016600,-228.6719971
12.03,448320,5016600,-236.6990051
12.03,448320,5016600,-244.7259979
12.03,448320,5016600,-252.753006
12.03,448320,5016600,-260.7799988
12.03,448320,5016600,-268.8070068
12.03,448320,5016600,-276.8340149
12.03,448320,5016600,-284.8609924
12.03,448320,5016600,-292.8880005
12.03,448320,5016600,-300.9150085
12.03,448320,5016600,-308.9419861
12.03,448320,5016600,-316.9689941
12.03,448320,5016600,-324.9960022
12.03,448320,5016600,-333.0230103
12.03,448320,5016600,-341.0499878
12.03,448320,5016600,-349.0769958
12.03,448320,5016600,-357.1040039
12.03,448320,5016600,-365.131012
12.03,448320,5016600,-373.1579895
12.03,448320,5016600,-381.1849976
12.03,448320,5016600,-389.2120056
12.03,448320,5016600,-397.2390137
12.03,448320,5016600,-405.2659912
12.03,448320,5016600,-413.2929993
12.03,448320,5016600,-421.3200073
12.03,448320,5016600,-429.3469849
12.03,448320,5016600,-437.3739929
12.03,448320,5016600,-445.401001
12.03,448320,5016600,-453.428009
12.03,448320,5016600,-461.4549866
12.03,448320,5016600,-469.4819946
12.03,448320,5016600,-477.5090027
12.03,448320,5016600,-485.5360107
12.03,448320,5016600,-493.5629883
12.03,448320,5016600,-501.5899963
12.03,448320,5016600,-509.6170044
12.03,448320,5016600,-517.6439819
12.03,448320,5016600,-525.6710205
12.03,448320,5016600,-533.697998
12.03,448320,5016600,-541.7249756
12.03,448320,5016600,-549.7520142
12.03,448320,5016600,-557.7789917
12.03,448320,5016600,-565.8060303
12.03,448320,5016600,-573.8330078
12.03,448320,5016600,-581.8599854
12.03,448320,5016600,-589.8870239
12.03,448320,5016600,-597.9140015
12.03,448320,5016600,-605.940979
12.03,448320,5016600,-613.9680176
12.03,448320,5016600,-621.9949951
12.03,448320,5016600,-630.0219727
12.03,448320,5016600,-638.0490112
12.03,448320,5016600,-646.0759888
12.03,448320,5016600,-654.1030273
12.03,448320,5016600,-662.1300049
44,448320,5016600,-670.1569824
44,448320,5016600,-678.184021
44,448320,5016600,-686.2109985
44,448320,5016600,-694.2379761
44,448320,5016600,-702.2650146
44,448320,5016600,-710.2919922
44,448320,5016600,-718.3189697
44,448320,5016600,-726.3460083
44,448320,5016600,-734.3729858
44,448320,5016600,-742.4000244
44,448320,5016600,-750.427002
44,448320,5016600,-758.4539795
44,448320,5016600,-766.4810181
