Field 0,Points:0,Points:1,Points:2
12.06,517630,5000600,-164.4559937
12.06,517630,5000600,-172.4830017
12.06,517630,5000600,-180.5099945
12.06,517630,5000600,-188.5370026
12.06,517630,5000600,-196.5639954
12.06,517630,5000600,-204.5910034
12.06,517630,5000600,-212.6179962
12.06,517630,5000600,-220.6450043
12.06,517630,5000600,-228.6719971
12.06,517630,5000600,-236.6990051
12.06,517630,5000600,-244.7259979
12.06,517630,5000600,-252.753006
12.06,517630,5000600,-260.7799988
12.06,517630,5000600,-268.8070068
12.06,517630,5000600,-276.8340149
12.06,517630,5000600,-284.8609924
12.06,517630,5000600,-292.8880005
12.06,517630,5000600,-300.9150085
12.06,517630,5000600,-308.9419861
12.06,517630,5000600,-316.9689941
12.06,517630,5000600,-324.9960022
12.06,517630,5000600,-333.0230103
12.06,517630,5000600,-341.0499878
12.06,517630,5000600,-349.0769958
12.06,517630,5000600,-357.1040039
12.06,517630,5000600,-365.131012
12.06,517630,5000600,-373.1579895
12.06,517630,5000600,-381.1849976
12.06,517630,5000600,-389.2120056
12.06,517630,5000600,-397.2390137
12.06,517630,5000600,-405.2659912
12.06,517630,5000600,-413.2929993
12.06,517630,5000600,-421.3200073
12.06,517630,5000600,-429.3469849
12.06,517630,5000600,-437.3739929
12.06,517630,5000600,-445.401001
12.06,517630,5000600,-453.428009
12.06,517630,5000600,-461.4549866
12.06,517630,5000600,-469.4819946
12.06,517630,5000600,-477.5090027
12.06,517630,5000600,-485.5360107
12.06,517630,5000600,-493.5629883
12.06,517630,5000600,-501.5899963
12.06,517630,5000600,-509.6170044
12.06,517630,5000600,-517.6439819
12.06,517630,5000600,-525.6710205
12.06,517630,5000600,-533.697998
12.06,517630,5000600,-541.7249756
12.06,517630,5000600,-549.7520142
12.06,517630,5000600,-557.7789917
12.06,517630,5000600,-565.8060303
12.06,517630,5000600,-573.8330078
12.06,517630,5000600,-581.8599854
12.06,517630,5000600,-589.8870239
12.06,517630,5000600,-597.9140015
12.06,517630,5000600,-605.940979
12.06,517630,5000600,-613.9680176
12.06,517630,5000600,-621.9949951
12.06,517630,5000600,-630.0219727
12.06,517630,5000600,-638.0490112
12.06,517630,5000600,-646.0759888
12.06,517630,5000600,-654.1030273
12.06,517630,5000600,-662.1300049
12.28,517630,5000600,-670.1569824
12.28,517630,5000600,-678.184021
12.28,517630,5000600,-686.2109985
12.28,517630,5000600,-694.2379761
12.28,517630,5000600,-702.2650146
12.28,517630,5000600,-710.2919922
12.28,517630,5000600,-718.3189697
12.28,517630,5000600,-726.3460083
12.28,517630,5000600,-734.3729858
12.28,517630,5000600,-742.4000244
12.28,517630,5000600,-750.427002
12.28,517630,5000600,-758.4539795
12.28,517630,5000600,-766.4810181
12.28,517630,5000600,-774.5079956
12.28,517630,5000600,-782.5349731
12.28,517630,5000600,-790.5620117
12.28,517630,5000600,-798.5889893
12.28,517630,5000600,-806.6160278
12.28,517630,5000600,-814.6430054
12.28,517630,5000600,-822.6699829
12.28,517630,5000600,-830.6970215
12.28,517630,5000600,-838.723999
12.28,517630,5000600,-846.7509766
12.28,517630,5000600,-854.7780151
12.28,517630,5000600,-862.8049927
12.28,517630,5000600,-870.8319702
12.28,517630,5000600,-878.8590088
12.28,517630,5000600,-886.8859863
12.28,517630,5000600,-894.9130249
12.28,517630,5000600,-902.9400024
12.28,517630,5000600,-910.96698
12.28,517630,5000600,-918.9940186
12.28,517630,5000600,-927.0209961
12.28,517630,5000600,-935.0479736
12.28,517630,5000600,-943.0750122
12.28,517630,5000600,-951.1019897
12.28,517630,5000600,-959.1290283
12.28,517630,5000600,-967.1560059
12.28,517630,5000600,-975.1829834
12.28,517630,5000600,-983.210022
12.28,517630,5000600,-991.2369995
12.28,517630,5000600,-999.2639771
12.28,517630,5000600,-1007.291016
12.28,517630,5000600,-1015.317993
12.28,517630,5000600,-1023.344971
12.28,517630,5000600,-1031.371948
12.28,517630,5000600,-1039.399048
12.28,517630,5000600,-1047.426025
12.28,517630,5000600,-1055.453003
12.28,517630,5000600,-1063.47998
12.28,517630,5000600,-1071.506958
12.28,517630,5000600,-1079.534058
12.28,517630,5000600,-1087.561035
12.28,517630,5000600,-1095.588013
