Field 0,Points:0,Points:1,Points:2
44,517630,5000600,-164.4559937
44,517630,5000600,-172.4830017
44,517630,5000600,-180.5099945
44,517630,5000600,-188.5370026
44,517630,5000600,-196.5639954
44,517630,5000600,-204.5910034
44,517630,5000600,-212.6179962
44,517630,5000600,-220.6450043
44,517630,5000600,-228.6719971
44,517630,5000600,-236.6990051
44,517630,5000600,-244.7259979
44,517630,5000600,-252.753006
44,517630,5000600,-260.7799988
44,517630,5000600,-268.8070068
44,517630,5000600,-276.8340149
44,517630,5000600,-284.8609924
44,517630,5000600,-292.8880005
44,517630,5000600,-300.9150085
44,517630,5000600,-308.9419861
44,517630,5000600,-316.9689941
44,517630,5000600,-324.9960022
44,517630,5000600,-333.0230103
44,517630,5000600,-341.0499878
44,517630,5000600,-349.0769958
44,517630,5000600,-357.1040039
44,517630,5000600,-365.131012
44,517630,5000600,-373.1579895
44,517630,5000600,-381.1849976
44,517630,5000600,-389.2120056
44,517630,5000600,-397.2390137
44,517630,5000600,-405.2659912
44,517630,5000600,-413.2929993
44,517630,5000600,-421.3200073
44,517630,5000600,-429.3469849
44,517630,5000600,-437.3739929
44,517630,5000600,-445.401001
44,517630,5000600,-453.428009
44,517630,5000600,-461.4549866
44,517630,5000600,-469.4819946
44,517630,5000600,-477.5090027
44,517630,5000600,-485.5360107
44,517630,5000600,-493.5629883
44,517630,5000600,-501.5899963
44,517630,5000600,-509.6170044
44,517630,5000600,-517.6439819
44,517630,5000600,-525.6710205
44,517630,5000600,-533.697998
44,517630,5000600,-541.7249756
44,517630,5000600,-549.7520142
44,517630,5000600,-557.7789917
44,517630,5000600,-565.8060303
44,517630,5000600,-573.8330078
44,517630,5000600,-581.8599854
44,517630,5000600,-589.8870239
44,517630,5000600,-597.9140015
44,517630,5000600,-605.940979
44,517630,5000600,-613.9680176
44,517630,5000600,-621.9949951
44,517630,5000600,-630.0219727
44,517630,5000600,-638.0490112
44,517630,5000600,-646.0759888
44,517630,5000600,-654.1030273
44,517630,5000600,-662.1300049
50,517630,5000600,-670.1569824
50,517630,5000600,-678.184021
50,517630,5000600,-686.2109985
50,517630,5000600,-694.2379761
50,517630,5000600,-702.2650146
50,517630,5000600,-710.2919922
50,517630,5000600,-718.3189697
50,517630,5000600,-726.3460083
50,517630,5000600,-734.3729858
50,517630,5000600,-742.4000244
50,517630,5000600,-750.427002
50,517630,5000600,-758.4539795
50,517630,5000600,-766.4810181
50,517630,5000600,-774.5079956
50,517630,5000600,-782.5349731
50,517630,5000600,-790.5620117
50,517630,5000600,-798.5889893
50,517630,5000600,-806.6160278
50,517630,5000600,-814.6430054
50,517630,5000600,-822.6699829
50,517630,5000600,-830.6970215
50,517630,5000600,-838.723999
50,517630,5000600,-846.7509766
50,517630,5000600,-854.7780151
50,517630,5000600,-862.8049927
50,517630,5000600,-870.8319702
50,517630,5000600,-878.8590088
50,517630,5000600,-886.8859863
50,517630,5000600,-894.9130249
50,517630,5000600,-902.9400024
50,517630,5000600,-910.96698
50,517630,5000600,-918.9940186
50,517630,5000600,-927.0209961
50,517630,5000600,-935.0479736
50,517630,5000600,-943.0750122
50,517630,5000600,-951.1019897
50,517630,5000600,-959.1290283
50,517630,5000600,-967.1560059
50,517630,5000600,-975.1829834
50,517630,5000600,-983.210022
50,517630,5000600,-991.2369995
50,517630,5000600,-999.2639771
50,517630,5000600,-1007.291016
50,517630,5000600,-1015.317993
50,517630,5000600,-1023.344971
50,517630,5000600,-1031.371948
50,517630,5000600,-1039.399048
50,517630,5000600,-1047.426025
50,517630,5000600,-1055.453003
50,517630,5000600,-1063.47998
50,517630,5000600,-1071.506958
50,517630,5000600,-1079.534058
50,517630,5000600,-1087.561035
50,517630,5000600,-1095.588013
50,517630,5000600,-1103.61499
50,517630,5000600,-1111.641968
50,517630,5000600,-1119.668945
50,517630,5000600,-1127.696045
50,517630,5000600,-1135.723022
50,517630,5000600,-1143.75
50,517630,5000600,-1151.776978
50,517630,5000600,-1159.803955
59,517630,5000600,-1167.831055
59,517630,5000600,-1175.858032
59,517630,5000600,-1183.88501
59,517630,5000600,-1191.911987
59,517630,5000600,-1199.938965
59,517630,5000600,-1207.965942
59,517630,5000600,-1215.993042
59,517630,5000600,-1224.02002
59,517630,5000600,-1232.046997
59,517630,5000600,-1240.073975
59,517630,5000600,-1248.100952
59,517630,5000600,-1256.128052
59,517630,5000600,-1264.155029
59,517630,5000600,-1272.182007
59,517630,5000600,-1280.208984
59,517630,5000600,-1288.235962
59,517630,5000600,-1296.262939
59,517630,5000600,-1304.290039
59,517630,5000600,-1312.317017
59,517630,5000600,-1320.343994
59,517630,5000600,-1328.370972
59,517630,5000600,-1336.397949
59,517630,5000600,-1344.425049
59,517630,5000600,-1352.452026
59,517630,5000600,-1360.479004
59,517630,5000600,-1368.505981
59,517630,5000600,-1376.532959
59,517630,5000600,-1384.560059
59,517630,5000600,-1392.587036
59,517630,5000600,-1400.614014
59,517630,5000600,-1408.640991
59,517630,5000600,-1416.667969
59,517630,5000600,-1424.694946
59,517630,5000600,-1432.722046
59,517630,5000600,-1440.749023
59,517630,5000600,-1448.776001
59,517630,5000600,-1456.802979
59,517630,5000600,-1464.829956
59,517630,5000600,-1472.857056
59,517630,5000600,-1480.884033
59,517630,5000600,-1488.911011
59,517630,5000600,-1496.937988
59,517630,5000600,-1504.964966
59,517630,5000600,-1512.991943
59,517630,5000600,-1521.019043
59,517630,5000600,-1529.046021
59,517630,5000600,-1537.072998
59,517630,5000600,-1545.099976
59,517630,5000600,-1553.126953
59,517630,5000600,-1561.154053
59,517630,5000600,-1569.18103
59,517630,5000600,-1577.208008
59,517630,5000600,-1585.234985
59,517630,5000600,-1593.261963
59,517630,5000600,-1601.28894
59,517630,5000600,-1609.31604
59,517630,5000600,-1617.343018
59,517630,5000600,-1625.369995
59,517630,5000600,-1633.396973
59,517630,5000600,-1641.42395
59,517630,5000600,-1649.45105
59,517630,5000600,-1657.478027
77.95,517630,5000600,-1665.505005
77.95,517630,5000600,-1673.531982
77.95,517630,5000600,-1681.55896
77.95,517630,5000600,-1689.58606
77.95,517630,5000600,-1697.613037
77.95,517630,5000600,-1705.640015
77.95,517630,5000600,-1713.666992
77.95,517630,5000600,-1721.69397
77.95,517630,5000600,-1729.720947
77.95,517630,5000600,-1737.748047
77.95,517630,5000600,-1745.775024
77.95,517630,5000600,-1753.802002
77.95,517630,5000600,-1761.828979
77.95,517630,5000600,-1769.855957
77.95,517630,5000600,-1777.883057
77.95,517630,5000600,-1785.910034
77.95,517630,5000600,-1793.937012
77.95,517630,5000600,-1801.963989
77.95,517630,5000600,-1809.990967
77.95,517630,5000600,-1818.017944
77.95,517630,5000600,-1826.045044
77.95,517630,5000600,-1834.072021
77.95,517630,5000600,-1842.098999
