Field 0,Points:0,Points:1,Points:2
13.93,505470,5012600,333.2179871
13.93,505470,5012600,325.1910095
13.93,505470,5012600,317.1640015
13.93,505470,5012600,309.1369934
13.93,505470,5012600,301.1099854
13.93,505470,5012600,293.0830078
13.93,505470,5012600,285.0559998
13.93,505470,5012600,277.0289917
13.93,505470,5012600,269.0020142
13.93,505470,5012600,260.9750061
13.93,505470,5012600,252.947998
13.93,505470,5012600,244.9210052
13.93,505470,5012600,236.8939972
13.93,505470,5012600,228.8670044
13.93,505470,5012600,220.8399963
13.93,505470,5012600,212.8130035
13.93,505470,5012600,204.7859955
13.93,505470,5012600,196.7590027
13.93,505470,5012600,188.7319946
13.93,505470,5012600,180.7050018
13.93,505470,5012600,172.6779938
13.93,505470,5012600,164.651001
13.93,505470,5012600,156.6239929
13.93,505470,5012600,148.5970001
13.93,505470,5012600,140.5700073
13.93,505470,5012600,132.5429993
13.93,505470,5012600,124.5159988
13.93,505470,5012600,116.4889984
13.93,505470,5012600,108.461998
13.93,505470,5012600,100.4349976
13.93,505470,5012600,92.40799713
13.93,505470,5012600,84.3809967
13.93,505470,5012600,76.35399628
13.93,505470,5012600,68.32700348
13.93,505470,5012600,60.29999924
13.93,505470,5012600,52.27299881
13.93,505470,5012600,44.24599838
13.93,505470,5012600,36.21900177
13.93,505470,5012600,28.19199944
13.93,505470,5012600,20.16500092
13.93,505470,5012600,12.13799953
13.93,505470,5012600,4.111000061
13.93,505470,5012600,-3.915999889
13.93,505470,5012600,-11.94299984
13.93,505470,5012600,-19.96999931
13.93,505470,5012600,-27.99699974
13.93,505470,5012600,-36.02399826
13.93,505470,5012600,-44.05099869
13.93,505470,5012600,-52.07799911
13.93,505470,5012600,-60.10499954
13.93,505470,5012600,-68.13200378
13.93,505470,5012600,-76.15899658
13.93,505470,5012600,-84.18599701
13.93,505470,5012600,-92.21299744
13.93,505470,5012600,-100.2399979
13.93,505470,5012600,-108.2669983
13.93,505470,5012600,-116.2939987
13.93,505470,5012600,-124.3209991
13.93,505470,5012600,-132.3480072
13.93,505470,5012600,-140.375
13.93,505470,5012600,-148.4019928
13.93,505470,5012600,-156.4290009
15.72,505470,5012600,-164.4559937
15.72,505470,5012600,-172.4830017
15.72,505470,5012600,-180.5099945
15.72,505470,5012600,-188.5370026
15.72,505470,5012600,-196.5639954
15.72,505470,5012600,-204.5910034
15.72,505470,5012600,-212.6179962
15.72,505470,5012600,-220.6450043
15.72,505470,5012600,-228.6719971
15.72,505470,5012600,-236.6990051
15.72,505470,5012600,-244.7259979
15.72,505470,5012600,-252.753006
15.72,505470,5012600,-260.7799988
15.72,505470,5012600,-268.8070068
15.72,505470,5012600,-276.8340149
15.72,505470,5012600,-284.8609924
15.72,505470,5012600,-292.8880005
