Field 0,Points:0,Points:1,Points:2
11.41,551210,5044800,333.2179871
11.41,551210,5044800,325.1910095
11.41,551210,5044800,317.1640015
11.41,551210,5044800,309.1369934
11.41,551210,5044800,301.1099854
11.41,551210,5044800,293.0830078
11.41,551210,5044800,285.0559998
11.41,551210,5044800,277.0289917
11.41,551210,5044800,269.0020142
11.41,551210,5044800,260.9750061
11.41,551210,5044800,252.947998
11.41,551210,5044800,244.9210052
11.41,551210,5044800,236.8939972
11.41,551210,5044800,228.8670044
11.41,551210,5044800,220.8399963
11.41,551210,5044800,212.8130035
11.41,551210,5044800,204.7859955
11.41,551210,5044800,196.7590027
11.41,551210,5044800,188.7319946
11.41,551210,5044800,180.7050018
11.41,551210,5044800,172.6779938
11.41,551210,5044800,164.651001
11.41,551210,5044800,156.6239929
11.41,551210,5044800,148.5970001
11.41,551210,5044800,140.5700073
11.41,551210,5044800,132.5429993
11.41,551210,5044800,124.5159988
11.41,551210,5044800,116.4889984
11.41,551210,5044800,108.461998
11.41,551210,5044800,100.4349976
11.41,551210,5044800,92.40799713
11.41,551210,5044800,84.3809967
11.41,551210,5044800,76.35399628
11.41,551210,5044800,68.32700348
11.41,551210,5044800,60.29999924
11.41,551210,5044800,52.27299881
11.41,551210,5044800,44.24599838
11.41,551210,5044800,36.21900177
11.41,551210,5044800,28.19199944
11.41,551210,5044800,20.16500092
11.41,551210,5044800,12.13799953
11.41,551210,5044800,4.111000061
11.41,551210,5044800,-3.915999889
11.41,551210,5044800,-11.94299984
11.41,551210,5044800,-19.96999931
11.41,551210,5044800,-27.99699974
11.41,551210,5044800,-36.02399826
11.41,551210,5044800,-44.05099869
11.41,551210,5044800,-52.07799911
11.41,551210,5044800,-60.10499954
11.41,551210,5044800,-68.13200378
11.41,551210,5044800,-76.15899658
11.41,551210,5044800,-84.18599701
11.41,551210,5044800,-92.21299744
11.41,551210,5044800,-100.2399979
11.41,551210,5044800,-108.2669983
11.41,551210,5044800,-116.2939987
11.41,551210,5044800,-124.3209991
11.41,551210,5044800,-132.3480072
11.41,551210,5044800,-140.375
11.41,551210,5044800,-148.4019928
11.41,551210,5044800,-156.4290009
14.86,551210,5044800,-164.4559937
14.86,551210,5044800,-172.4830017
14.86,551210,5044800,-180.5099945
14.86,551210,5044800,-188.5370026
14.86,551210,5044800,-196.5639954
14.86,551210,5044800,-204.5910034
14.86,551210,5044800,-212.6179962
14.86,551210,5044800,-220.6450043
14.86,551210,5044800,-228.6719971
14.86,551210,5044800,-236.6990051
14.86,551210,5044800,-244.7259979
14.86,551210,5044800,-252.753006
14.86,551210,5044800,-260.7799988
14.86,551210,5044800,-268.8070068
14.86,551210,5044800,-276.8340149
14.86,551210,5044800,-284.8609924
14.86,551210,5044800,-292.8880005
14.86,551210,5044800,-300.9150085
14.86,551210,5044800,-308.9419861
14.86,551210,5044800,-316.9689941
14.86,551210,5044800,-324.9960022
14.86,551210,5044800,-333.0230103
14.86,551210,5044800,-341.0499878
14.86,551210,5044800,-349.0769958
14.86,551210,5044800,-357.1040039
14.86,551210,5044800,-365.131012
14.86,551210,5044800,-373.1579895
14.86,551210,5044800,-381.1849976
14.86,551210,5044800,-389.2120056
14.86,551210,5044800,-397.2390137
14.86,551210,5044800,-405.2659912
14.86,551210,5044800,-413.2929993
14.86,551210,5044800,-421.3200073
14.86,551210,5044800,-429.3469849
14.86,551210,5044800,-437.3739929
14.86,551210,5044800,-445.401001
14.86,551210,5044800,-453.428009
14.86,551210,5044800,-461.4549866
14.86,551210,5044800,-469.4819946
14.86,551210,5044800,-477.5090027
14.86,551210,5044800,-485.5360107
14.86,551210,5044800,-493.5629883
14.86,551210,5044800,-501.5899963
14.86,551210,5044800,-509.6170044
14.86,551210,5044800,-517.6439819
14.86,551210,5044800,-525.6710205
14.86,551210,5044800,-533.697998
14.86,551210,5044800,-541.7249756
14.86,551210,5044800,-549.7520142
14.86,551210,5044800,-557.7789917
14.86,551210,5044800,-565.8060303
14.86,551210,5044800,-573.8330078
14.86,551210,5044800,-581.8599854
14.86,551210,5044800,-589.8870239
14.86,551210,5044800,-597.9140015
14.86,551210,5044800,-605.940979
14.86,551210,5044800,-613.9680176
14.86,551210,5044800,-621.9949951
14.86,551210,5044800,-630.0219727
14.86,551210,5044800,-638.0490112
14.86,551210,5044800,-646.0759888
14.86,551210,5044800,-654.1030273
14.86,551210,5044800,-662.1300049
4.85,551210,5044800,-670.1569824
4.85,551210,5044800,-678.184021
4.85,551210,5044800,-686.2109985
4.85,551210,5044800,-694.2379761
4.85,551210,5044800,-702.2650146
4.85,551210,5044800,-710.2919922
4.85,551210,5044800,-718.3189697
4.85,551210,5044800,-726.3460083
4.85,551210,5044800,-734.3729858
4.85,551210,5044800,-742.4000244
4.85,551210,5044800,-750.427002
4.85,551210,5044800,-758.4539795
4.85,551210,5044800,-766.4810181
4.85,551210,5044800,-774.5079956
4.85,551210,5044800,-782.5349731
4.85,551210,5044800,-790.5620117
4.85,551210,5044800,-798.5889893
4.85,551210,5044800,-806.6160278
4.85,551210,5044800,-814.6430054
4.85,551210,5044800,-822.6699829
4.85,551210,5044800,-830.6970215
4.85,551210,5044800,-838.723999
4.85,551210,5044800,-846.7509766
4.85,551210,5044800,-854.7780151
4.85,551210,5044800,-862.8049927
4.85,551210,5044800,-870.8319702
4.85,551210,5044800,-878.8590088
4.85,551210,5044800,-886.8859863
4.85,551210,5044800,-894.9130249
4.85,551210,5044800,-902.9400024
4.85,551210,5044800,-910.96698
4.85,551210,5044800,-918.9940186
4.85,551210,5044800,-927.0209961
4.85,551210,5044800,-935.0479736
4.85,551210,5044800,-943.0750122
4.85,551210,5044800,-951.1019897
4.85,551210,5044800,-959.1290283
4.85,551210,5044800,-967.1560059
4.85,551210,5044800,-975.1829834
4.85,551210,5044800,-983.210022
4.85,551210,5044800,-991.2369995
4.85,551210,5044800,-999.2639771
4.85,551210,5044800,-1007.291016
4.85,551210,5044800,-1015.317993
4.85,551210,5044800,-1023.344971
4.85,551210,5044800,-1031.371948
4.85,551210,5044800,-1039.399048
4.85,551210,5044800,-1047.426025
4.85,551210,5044800,-1055.453003
4.85,551210,5044800,-1063.47998
4.85,551210,5044800,-1071.506958
4.85,551210,5044800,-1079.534058
4.85,551210,5044800,-1087.561035
4.85,551210,5044800,-1095.588013
4.85,551210,5044800,-1103.61499
4.85,551210,5044800,-1111.641968
4.85,551210,5044800,-1119.668945
4.85,551210,5044800,-1127.696045
4.85,551210,5044800,-1135.723022
4.85,551210,5044800,-1143.75
4.85,551210,5044800,-1151.776978
4.85,551210,5044800,-1159.803955
45.14,551210,5044800,-1167.831055
45.14,551210,5044800,-1175.858032
45.14,551210,5044800,-1183.88501
45.14,551210,5044800,-1191.911987
45.14,551210,5044800,-1199.938965
45.14,551210,5044800,-1207.965942
45.14,551210,5044800,-1215.993042
45.14,551210,5044800,-1224.02002
45.14,551210,5044800,-1232.046997
45.14,551210,5044800,-1240.073975
45.14,551210,5044800,-1248.100952
45.14,551210,5044800,-1256.128052
45.14,551210,5044800,-1264.155029
45.14,551210,5044800,-1272.182007
45.14,551210,5044800,-1280.208984
45.14,551210,5044800,-1288.235962
45.14,551210,5044800,-1296.262939
45.14,551210,5044800,-1304.290039
45.14,551210,5044800,-1312.317017
45.14,551210,5044800,-1320.343994
45.14,551210,5044800,-1328.370972
45.14,551210,5044800,-1336.397949
45.14,551210,5044800,-1344.425049
45.14,551210,5044800,-1352.452026
45.14,551210,5044800,-1360.479004
45.14,551210,5044800,-1368.505981
45.14,551210,5044800,-1376.532959
45.14,551210,5044800,-1384.560059
45.14,551210,5044800,-1392.587036
45.14,551210,5044800,-1400.614014
45.14,551210,5044800,-1408.640991
45.14,551210,5044800,-1416.667969
45.14,551210,5044800,-1424.694946
45.14,551210,5044800,-1432.722046
45.14,551210,5044800,-1440.749023
45.14,551210,5044800,-1448.776001
45.14,551210,5044800,-1456.802979
45.14,551210,5044800,-1464.829956
45.14,551210,5044800,-1472.857056
45.14,551210,5044800,-1480.884033
45.14,551210,5044800,-1488.911011
45.14,551210,5044800,-1496.937988
45.14,551210,5044800,-1504.964966
45.14,551210,5044800,-1512.991943
45.14,551210,5044800,-1521.019043
45.14,551210,5044800,-1529.046021
45.14,551210,5044800,-1537.072998
45.14,551210,5044800,-1545.099976
45.14,551210,5044800,-1553.126953
45.14,551210,5044800,-1561.154053
45.14,551210,5044800,-1569.18103
45.14,551210,5044800,-1577.208008
45.14,551210,5044800,-1585.234985
45.14,551210,5044800,-1593.261963
45.14,551210,5044800,-1601.28894
45.14,551210,5044800,-1609.31604
45.14,551210,5044800,-1617.343018
45.14,551210,5044800,-1625.369995
45.14,551210,5044800,-1633.396973
45.14,551210,5044800,-1641.42395
45.14,551210,5044800,-1649.45105
45.14,551210,5044800,-1657.478027
58.51,551210,5044800,-1665.505005
58.51,551210,5044800,-1673.531982
58.51,551210,5044800,-1681.55896
58.51,551210,5044800,-1689.58606
58.51,551210,5044800,-1697.613037
58.51,551210,5044800,-1705.640015
58.51,551210,5044800,-1713.666992
58.51,551210,5044800,-1721.69397
58.51,551210,5044800,-1729.720947
58.51,551210,5044800,-1737.748047
58.51,551210,5044800,-1745.775024
58.51,551210,5044800,-1753.802002
58.51,551210,5044800,-1761.828979
58.51,551210,5044800,-1769.855957
58.51,551210,5044800,-1777.883057
