Field 0,Points:0,Points:1,Points:2
11.51,477560,5014200,333.2179871
11.51,477560,5014200,325.1910095
11.51,477560,5014200,317.1640015
11.51,477560,5014200,309.1369934
11.51,477560,5014200,301.1099854
11.51,477560,5014200,293.0830078
11.51,477560,5014200,285.0559998
11.51,477560,5014200,277.0289917
11.51,477560,5014200,269.0020142
11.51,477560,5014200,260.9750061
11.51,477560,5014200,252.947998
11.51,477560,5014200,244.9210052
11.51,477560,5014200,236.8939972
11.51,477560,5014200,228.8670044
11.51,477560,5014200,220.8399963
11.51,477560,5014200,212.8130035
11.51,477560,5014200,204.7859955
11.51,477560,5014200,196.7590027
11.51,477560,5014200,188.7319946
11.51,477560,5014200,180.7050018
11.51,477560,5014200,172.6779938
11.51,477560,5014200,164.651001
11.51,477560,5014200,156.6239929
11.51,477560,5014200,148.5970001
11.51,477560,5014200,140.5700073
11.51,477560,5014200,132.5429993
11.51,477560,5014200,124.5159988
11.51,477560,5014200,116.4889984
11.51,477560,5014200,108.461998
11.51,477560,5014200,100.4349976
11.51,477560,5014200,92.40799713
11.51,477560,5014200,84.3809967
11.51,477560,5014200,76.35399628
11.51,477560,5014200,68.32700348
11.51,477560,5014200,60.29999924
11.51,477560,5014200,52.27299881
11.51,477560,5014200,44.24599838
11.51,477560,5014200,36.21900177
11.51,477560,5014200,28.19199944
11.51,477560,5014200,20.16500092
11.51,477560,5014200,12.13799953
11.51,477560,5014200,4.111000061
11.51,477560,5014200,-3.915999889
11.51,477560,5014200,-11.94299984
11.51,477560,5014200,-19.96999931
11.51,477560,5014200,-27.99699974
11.51,477560,5014200,-36.02399826
11.51,477560,5014200,-44.05099869
11.51,477560,5014200,-52.07799911
11.51,477560,5014200,-60.10499954
11.51,477560,5014200,-68.13200378
11.51,477560,5014200,-76.15899658
11.51,477560,5014200,-84.18599701
11.51,477560,5014200,-92.21299744
11.51,477560,5014200,-100.2399979
11.51,477560,5014200,-108.2669983
11.51,477560,5014200,-116.2939987
11.51,477560,5014200,-124.3209991
11.51,477560,5014200,-132.3480072
11.51,477560,5014200,-140.375
11.51,477560,5014200,-148.4019928
11.51,477560,5014200,-156.4290009
15.87,477560,5014200,-164.4559937
15.87,477560,5014200,-172.4830017
15.87,477560,5014200,-180.5099945
15.87,477560,5014200,-188.5370026
15.87,477560,5014200,-196.5639954
15.87,477560,5014200,-204.5910034
15.87,477560,5014200,-212.6179962
15.87,477560,5014200,-220.6450043
15.87,477560,5014200,-228.6719971
15.87,477560,5014200,-236.6990051
15.87,477560,5014200,-244.7259979
15.87,477560,5014200,-252.753006
15.87,477560,5014200,-260.7799988
15.87,477560,5014200,-268.8070068
15.87,477560,5014200,-276.8340149
15.87,477560,5014200,-284.8609924
15.87,477560,5014200,-292.8880005
15.87,477560,5014200,-300.9150085
15.87,477560,5014200,-308.9419861
15.87,477560,5014200,-316.9689941
15.87,477560,5014200,-324.9960022
15.87,477560,5014200,-333.0230103
15.87,477560,5014200,-341.0499878
15.87,477560,5014200,-349.0769958
15.87,477560,5014200,-357.1040039
15.87,477560,5014200,-365.131012
15.87,477560,5014200,-373.1579895
15.87,477560,5014200,-381.1849976
15.87,477560,5014200,-389.2120056
15.87,477560,5014200,-397.2390137
15.87,477560,5014200,-405.2659912
15.87,477560,5014200,-413.2929993
15.87,477560,5014200,-421.3200073
15.87,477560,5014200,-429.3469849
15.87,477560,5014200,-437.3739929
15.87,477560,5014200,-445.401001
15.87,477560,5014200,-453.428009
15.87,477560,5014200,-461.4549866
15.87,477560,5014200,-469.4819946
15.87,477560,5014200,-477.5090027
15.87,477560,5014200,-485.5360107
15.87,477560,5014200,-493.5629883
15.87,477560,5014200,-501.5899963
15.87,477560,5014200,-509.6170044
15.87,477560,5014200,-517.6439819
15.87,477560,5014200,-525.6710205
15.87,477560,5014200,-533.697998
15.87,477560,5014200,-541.7249756
15.87,477560,5014200,-549.7520142
15.87,477560,5014200,-557.7789917
15.87,477560,5014200,-565.8060303
15.87,477560,5014200,-573.8330078
15.87,477560,5014200,-581.8599854
15.87,477560,5014200,-589.8870239
15.87,477560,5014200,-597.9140015
15.87,477560,5014200,-605.940979
15.87,477560,5014200,-613.9680176
15.87,477560,5014200,-621.9949951
15.87,477560,5014200,-630.0219727
15.87,477560,5014200,-638.0490112
15.87,477560,5014200,-646.0759888
15.87,477560,5014200,-654.1030273
15.87,477560,5014200,-662.1300049
23.7,477560,5014200,-670.1569824
23.7,477560,5014200,-678.184021
23.7,477560,5014200,-686.2109985
23.7,477560,5014200,-694.2379761
23.7,477560,5014200,-702.2650146
23.7,477560,5014200,-710.2919922
23.7,477560,5014200,-718.3189697
23.7,477560,5014200,-726.3460083
23.7,477560,5014200,-734.3729858
23.7,477560,5014200,-742.4000244
23.7,477560,5014200,-750.427002
23.7,477560,5014200,-758.4539795
23.7,477560,5014200,-766.4810181
23.7,477560,5014200,-774.5079956
23.7,477560,5014200,-782.5349731
23.7,477560,5014200,-790.5620117
23.7,477560,5014200,-798.5889893
23.7,477560,5014200,-806.6160278
23.7,477560,5014200,-814.6430054
23.7,477560,5014200,-822.6699829
23.7,477560,5014200,-830.6970215
23.7,477560,5014200,-838.723999
23.7,477560,5014200,-846.7509766
23.7,477560,5014200,-854.7780151
23.7,477560,5014200,-862.8049927
23.7,477560,5014200,-870.8319702
23.7,477560,5014200,-878.8590088
23.7,477560,5014200,-886.8859863
23.7,477560,5014200,-894.9130249
23.7,477560,5014200,-902.9400024
23.7,477560,5014200,-910.96698
23.7,477560,5014200,-918.9940186
23.7,477560,5014200,-927.0209961
23.7,477560,5014200,-935.0479736
23.7,477560,5014200,-943.0750122
23.7,477560,5014200,-951.1019897
23.7,477560,5014200,-959.1290283
23.7,477560,5014200,-967.1560059
23.7,477560,5014200,-975.1829834
23.7,477560,5014200,-983.210022
23.7,477560,5014200,-991.2369995
23.7,477560,5014200,-999.2639771
23.7,477560,5014200,-1007.291016
23.7,477560,5014200,-1015.317993
23.7,477560,5014200,-1023.344971
23.7,477560,5014200,-1031.371948
23.7,477560,5014200,-1039.399048
23.7,477560,5014200,-1047.426025
23.7,477560,5014200,-1055.453003
23.7,477560,5014200,-1063.47998
23.7,477560,5014200,-1071.506958
23.7,477560,5014200,-1079.534058
23.7,477560,5014200,-1087.561035
23.7,477560,5014200,-1095.588013
23.7,477560,5014200,-1103.61499
23.7,477560,5014200,-1111.641968
23.7,477560,5014200,-1119.668945
23.7,477560,5014200,-1127.696045
23.7,477560,5014200,-1135.723022
23.7,477560,5014200,-1143.75
23.7,477560,5014200,-1151.776978
23.7,477560,5014200,-1159.803955
5.81,477560,5014200,-1167.831055
5.81,477560,5014200,-1175.858032
5.81,477560,5014200,-1183.88501
5.81,477560,5014200,-1191.911987
5.81,477560,5014200,-1199.938965
5.81,477560,5014200,-1207.965942
5.81,477560,5014200,-1215.993042
5.81,477560,5014200,-1224.02002
5.81,477560,5014200,-1232.046997
5.81,477560,5014200,-1240.073975
5.81,477560,5014200,-1248.100952
5.81,477560,5014200,-1256.128052
5.81,477560,5014200,-1264.155029
5.81,477560,5014200,-1272.182007
5.81,477560,5014200,-1280.208984
5.81,477560,5014200,-1288.235962
5.81,477560,5014200,-1296.262939
5.81,477560,5014200,-1304.290039
5.81,477560,5014200,-1312.317017
5.81,477560,5014200,-1320.343994
5.81,477560,5014200,-1328.370972
5.81,477560,5014200,-1336.397949
5.81,477560,5014200,-1344.425049
5.81,477560,5014200,-1352.452026
5.81,477560,5014200,-1360.479004
5.81,477560,5014200,-1368.505981
5.81,477560,5014200,-1376.532959
5.81,477560,5014200,-1384.560059
5.81,477560,5014200,-1392.587036
5.81,477560,5014200,-1400.614014
5.81,477560,5014200,-1408.640991
5.81,477560,5014200,-1416.667969
5.81,477560,5014200,-1424.694946
5.81,477560,5014200,-1432.722046
5.81,477560,5014200,-1440.749023
5.81,477560,5014200,-1448.776001
5.81,477560,5014200,-1456.802979
5.81,477560,5014200,-1464.829956
5.81,477560,5014200,-1472.857056
5.81,477560,5014200,-1480.884033
5.81,477560,5014200,-1488.911011
5.81,477560,5014200,-1496.937988
5.81,477560,5014200,-1504.964966
5.81,477560,5014200,-1512.991943
5.81,477560,5014200,-1521.019043
5.81,477560,5014200,-1529.046021
5.81,477560,5014200,-1537.072998
5.81,477560,5014200,-1545.099976
5.81,477560,5014200,-1553.126953
5.81,477560,5014200,-1561.154053
5.81,477560,5014200,-1569.18103
5.81,477560,5014200,-1577.208008
5.81,477560,5014200,-1585.234985
5.81,477560,5014200,-1593.261963
5.81,477560,5014200,-1601.28894
5.81,477560,5014200,-1609.31604
5.81,477560,5014200,-1617.343018
5.81,477560,5014200,-1625.369995
5.81,477560,5014200,-1633.396973
5.81,477560,5014200,-1641.42395
5.81,477560,5014200,-1649.45105
5.81,477560,5014200,-1657.478027
52.06,477560,5014200,-1665.505005
52.06,477560,5014200,-1673.531982
52.06,477560,5014200,-1681.55896
52.06,477560,5014200,-1689.58606
52.06,477560,5014200,-1697.613037
52.06,477560,5014200,-1705.640015
52.06,477560,5014200,-1713.666992
52.06,477560,5014200,-1721.69397
52.06,477560,5014200,-1729.720947
52.06,477560,5014200,-1737.748047
52.06,477560,5014200,-1745.775024
52.06,477560,5014200,-1753.802002
52.06,477560,5014200,-1761.828979
52.06,477560,5014200,-1769.855957
52.06,477560,5014200,-1777.883057
52.06,477560,5014200,-1785.910034
52.06,477560,5014200,-1793.937012
52.06,477560,5014200,-1801.963989
52.06,477560,5014200,-1809.990967
52.06,477560,5014200,-1818.017944
52.06,477560,5014200,-1826.045044
52.06,477560,5014200,-1834.072021
52.06,477560,5014200,-1842.098999
52.06,477560,5014200,-1850.125977
52.06,477560,5014200,-1858.152954
52.06,477560,5014200,-1866.180054
52.06,477560,5014200,-1874.207031
52.06,477560,5014200,-1882.234009
52.06,477560,5014200,-1890.260986
52.06,477560,5014200,-1898.287964
52.06,477560,5014200,-1906.314941
52.06,477560,5014200,-1914.342041
52.06,477560,5014200,-1922.369019
52.06,477560,5014200,-1930.395996
52.06,477560,5014200,-1938.422974
52.06,477560,5014200,-1946.449951
52.06,477560,5014200,-1954.477051
52.06,477560,5014200,-1962.504028
52.06,477560,5014200,-1970.531006
52.06,477560,5014200,-1978.557983
52.06,477560,5014200,-1986.584961
52.06,477560,5014200,-1994.612061
52.06,477560,5014200,-2002.639038
52.06,477560,5014200,-2010.666016
52.06,477560,5014200,-2018.692993
52.06,477560,5014200,-2026.719971
52.06,477560,5014200,-2034.746948
52.06,477560,5014200,-2042.774048
52.06,477560,5014200,-2050.801025
52.06,477560,5014200,-2058.827881
52.06,477560,5014200,-2066.85498
52.06,477560,5014200,-2074.88208
52.06,477560,5014200,-2082.908936
52.06,477560,5014200,-2090.936035
52.06,477560,5014200,-2098.962891
52.06,477560,5014200,-2106.98999
52.06,477560,5014200,-2115.01709
52.06,477560,5014200,-2123.043945
52.06,477560,5014200,-2131.071045
52.06,477560,5014200,-2139.0979
52.06,477560,5014200,-2147.125
52.06,477560,5014200,-2155.1521
52.06,477560,5014200,-2163.178955
64.34,477560,5014200,-2171.206055
64.34,477560,5014200,-2179.23291
64.34,477560,5014200,-2187.26001
64.34,477560,5014200,-2195.287109
64.34,477560,5014200,-2203.313965
64.34,477560,5014200,-2211.341064
64.34,477560,5014200,-2219.36792
64.34,477560,5014200,-2227.39502
64.34,477560,5014200,-2235.422119
64.34,477560,5014200,-2243.448975
64.34,477560,5014200,-2251.476074
64.34,477560,5014200,-2259.50293
64.34,477560,5014200,-2267.530029
64.34,477560,5014200,-2275.556885
64.34,477560,5014200,-2283.583984
64.34,477560,5014200,-2291.611084
64.34,477560,5014200,-2299.637939
64.34,477560,5014200,-2307.665039
64.34,477560,5014200,-2315.691895
64.34,477560,5014200,-2323.718994
64.34,477560,5014200,-2331.746094
64.34,477560,5014200,-2339.772949
64.34,477560,5014200,-2347.800049
64.34,477560,5014200,-2355.826904
64.34,477560,5014200,-2363.854004
64.34,477560,5014200,-2371.881104
64.34,477560,5014200,-2379.907959
64.34,477560,5014200,-2387.935059
64.34,477560,5014200,-2395.961914
64.34,477560,5014200,-2403.989014
64.34,477560,5014200,-2412.016113
64.34,477560,5014200,-2420.042969
64.34,477560,5014200,-2428.070068
64.34,477560,5014200,-2436.096924
64.34,477560,5014200,-2444.124023
64.34,477560,5014200,-2452.150879
64.34,477560,5014200,-2460.177979
64.34,477560,5014200,-2468.205078
64.34,477560,5014200,-2476.231934
64.34,477560,5014200,-2484.259033
64.34,477560,5014200,-2492.285889
64.34,477560,5014200,-2500.312988
64.34,477560,5014200,-2508.340088
64.34,477560,5014200,-2516.366943
64.34,477560,5014200,-2524.394043
64.34,477560,5014200,-2532.420898
64.34,477560,5014200,-2540.447998
64.34,477560,5014200,-2548.475098
64.34,477560,5014200,-2556.501953
64.34,477560,5014200,-2564.529053
64.34,477560,5014200,-2572.555908
64.34,477560,5014200,-2580.583008
64.34,477560,5014200,-2588.610107
64.34,477560,5014200,-2596.636963
64.34,477560,5014200,-2604.664062
64.34,477560,5014200,-2612.690918
64.34,477560,5014200,-2620.718018
64.34,477560,5014200,-2628.745117
64.34,477560,5014200,-2636.771973
