Field 0,Points:0,Points:1,Points:2
23.81,517630,5000600,-164.4559937
23.81,517630,5000600,-172.4830017
23.81,517630,5000600,-180.5099945
23.81,517630,5000600,-188.5370026
23.81,517630,5000600,-196.5639954
23.81,517630,5000600,-204.5910034
23.81,517630,5000600,-212.6179962
23.81,517630,5000600,-220.6450043
23.81,517630,5000600,-228.6719971
23.81,517630,5000600,-236.6990051
23.81,517630,5000600,-244.7259979
23.81,517630,5000600,-252.753006
23.81,517630,5000600,-260.7799988
23.81,517630,5000600,-268.8070068
23.81,517630,5000600,-276.8340149
23.81,517630,5000600,-284.8609924
23.81,517630,5000600,-292.8880005
23.81,517630,5000600,-300.9150085
23.81,517630,5000600,-308.9419861
23.81,517630,5000600,-316.9689941
23.81,517630,5000600,-324.9960022
23.81,517630,5000600,-333.0230103
23.81,517630,5000600,-341.0499878
23.81,517630,5000600,-349.0769958
23.81,517630,5000600,-357.1040039
23.81,517630,5000600,-365.131012
23.81,517630,5000600,-373.1579895
23.81,517630,5000600,-381.1849976
23.81,517630,5000600,-389.2120056
23.81,517630,5000600,-397.2390137
23.81,517630,5000600,-405.2659912
23.81,517630,5000600,-413.2929993
23.81,517630,5000600,-421.3200073
23.81,517630,5000600,-429.3469849
23.81,517630,5000600,-437.3739929
23.81,517630,5000600,-445.401001
23.81,517630,5000600,-453.428009
23.81,517630,5000600,-461.4549866
23.81,517630,5000600,-469.4819946
23.81,517630,5000600,-477.5090027
23.81,517630,5000600,-485.5360107
23.81,517630,5000600,-493.5629883
23.81,517630,5000600,-501.5899963
23.81,517630,5000600,-509.6170044
23.81,517630,5000600,-517.6439819
23.81,517630,5000600,-525.6710205
23.81,517630,5000600,-533.697998
23.81,517630,5000600,-541.7249756
23.81,517630,5000600,-549.7520142
23.81,517630,5000600,-557.7789917
23.81,517630,5000600,-565.8060303
23.81,517630,5000600,-573.8330078
23.81,517630,5000600,-581.8599854
23.81,517630,5000600,-589.8870239
23.81,517630,5000600,-597.9140015
