"Field 0","Points:0","Points:1","Points:2"
nan,448320,5016600,863
nan,448320,5016600,854.9730225
nan,448320,5016600,846.9459839
nan,448320,5016600,838.9190063
nan,448320,5016600,830.8920288
nan,448320,5016600,822.8649902
nan,448320,5016600,814.8380127
nan,448320,5016600,806.8109741
nan,448320,5016600,798.7839966
nan,448320,5016600,790.757019
nan,448320,5016600,782.7299805
nan,448320,5016600,774.7030029
nan,448320,5016600,766.6760254
nan,448320,5016600,758.6489868
nan,448320,5016600,750.6220093
nan,448320,5016600,742.5949707
nan,448320,5016600,734.5679932
nan,448320,5016600,726.5410156
nan,448320,5016600,718.5139771
nan,448320,5016600,710.4869995
nan,448320,5016600,702.460022
nan,448320,5016600,694.4329834
nan,448320,5016600,686.4060059
nan,448320,5016600,678.3790283
nan,448320,5016600,670.3519897
nan,448320,5016600,662.3250122
nan,448320,5016600,654.2979736
nan,448320,5016600,646.2709961
nan,448320,5016600,638.2440186
nan,448320,5016600,630.21698
nan,448320,5016600,622.1900024
nan,448320,5016600,614.1630249
nan,448320,5016600,606.1359863
nan,448320,5016600,598.1090088
nan,448320,5016600,590.0819702
nan,448320,5016600,582.0549927
nan,448320,5016600,574.0280151
nan,448320,5016600,566.0009766
nan,448320,5016600,557.973999
nan,448320,5016600,549.9470215
nan,448320,5016600,541.9199829
nan,448320,5016600,533.8930054
nan,448320,5016600,525.8660278
nan,448320,5016600,517.8389893
nan,448320,5016600,509.8120117
nan,448320,5016600,501.7850037
nan,448320,5016600,493.7579956
nan,448320,5016600,485.7309875
nan,448320,5016600,477.70401
nan,448320,5016600,469.677002
nan,448320,5016600,461.6499939
nan,448320,5016600,453.6229858
nan,448320,5016600,445.5960083
nan,448320,5016600,437.5690002
nan,448320,5016600,429.5419922
nan,448320,5016600,421.5150146
nan,448320,5016600,413.4880066
nan,448320,5016600,405.4609985
nan,448320,5016600,397.4339905
nan,448320,5016600,389.4070129
nan,448320,5016600,381.3800049
nan,448320,5016600,373.3529968
nan,448320,5016600,365.3259888
nan,448320,5016600,357.2990112
nan,448320,5016600,349.2720032
nan,448320,5016600,341.2449951
0.39,448320,5016600,333.2179871
0.39,448320,5016600,325.1910095
0.39,448320,5016600,317.1640015
0.39,448320,5016600,309.1369934
0.39,448320,5016600,301.1099854
0.39,448320,5016600,293.0830078
0.39,448320,5016600,285.0559998
0.39,448320,5016600,277.0289917
0.39,448320,5016600,269.0020142
0.39,448320,5016600,260.9750061
0.39,448320,5016600,252.947998
0.39,448320,5016600,244.9210052
0.39,448320,5016600,236.8939972
0.39,448320,5016600,228.8670044
0.39,448320,5016600,220.8399963
0.39,448320,5016600,212.8130035
0.39,448320,5016600,204.7859955
0.39,448320,5016600,196.7590027
0.39,448320,5016600,188.7319946
0.39,448320,5016600,180.7050018
0.39,448320,5016600,172.6779938
0.39,448320,5016600,164.651001
0.39,448320,5016600,156.6239929
0.39,448320,5016600,148.5970001
0.39,448320,5016600,140.5700073
0.39,448320,5016600,132.5429993
0.39,448320,5016600,124.5159988
0.39,448320,5016600,116.4889984
0.39,448320,5016600,108.461998
0.39,448320,5016600,100.4349976
0.39,448320,5016600,92.40799713
0.39,448320,5016600,84.3809967
0.39,448320,5016600,76.35399628
0.39,448320,5016600,68.32700348
0.39,448320,5016600,60.29999924
0.39,448320,5016600,52.27299881
0.39,448320,5016600,44.24599838
0.39,448320,5016600,36.21900177
0.39,448320,5016600,28.19199944
0.39,448320,5016600,20.16500092
0.39,448320,5016600,12.13799953
0.39,448320,5016600,4.111000061
0.39,448320,5016600,-3.915999889
0.39,448320,5016600,-11.94299984
0.39,448320,5016600,-19.96999931
0.39,448320,5016600,-27.99699974
0.39,448320,5016600,-36.02399826
0.39,448320,5016600,-44.05099869
