"Field 0","Points:0","Points:1","Points:2"
nan,517630,5000600,863
nan,517630,5000600,854.9730225
nan,517630,5000600,846.9459839
nan,517630,5000600,838.9190063
nan,517630,5000600,830.8920288
nan,517630,5000600,822.8649902
nan,517630,5000600,814.8380127
nan,517630,5000600,806.8109741
nan,517630,5000600,798.7839966
nan,517630,5000600,790.757019
nan,517630,5000600,782.7299805
nan,517630,5000600,774.7030029
nan,517630,5000600,766.6760254
nan,517630,5000600,758.6489868
nan,517630,5000600,750.6220093
nan,517630,5000600,742.5949707
nan,517630,5000600,734.5679932
nan,517630,5000600,726.5410156
nan,517630,5000600,718.5139771
nan,517630,5000600,710.4869995
nan,517630,5000600,702.460022
nan,517630,5000600,694.4329834
nan,517630,5000600,686.4060059
nan,517630,5000600,678.3790283
nan,517630,5000600,670.3519897
nan,517630,5000600,662.3250122
nan,517630,5000600,654.2979736
nan,517630,5000600,646.2709961
nan,517630,5000600,638.2440186
nan,517630,5000600,630.21698
nan,517630,5000600,622.1900024
nan,517630,5000600,614.1630249
nan,517630,5000600,606.1359863
nan,517630,5000600,598.1090088
nan,517630,5000600,590.0819702
nan,517630,5000600,582.0549927
nan,517630,5000600,574.0280151
nan,517630,5000600,566.0009766
nan,517630,5000600,557.973999
nan,517630,5000600,549.9470215
nan,517630,5000600,541.9199829
nan,517630,5000600,533.8930054
nan,517630,5000600,525.8660278
nan,517630,5000600,517.8389893
nan,517630,5000600,509.8120117
nan,517630,5000600,501.7850037
nan,517630,5000600,493.7579956
nan,517630,5000600,485.7309875
nan,517630,5000600,477.70401
nan,517630,5000600,469.677002
nan,517630,5000600,461.6499939
nan,517630,5000600,453.6229858
nan,517630,5000600,445.5960083
nan,517630,5000600,437.5690002
nan,517630,5000600,429.5419922
nan,517630,5000600,421.5150146
nan,517630,5000600,413.4880066
nan,517630,5000600,405.4609985
nan,517630,5000600,397.4339905
nan,517630,5000600,389.4070129
nan,517630,5000600,381.3800049
nan,517630,5000600,373.3529968
nan,517630,5000600,365.3259888
nan,517630,5000600,357.2990112
nan,517630,5000600,349.2720032
nan,517630,5000600,341.2449951
nan,517630,5000600,333.2179871
nan,517630,5000600,325.1910095
nan,517630,5000600,317.1640015
nan,517630,5000600,309.1369934
nan,517630,5000600,301.1099854
nan,517630,5000600,293.0830078
nan,517630,5000600,285.0559998
nan,517630,5000600,277.0289917
nan,517630,5000600,269.0020142
nan,517630,5000600,260.9750061
nan,517630,5000600,252.947998
nan,517630,5000600,244.9210052
nan,517630,5000600,236.8939972
nan,517630,5000600,228.8670044
nan,517630,5000600,220.8399963
nan,517630,5000600,212.8130035
nan,517630,5000600,204.7859955
nan,517630,5000600,196.7590027
nan,517630,5000600,188.7319946
nan,517630,5000600,180.7050018
nan,517630,5000600,172.6779938
nan,517630,5000600,164.651001
nan,517630,5000600,156.6239929
nan,517630,5000600,148.5970001
nan,517630,5000600,140.5700073
nan,517630,5000600,132.5429993
nan,517630,5000600,124.5159988
nan,517630,5000600,116.4889984
nan,517630,5000600,108.461998
nan,517630,5000600,100.4349976
nan,517630,5000600,92.40799713
nan,517630,5000600,84.3809967
nan,517630,5000600,76.35399628
nan,517630,5000600,68.32700348
nan,517630,5000600,60.29999924
nan,517630,5000600,52.27299881
nan,517630,5000600,44.24599838
nan,517630,5000600,36.21900177
nan,517630,5000600,28.19199944
nan,517630,5000600,20.16500092
nan,517630,5000600,12.13799953
nan,517630,5000600,4.111000061
nan,517630,5000600,-3.915999889
nan,517630,5000600,-11.94299984
nan,517630,5000600,-19.96999931
nan,517630,5000600,-27.99699974
nan,517630,5000600,-36.02399826
nan,517630,5000600,-44.05099869
nan,517630,5000600,-52.07799911
nan,517630,5000600,-60.10499954
nan,517630,5000600,-68.13200378
nan,517630,5000600,-76.15899658
nan,517630,5000600,-84.18599701
nan,517630,5000600,-92.21299744
nan,517630,5000600,-100.2399979
nan,517630,5000600,-108.2669983
nan,517630,5000600,-116.2939987
nan,517630,5000600,-124.3209991
nan,517630,5000600,-132.3480072
nan,517630,5000600,-140.375
nan,517630,5000600,-148.4019928
nan,517630,5000600,-156.4290009
11.75,517630,5000600,-164.4559937
11.75,517630,5000600,-172.4830017
11.75,517630,5000600,-180.5099945
11.75,517630,5000600,-188.5370026
11.75,517630,5000600,-196.5639954
11.75,517630,5000600,-204.5910034
11.75,517630,5000600,-212.6179962
11.75,517630,5000600,-220.6450043
11.75,517630,5000600,-228.6719971
11.75,517630,5000600,-236.6990051
11.75,517630,5000600,-244.7259979
11.75,517630,5000600,-252.753006
11.75,517630,5000600,-260.7799988
11.75,517630,5000600,-268.8070068
11.75,517630,5000600,-276.8340149
11.75,517630,5000600,-284.8609924
11.75,517630,5000600,-292.8880005
11.75,517630,5000600,-300.9150085
11.75,517630,5000600,-308.9419861
11.75,517630,5000600,-316.9689941
11.75,517630,5000600,-324.9960022
11.75,517630,5000600,-333.0230103
11.75,517630,5000600,-341.0499878
11.75,517630,5000600,-349.0769958
11.75,517630,5000600,-357.1040039
11.75,517630,5000600,-365.131012
11.75,517630,5000600,-373.1579895
11.75,517630,5000600,-381.1849976
11.75,517630,5000600,-389.2120056
11.75,517630,5000600,-397.2390137
11.75,517630,5000600,-405.2659912
11.75,517630,5000600,-413.2929993
11.75,517630,5000600,-421.3200073
11.75,517630,5000600,-429.3469849
11.75,517630,5000600,-437.3739929
11.75,517630,5000600,-445.401001
11.75,517630,5000600,-453.428009
11.75,517630,5000600,-461.4549866
11.75,517630,5000600,-469.4819946
11.75,517630,5000600,-477.5090027
11.75,517630,5000600,-485.5360107
11.75,517630,5000600,-493.5629883
11.75,517630,5000600,-501.5899963
11.75,517630,5000600,-509.6170044
11.75,517630,5000600,-517.6439819
11.75,517630,5000600,-525.6710205
11.75,517630,5000600,-533.697998
11.75,517630,5000600,-541.7249756
11.75,517630,5000600,-549.7520142
11.75,517630,5000600,-557.7789917
11.75,517630,5000600,-565.8060303
11.75,517630,5000600,-573.8330078
11.75,517630,5000600,-581.8599854
11.75,517630,5000600,-589.8870239
11.75,517630,5000600,-597.9140015
11.75,517630,5000600,-605.940979
11.75,517630,5000600,-613.9680176
11.75,517630,5000600,-621.9949951
11.75,517630,5000600,-630.0219727
11.75,517630,5000600,-638.0490112
11.75,517630,5000600,-646.0759888
11.75,517630,5000600,-654.1030273
11.75,517630,5000600,-662.1300049
25.4,517630,5000600,-670.1569824
25.4,517630,5000600,-678.184021
25.4,517630,5000600,-686.2109985
25.4,517630,5000600,-694.2379761
25.4,517630,5000600,-702.2650146
25.4,517630,5000600,-710.2919922
25.4,517630,5000600,-718.3189697
25.4,517630,5000600,-726.3460083
25.4,517630,5000600,-734.3729858
25.4,517630,5000600,-742.4000244
25.4,517630,5000600,-750.427002
25.4,517630,5000600,-758.4539795
25.4,517630,5000600,-766.4810181
25.4,517630,5000600,-774.5079956
25.4,517630,5000600,-782.5349731
25.4,517630,5000600,-790.5620117
25.4,517630,5000600,-798.5889893
25.4,517630,5000600,-806.6160278
25.4,517630,5000600,-814.6430054
