Field 0,Points:0,Points:1,Points:2
25.87,505470,5012600,333.2179871
25.87,505470,5012600,325.1910095
25.87,505470,5012600,317.1640015
25.87,505470,5012600,309.1369934
25.87,505470,5012600,301.1099854
25.87,505470,5012600,293.0830078
25.87,505470,5012600,285.0559998
25.87,505470,5012600,277.0289917
25.87,505470,5012600,269.0020142
25.87,505470,5012600,260.9750061
25.87,505470,5012600,252.947998
25.87,505470,5012600,244.9210052
25.87,505470,5012600,236.8939972
25.87,505470,5012600,228.8670044
25.87,505470,5012600,220.8399963
25.87,505470,5012600,212.8130035
25.87,505470,5012600,204.7859955
25.87,505470,5012600,196.7590027
25.87,505470,5012600,188.7319946
25.87,505470,5012600,180.7050018
25.87,505470,5012600,172.6779938
25.87,505470,5012600,164.651001
25.87,505470,5012600,156.6239929
25.87,505470,5012600,148.5970001
25.87,505470,5012600,140.5700073
25.87,505470,5012600,132.5429993
25.87,505470,5012600,124.5159988
25.87,505470,5012600,116.4889984
25.87,505470,5012600,108.461998
25.87,505470,5012600,100.4349976
25.87,505470,5012600,92.40799713
25.87,505470,5012600,84.3809967
25.87,505470,5012600,76.35399628
25.87,505470,5012600,68.32700348
25.87,505470,5012600,60.29999924
25.87,505470,5012600,52.27299881
25.87,505470,5012600,44.24599838
25.87,505470,5012600,36.21900177
25.87,505470,5012600,28.19199944
25.87,505470,5012600,20.16500092
25.87,505470,5012600,12.13799953
25.87,505470,5012600,4.111000061
25.87,505470,5012600,-3.915999889
25.87,505470,5012600,-11.94299984
25.87,505470,5012600,-19.96999931
25.87,505470,5012600,-27.99699974
25.87,505470,5012600,-36.02399826
25.87,505470,5012600,-44.05099869
25.87,505470,5012600,-52.07799911
25.87,505470,5012600,-60.10499954
25.87,505470,5012600,-68.13200378
25.87,505470,5012600,-76.15899658
25.87,505470,5012600,-84.18599701
25.87,505470,5012600,-92.21299744
25.87,505470,5012600,-100.2399979
25.87,505470,5012600,-108.2669983
25.87,505470,5012600,-116.2939987
25.87,505470,5012600,-124.3209991
25.87,505470,5012600,-132.3480072
25.87,505470,5012600,-140.375
25.87,505470,5012600,-148.4019928
25.87,505470,5012600,-156.4290009
27.81,505470,5012600,-164.4559937
27.81,505470,5012600,-172.4830017
27.81,505470,5012600,-180.5099945
27.81,505470,5012600,-188.5370026
27.81,505470,5012600,-196.5639954
27.81,505470,5012600,-204.5910034
27.81,505470,5012600,-212.6179962
27.81,505470,5012600,-220.6450043
27.81,505470,5012600,-228.6719971
27.81,505470,5012600,-236.6990051
27.81,505470,5012600,-244.7259979
27.81,505470,5012600,-252.753006
27.81,505470,5012600,-260.7799988
27.81,505470,5012600,-268.8070068
27.81,505470,5012600,-276.8340149
27.81,505470,5012600,-284.8609924
27.81,505470,5012600,-292.8880005
27.81,505470,5012600,-300.9150085
27.81,505470,5012600,-308.9419861
27.81,505470,5012600,-316.9689941
27.81,505470,5012600,-324.9960022
27.81,505470,5012600,-333.0230103
27.81,505470,5012600,-341.0499878
27.81,505470,5012600,-349.0769958
27.81,505470,5012600,-357.1040039
27.81,505470,5012600,-365.131012
27.81,505470,5012600,-373.1579895
27.81,505470,5012600,-381.1849976
27.81,505470,5012600,-389.2120056
27.81,505470,5012600,-397.2390137
27.81,505470,5012600,-405.2659912
27.81,505470,5012600,-413.2929993
27.81,505470,5012600,-421.3200073
27.81,505470,5012600,-429.3469849
27.81,505470,5012600,-437.3739929
27.81,505470,5012600,-445.401001
27.81,505470,5012600,-453.428009
27.81,505470,5012600,-461.4549866
27.81,505470,5012600,-469.4819946
27.81,505470,5012600,-477.5090027
27.81,505470,5012600,-485.5360107
27.81,505470,5012600,-493.5629883
27.81,505470,5012600,-501.5899963
27.81,505470,5012600,-509.6170044
27.81,505470,5012600,-517.6439819
27.81,505470,5012600,-525.6710205
27.81,505470,5012600,-533.697998
27.81,505470,5012600,-541.7249756
27.81,505470,5012600,-549.7520142
27.81,505470,5012600,-557.7789917
27.81,505470,5012600,-565.8060303
27.81,505470,5012600,-573.8330078
27.81,505470,5012600,-581.8599854
27.81,505470,5012600,-589.8870239
27.81,505470,5012600,-597.9140015
27.81,505470,5012600,-605.940979
27.81,505470,5012600,-613.9680176
27.81,505470,5012600,-621.9949951
27.81,505470,5012600,-630.0219727
27.81,505470,5012600,-638.0490112
27.81,505470,5012600,-646.0759888
27.81,505470,5012600,-654.1030273
27.81,505470,5012600,-662.1300049
78.4,505470,5012600,-670.1569824
78.4,505470,5012600,-678.184021
78.4,505470,5012600,-686.2109985
78.4,505470,5012600,-694.2379761
78.4,505470,5012600,-702.2650146
78.4,505470,5012600,-710.2919922
78.4,505470,5012600,-718.3189697
78.4,505470,5012600,-726.3460083
78.4,505470,5012600,-734.3729858
78.4,505470,5012600,-742.4000244
78.4,505470,5012600,-750.427002
78.4,505470,5012600,-758.4539795
78.4,505470,5012600,-766.4810181
78.4,505470,5012600,-774.5079956
78.4,505470,5012600,-782.5349731
78.4,505470,5012600,-790.5620117
