Field 0,Points:0,Points:1,Points:2
0.23,551210,5044800,333.2179871
0.23,551210,5044800,325.1910095
0.23,551210,5044800,317.1640015
0.23,551210,5044800,309.1369934
0.23,551210,5044800,301.1099854
0.23,551210,5044800,293.0830078
0.23,551210,5044800,285.0559998
0.23,551210,5044800,277.0289917
0.23,551210,5044800,269.0020142
0.23,551210,5044800,260.9750061
0.23,551210,5044800,252.947998
0.23,551210,5044800,244.9210052
0.23,551210,5044800,236.8939972
0.23,551210,5044800,228.8670044
0.23,551210,5044800,220.8399963
0.23,551210,5044800,212.8130035
0.23,551210,5044800,204.7859955
0.23,551210,5044800,196.7590027
0.23,551210,5044800,188.7319946
0.23,551210,5044800,180.7050018
0.23,551210,5044800,172.6779938
0.23,551210,5044800,164.651001
0.23,551210,5044800,156.6239929
0.23,551210,5044800,148.5970001
0.23,551210,5044800,140.5700073
0.23,551210,5044800,132.5429993
0.23,551210,5044800,124.5159988
0.23,551210,5044800,116.4889984
0.23,551210,5044800,108.461998
0.23,551210,5044800,100.4349976
0.23,551210,5044800,92.40799713
0.23,551210,5044800,84.3809967
0.23,551210,5044800,76.35399628
0.23,551210,5044800,68.32700348
0.23,551210,5044800,60.29999924
0.23,551210,5044800,52.27299881
0.23,551210,5044800,44.24599838
0.23,551210,5044800,36.21900177
0.23,551210,5044800,28.19199944
0.23,551210,5044800,20.16500092
0.23,551210,5044800,12.13799953
0.23,551210,5044800,4.111000061
0.23,551210,5044800,-3.915999889
0.23,551210,5044800,-11.94299984
0.23,551210,5044800,-19.96999931
0.23,551210,5044800,-27.99699974
0.23,551210,5044800,-36.02399826
0.23,551210,5044800,-44.05099869
0.23,551210,5044800,-52.07799911
0.23,551210,5044800,-60.10499954
0.23,551210,5044800,-68.13200378
0.23,551210,5044800,-76.15899658
0.23,551210,5044800,-84.18599701
0.23,551210,5044800,-92.21299744
0.23,551210,5044800,-100.2399979
0.23,551210,5044800,-108.2669983
0.23,551210,5044800,-116.2939987
0.23,551210,5044800,-124.3209991
0.23,551210,5044800,-132.3480072
0.23,551210,5044800,-140.375
0.23,551210,5044800,-148.4019928
0.23,551210,5044800,-156.4290009
3.23,551210,5044800,-164.4559937
3.23,551210,5044800,-172.4830017
3.23,551210,5044800,-180.5099945
3.23,551210,5044800,-188.5370026
3.23,551210,5044800,-196.5639954
3.23,551210,5044800,-204.5910034
3.23,551210,5044800,-212.6179962
3.23,551210,5044800,-220.6450043
3.23,551210,5044800,-228.6719971
3.23,551210,5044800,-236.6990051
3.23,551210,5044800,-244.7259979
3.23,551210,5044800,-252.753006
3.23,551210,5044800,-260.7799988
3.23,551210,5044800,-268.8070068
3.23,551210,5044800,-276.8340149
3.23,551210,5044800,-284.8609924
