Field 0,Points:0,Points:1,Points:2
23.53,551210,5044800,333.2179871
23.53,551210,5044800,325.1910095
23.53,551210,5044800,317.1640015
23.53,551210,5044800,309.1369934
23.53,551210,5044800,301.1099854
23.53,551210,5044800,293.0830078
23.53,551210,5044800,285.0559998
23.53,551210,5044800,277.0289917
23.53,551210,5044800,269.0020142
23.53,551210,5044800,260.9750061
23.53,551210,5044800,252.947998
23.53,551210,5044800,244.9210052
23.53,551210,5044800,236.8939972
23.53,551210,5044800,228.8670044
23.53,551210,5044800,220.8399963
23.53,551210,5044800,212.8130035
23.53,551210,5044800,204.7859955
23.53,551210,5044800,196.7590027
23.53,551210,5044800,188.7319946
23.53,551210,5044800,180.7050018
23.53,551210,5044800,172.6779938
23.53,551210,5044800,164.651001
23.53,551210,5044800,156.6239929
23.53,551210,5044800,148.5970001
23.53,551210,5044800,140.5700073
23.53,551210,5044800,132.5429993
23.53,551210,5044800,124.5159988
23.53,551210,5044800,116.4889984
23.53,551210,5044800,108.461998
23.53,551210,5044800,100.4349976
23.53,551210,5044800,92.40799713
23.53,551210,5044800,84.3809967
23.53,551210,5044800,76.35399628
23.53,551210,5044800,68.32700348
23.53,551210,5044800,60.29999924
23.53,551210,5044800,52.27299881
23.53,551210,5044800,44.24599838
23.53,551210,5044800,36.21900177
23.53,551210,5044800,28.19199944
23.53,551210,5044800,20.16500092
23.53,551210,5044800,12.13799953
23.53,551210,5044800,4.111000061
23.53,551210,5044800,-3.915999889
23.53,551210,5044800,-11.94299984
23.53,551210,5044800,-19.96999931
23.53,551210,5044800,-27.99699974
23.53,551210,5044800,-36.02399826
23.53,551210,5044800,-44.05099869
23.53,551210,5044800,-52.07799911
23.53,551210,5044800,-60.10499954
23.53,551210,5044800,-68.13200378
23.53,551210,5044800,-76.15899658
23.53,551210,5044800,-84.18599701
23.53,551210,5044800,-92.21299744
23.53,551210,5044800,-100.2399979
23.53,551210,5044800,-108.2669983
23.53,551210,5044800,-116.2939987
23.53,551210,5044800,-124.3209991
23.53,551210,5044800,-132.3480072
23.53,551210,5044800,-140.375
23.53,551210,5044800,-148.4019928
23.53,551210,5044800,-156.4290009
27.23,551210,5044800,-164.4559937
27.23,551210,5044800,-172.4830017
27.23,551210,5044800,-180.5099945
27.23,551210,5044800,-188.5370026
27.23,551210,5044800,-196.5639954
27.23,551210,5044800,-204.5910034
27.23,551210,5044800,-212.6179962
27.23,551210,5044800,-220.6450043
27.23,551210,5044800,-228.6719971
27.23,551210,5044800,-236.6990051
27.23,551210,5044800,-244.7259979
27.23,551210,5044800,-252.753006
27.23,551210,5044800,-260.7799988
27.23,551210,5044800,-268.8070068
27.23,551210,5044800,-276.8340149
27.23,551210,5044800,-284.8609924
27.23,551210,5044800,-292.8880005
27.23,551210,5044800,-300.9150085
27.23,551210,5044800,-308.9419861
27.23,551210,5044800,-316.9689941
27.23,551210,5044800,-324.9960022
27.23,551210,5044800,-333.0230103
27.23,551210,5044800,-341.0499878
27.23,551210,5044800,-349.0769958
27.23,551210,5044800,-357.1040039
