Field 0,Points:0,Points:1,Points:2
23.94,477560,5014200,333.2179871
23.94,477560,5014200,325.1910095
23.94,477560,5014200,317.1640015
23.94,477560,5014200,309.1369934
23.94,477560,5014200,301.1099854
23.94,477560,5014200,293.0830078
23.94,477560,5014200,285.0559998
23.94,477560,5014200,277.0289917
23.94,477560,5014200,269.0020142
23.94,477560,5014200,260.9750061
23.94,477560,5014200,252.947998
23.94,477560,5014200,244.9210052
23.94,477560,5014200,236.8939972
23.94,477560,5014200,228.8670044
23.94,477560,5014200,220.8399963
23.94,477560,5014200,212.8130035
23.94,477560,5014200,204.7859955
23.94,477560,5014200,196.7590027
23.94,477560,5014200,188.7319946
23.94,477560,5014200,180.7050018
23.94,477560,5014200,172.6779938
23.94,477560,5014200,164.651001
23.94,477560,5014200,156.6239929
23.94,477560,5014200,148.5970001
23.94,477560,5014200,140.5700073
23.94,477560,5014200,132.5429993
23.94,477560,5014200,124.5159988
23.94,477560,5014200,116.4889984
23.94,477560,5014200,108.461998
23.94,477560,5014200,100.4349976
23.94,477560,5014200,92.40799713
23.94,477560,5014200,84.3809967
23.94,477560,5014200,76.35399628
23.94,477560,5014200,68.32700348
23.94,477560,5014200,60.29999924
23.94,477560,5014200,52.27299881
23.94,477560,5014200,44.24599838
23.94,477560,5014200,36.21900177
23.94,477560,5014200,28.19199944
23.94,477560,5014200,20.16500092
23.94,477560,5014200,12.13799953
23.94,477560,5014200,4.111000061
23.94,477560,5014200,-3.915999889
23.94,477560,5014200,-11.94299984
23.94,477560,5014200,-19.96999931
23.94,477560,5014200,-27.99699974
23.94,477560,5014200,-36.02399826
23.94,477560,5014200,-44.05099869
23.94,477560,5014200,-52.07799911
23.94,477560,5014200,-60.10499954
23.94,477560,5014200,-68.13200378
23.94,477560,5014200,-76.15899658
23.94,477560,5014200,-84.18599701
23.94,477560,5014200,-92.21299744
23.94,477560,5014200,-100.2399979
23.94,477560,5014200,-108.2669983
23.94,477560,5014200,-116.2939987
23.94,477560,5014200,-124.3209991
23.94,477560,5014200,-132.3480072
23.94,477560,5014200,-140.375
23.94,477560,5014200,-148.4019928
23.94,477560,5014200,-156.4290009
28.72,477560,5014200,-164.4559937
28.72,477560,5014200,-172.4830017
28.72,477560,5014200,-180.5099945
28.72,477560,5014200,-188.5370026
28.72,477560,5014200,-196.5639954
28.72,477560,5014200,-204.5910034
28.72,477560,5014200,-212.6179962
28.72,477560,5014200,-220.6450043
28.72,477560,5014200,-228.6719971
28.72,477560,5014200,-236.6990051
28.72,477560,5014200,-244.7259979
28.72,477560,5014200,-252.753006
28.72,477560,5014200,-260.7799988
28.72,477560,5014200,-268.8070068
28.72,477560,5014200,-276.8340149
28.72,477560,5014200,-284.8609924
28.72,477560,5014200,-292.8880005
28.72,477560,5014200,-300.9150085
28.72,477560,5014200,-308.9419861
28.72,477560,5014200,-316.9689941
28.72,477560,5014200,-324.9960022
28.72,477560,5014200,-333.0230103
28.72,477560,5014200,-341.0499878
28.72,477560,5014200,-349.0769958
28.72,477560,5014200,-357.1040039
28.72,477560,5014200,-365.131012
28.72,477560,5014200,-373.1579895
28.72,477560,5014200,-381.1849976
28.72,477560,5014200,-389.2120056
28.72,477560,5014200,-397.2390137
28.72,477560,5014200,-405.2659912
28.72,477560,5014200,-413.2929993
28.72,477560,5014200,-421.3200073
28.72,477560,5014200,-429.3469849
28.72,477560,5014200,-437.3739929
28.72,477560,5014200,-445.401001
28.72,477560,5014200,-453.428009
28.72,477560,5014200,-461.4549866
