Field 0,Points:0,Points:1,Points:2
23.31,448320,5016600,333.2179871
23.31,448320,5016600,325.1910095
23.31,448320,5016600,317.1640015
23.31,448320,5016600,309.1369934
23.31,448320,5016600,301.1099854
23.31,448320,5016600,293.0830078
23.31,448320,5016600,285.0559998
23.31,448320,5016600,277.0289917
23.31,448320,5016600,269.0020142
23.31,448320,5016600,260.9750061
23.31,448320,5016600,252.947998
23.31,448320,5016600,244.9210052
23.31,448320,5016600,236.8939972
23.31,448320,5016600,228.8670044
23.31,448320,5016600,220.8399963
23.31,448320,5016600,212.8130035
23.31,448320,5016600,204.7859955
23.31,448320,5016600,196.7590027
23.31,448320,5016600,188.7319946
23.31,448320,5016600,180.7050018
23.31,448320,5016600,172.6779938
23.31,448320,5016600,164.651001
23.31,448320,5016600,156.6239929
23.31,448320,5016600,148.5970001
23.31,448320,5016600,140.5700073
23.31,448320,5016600,132.5429993
23.31,448320,5016600,124.5159988
23.31,448320,5016600,116.4889984
23.31,448320,5016600,108.461998
23.31,448320,5016600,100.4349976
23.31,448320,5016600,92.40799713
23.31,448320,5016600,84.3809967
23.31,448320,5016600,76.35399628
23.31,448320,5016600,68.32700348
23.31,448320,5016600,60.29999924
23.31,448320,5016600,52.27299881
23.31,448320,5016600,44.24599838
23.31,448320,5016600,36.21900177
23.31,448320,5016600,28.19199944
23.31,448320,5016600,20.16500092
23.31,448320,5016600,12.13799953
23.31,448320,5016600,4.111000061
23.31,448320,5016600,-3.915999889
23.31,448320,5016600,-11.94299984
23.31,448320,5016600,-19.96999931
23.31,448320,5016600,-27.99699974
23.31,448320,5016600,-36.02399826
23.31,448320,5016600,-44.05099869
23.31,448320,5016600,-52.07799911
23.31,448320,5016600,-60.10499954
23.31,448320,5016600,-68.13200378
23.31,448320,5016600,-76.15899658
23.31,448320,5016600,-84.18599701
23.31,448320,5016600,-92.21299744
23.31,448320,5016600,-100.2399979
23.31,448320,5016600,-108.2669983
23.31,448320,5016600,-116.2939987
23.31,448320,5016600,-124.3209991
23.31,448320,5016600,-132.3480072
23.31,448320,5016600,-140.375
23.31,448320,5016600,-148.4019928
23.31,448320,5016600,-156.4290009
25.21,448320,5016600,-164.4559937
25.21,448320,5016600,-172.4830017
25.21,448320,5016600,-180.5099945
25.21,448320,5016600,-188.5370026
25.21,448320,5016600,-196.5639954
25.21,448320,5016600,-204.5910034
25.21,448320,5016600,-212.6179962
25.21,448320,5016600,-220.6450043
25.21,448320,5016600,-228.6719971
25.21,448320,5016600,-236.6990051
25.21,448320,5016600,-244.7259979
25.21,448320,5016600,-252.753006
25.21,448320,5016600,-260.7799988
25.21,448320,5016600,-268.8070068
25.21,448320,5016600,-276.8340149
25.21,448320,5016600,-284.8609924
25.21,448320,5016600,-292.8880005
25.21,448320,5016600,-300.9150085
25.21,448320,5016600,-308.9419861
25.21,448320,5016600,-316.9689941
25.21,448320,5016600,-324.9960022
25.21,448320,5016600,-333.0230103
25.21,448320,5016600,-341.0499878
25.21,448320,5016600,-349.0769958
25.21,448320,5016600,-357.1040039
25.21,448320,5016600,-365.131012
25.21,448320,5016600,-373.1579895
25.21,448320,5016600,-381.1849976
25.21,448320,5016600,-389.2120056
25.21,448320,5016600,-397.2390137
25.21,448320,5016600,-405.2659912
25.21,448320,5016600,-413.2929993
25.21,448320,5016600,-421.3200073
25.21,448320,5016600,-429.3469849
25.21,448320,5016600,-437.3739929
25.21,448320,5016600,-445.401001
25.21,448320,5016600,-453.428009
25.21,448320,5016600,-461.4549866
25.21,448320,5016600,-469.4819946
25.21,448320,5016600,-477.5090027
25.21,448320,5016600,-485.5360107
25.21,448320,5016600,-493.5629883
25.21,448320,5016600,-501.5899963
