Field 0,Points:0,Points:1,Points:2
67.81,517630,5000600,-164.4559937
67.81,517630,5000600,-172.4830017
67.81,517630,5000600,-180.5099945
67.81,517630,5000600,-188.5370026
67.81,517630,5000600,-196.5639954
67.81,517630,5000600,-204.5910034
67.81,517630,5000600,-212.6179962
67.81,517630,5000600,-220.6450043
67.81,517630,5000600,-228.6719971
67.81,517630,5000600,-236.6990051
67.81,517630,5000600,-244.7259979
67.81,517630,5000600,-252.753006
67.81,517630,5000600,-260.7799988
67.81,517630,5000600,-268.8070068
67.81,517630,5000600,-276.8340149
67.81,517630,5000600,-284.8609924
67.81,517630,5000600,-292.8880005
67.81,517630,5000600,-300.9150085
67.81,517630,5000600,-308.9419861
67.81,517630,5000600,-316.9689941
67.81,517630,5000600,-324.9960022
67.81,517630,5000600,-333.0230103
67.81,517630,5000600,-341.0499878
67.81,517630,5000600,-349.0769958
67.81,517630,5000600,-357.1040039
67.81,517630,5000600,-365.131012
67.81,517630,5000600,-373.1579895
67.81,517630,5000600,-381.1849976
67.81,517630,5000600,-389.2120056
67.81,517630,5000600,-397.2390137
67.81,517630,5000600,-405.2659912
67.81,517630,5000600,-413.2929993
67.81,517630,5000600,-421.3200073
67.81,517630,5000600,-429.3469849
67.81,517630,5000600,-437.3739929
67.81,517630,5000600,-445.401001
67.81,517630,5000600,-453.428009
67.81,517630,5000600,-461.4549866
67.81,517630,5000600,-469.4819946
67.81,517630,5000600,-477.5090027
67.81,517630,5000600,-485.5360107
67.81,517630,5000600,-493.5629883
67.81,517630,5000600,-501.5899963
67.81,517630,5000600,-509.6170044
67.81,517630,5000600,-517.6439819
67.81,517630,5000600,-525.6710205
67.81,517630,5000600,-533.697998
67.81,517630,5000600,-541.7249756
67.81,517630,5000600,-549.7520142
67.81,517630,5000600,-557.7789917
67.81,517630,5000600,-565.8060303
67.81,517630,5000600,-573.8330078
67.81,517630,5000600,-581.8599854
67.81,517630,5000600,-589.8870239
67.81,517630,5000600,-597.9140015
67.81,517630,5000600,-605.940979
67.81,517630,5000600,-613.9680176
67.81,517630,5000600,-621.9949951
67.81,517630,5000600,-630.0219727
67.81,517630,5000600,-638.0490112
67.81,517630,5000600,-646.0759888
67.81,517630,5000600,-654.1030273
67.81,517630,5000600,-662.1300049
87.68,517630,5000600,-670.1569824
87.68,517630,5000600,-678.184021
87.68,517630,5000600,-686.2109985
87.68,517630,5000600,-694.2379761
87.68,517630,5000600,-702.2650146
87.68,517630,5000600,-710.2919922
87.68,517630,5000600,-718.3189697
87.68,517630,5000600,-726.3460083
87.68,517630,5000600,-734.3729858
87.68,517630,5000600,-742.4000244
87.68,517630,5000600,-750.427002
87.68,517630,5000600,-758.4539795
87.68,517630,5000600,-766.4810181
87.68,517630,5000600,-774.5079956
87.68,517630,5000600,-782.5349731
87.68,517630,5000600,-790.5620117
87.68,517630,5000600,-798.5889893
87.68,517630,5000600,-806.6160278
87.68,517630,5000600,-814.6430054
87.68,517630,5000600,-822.6699829
87.68,517630,5000600,-830.6970215
87.68,517630,5000600,-838.723999
87.68,517630,5000600,-846.7509766
87.68,517630,5000600,-854.7780151
87.68,517630,5000600,-862.8049927
87.68,517630,5000600,-870.8319702
87.68,517630,5000600,-878.8590088
87.68,517630,5000600,-886.8859863
87.68,517630,5000600,-894.9130249
87.68,517630,5000600,-902.9400024
87.68,517630,5000600,-910.96698
87.68,517630,5000600,-918.9940186
87.68,517630,5000600,-927.0209961
87.68,517630,5000600,-935.0479736
87.68,517630,5000600,-943.0750122
87.68,517630,5000600,-951.1019897
87.68,517630,5000600,-959.1290283
87.68,517630,5000600,-967.1560059
87.68,517630,5000600,-975.1829834
87.68,517630,5000600,-983.210022
87.68,517630,5000600,-991.2369995
87.68,517630,5000600,-999.2639771
87.68,517630,5000600,-1007.291016
87.68,517630,5000600,-1015.317993
87.68,517630,5000600,-1023.344971
87.68,517630,5000600,-1031.371948
87.68,517630,5000600,-1039.399048
87.68,517630,5000600,-1047.426025
87.68,517630,5000600,-1055.453003
87.68,517630,5000600,-1063.47998
87.68,517630,5000600,-1071.506958
87.68,517630,5000600,-1079.534058
87.68,517630,5000600,-1087.561035
87.68,517630,5000600,-1095.588013
87.68,517630,5000600,-1103.61499
87.68,517630,5000600,-1111.641968
87.68,517630,5000600,-1119.668945
87.68,517630,5000600,-1127.696045
87.68,517630,5000600,-1135.723022
87.68,517630,5000600,-1143.75
87.68,517630,5000600,-1151.776978
87.68,517630,5000600,-1159.803955
114.59,517630,5000600,-1167.831055
114.59,517630,5000600,-1175.858032
114.59,517630,5000600,-1183.88501
114.59,517630,5000600,-1191.911987
114.59,517630,5000600,-1199.938965
114.59,517630,5000600,-1207.965942
114.59,517630,5000600,-1215.993042
114.59,517630,5000600,-1224.02002
114.59,517630,5000600,-1232.046997
114.59,517630,5000600,-1240.073975
114.59,517630,5000600,-1248.100952
114.59,517630,5000600,-1256.128052
114.59,517630,5000600,-1264.155029
114.59,517630,5000600,-1272.182007
114.59,517630,5000600,-1280.208984
114.59,517630,5000600,-1288.235962
114.59,517630,5000600,-1296.262939
114.59,517630,5000600,-1304.290039
114.59,517630,5000600,-1312.317017
114.59,517630,5000600,-1320.343994
114.59,517630,5000600,-1328.370972
114.59,517630,5000600,-1336.397949
114.59,517630,5000600,-1344.425049
114.59,517630,5000600,-1352.452026
114.59,517630,5000600,-1360.479004
114.59,517630,5000600,-1368.505981
114.59,517630,5000600,-1376.532959
114.59,517630,5000600,-1384.560059
114.59,517630,5000600,-1392.587036
114.59,517630,5000600,-1400.614014
114.59,517630,5000600,-1408.640991
114.59,517630,5000600,-1416.667969
114.59,517630,5000600,-1424.694946
114.59,517630,5000600,-1432.722046
114.59,517630,5000600,-1440.749023
114.59,517630,5000600,-1448.776001
114.59,517630,5000600,-1456.802979
114.59,517630,5000600,-1464.829956
114.59,517630,5000600,-1472.857056
114.59,517630,5000600,-1480.884033
114.59,517630,5000600,-1488.911011
114.59,517630,5000600,-1496.937988
114.59,517630,5000600,-1504.964966
114.59,517630,5000600,-1512.991943
114.59,517630,5000600,-1521.019043
114.59,517630,5000600,-1529.046021
114.59,517630,5000600,-1537.072998
114.59,517630,5000600,-1545.099976
114.59,517630,5000600,-1553.126953
114.59,517630,5000600,-1561.154053
114.59,517630,5000600,-1569.18103
114.59,517630,5000600,-1577.208008
114.59,517630,5000600,-1585.234985
114.59,517630,5000600,-1593.261963
114.59,517630,5000600,-1601.28894
114.59,517630,5000600,-1609.31604
114.59,517630,5000600,-1617.343018
114.59,517630,5000600,-1625.369995
114.59,517630,5000600,-1633.396973
114.59,517630,5000600,-1641.42395
114.59,517630,5000600,-1649.45105
114.59,517630,5000600,-1657.478027
144.79,517630,5000600,-1665.505005
144.79,517630,5000600,-1673.531982
144.79,517630,5000600,-1681.55896
144.79,517630,5000600,-1689.58606
144.79,517630,5000600,-1697.613037
144.79,517630,5000600,-1705.640015
144.79,517630,5000600,-1713.666992
144.79,517630,5000600,-1721.69397
