LAT,LONG,ELEV,T_SUP
45.6606,9.9062,248,11.01
45.4417,9.5445,95,11.93
45.5403,8.7635,175,11.45
45.6018,9.9922,244,11.04
45.4858,9.5612,106,11.86
45.5024,9.5659,113,11.82
44.7839,7.785,300,10.70
45.0022,9.8147,58,12.15
45.4469,9.5124,96,11.92
44.7522,7.5529,260,10.94
44.9188,10.4736,25,12.35
45.5243,8.7671,167,11.50
45.2811,8.7137,113,11.82
44.8192,10.6075,25,12.35
45.075,9.4155,71,12.07
44.7061,7.5987,279,10.83
44.9643,8.2248,136,11.68
44.7642,9.2362,665,8.51
44.45,9.9167,942,6.85
44.8856,9.6143,300,10.70
45.3083,8.3143,146,11.62
45.4526,8.7884,140,11.66
45.4842,8.7344,152,11.59
45.3393,9.021,104,11.88
45.36,9.0556,107,11.86
45.3008,8.3409,137,11.68
45.1056,7.8907,308,10.65
44.875,8.9891,257,10.96
44.8897,9.0251,345,10.43
45.1583,9.2243,67,12.10
44.994,10.0855,28,12.33
44.6542,10.5948,95,11.93
44.671,10.6408,61,12.13
44.9875,10.0257,52,12.19
45.7751,9.4412,199,11.31
45.7436,8.6133,338,10.47
45.5362,9.9487,142,11.65
45.4915,9.8337,116,11.80
45.3143,9.6879,74,12.06
45.3038,9.1309,94,11.94
45.2392,7.8021,212,11.23
45.2185,9.3821,79,12.03
45.249,8.413,125,11.75
45.1564,9.3923,63,12.12
45.3822,9.7926,76,12.04
45.1825,8.4103,115,11.81
45.1029,8.6577,101,11.89
45.4971,9.658,110,11.84
45.2293,9.1931,83,12.00
44.6712,10.2148,236,11.08
44.6996,10.1518,231,11.12
44.6835,10.2118,212,11.23
44.5972,10.3366,433,9.90
44.6222,10.4123,161,11.53
44.6365,10.1753,305,10.67
44.6289,10.2708,250,11.00
45.2875,10.1362,54,12.18
45.3231,10.1539,63,12.12
45.3219,10.0582,64,12.11
45.1867,9.9701,51,12.19
45.521,8.8404,167,11.50
45.5588,9.3659,152,11.59
45.2671,9.0697,86,11.98
44.8078,9.99,284,10.80
44.9693,9.9004,57,12.16
45.0399,10.0384,36,12.28
45.3968,8.0555,300,10.70
45.4684,8.1616,226,11.14
45.555,8.4765,199,11.31
44.4931,10.6273,317,10.60
44.5794,10.6573,130,11.72
45.2289,10.6464,32,12.31
45.4694,10.2498,114,11.82
44.3652,10.5136,771,7.87
45.3747,10.2993,73,12.06
45.4888,9.0837,137,11.68
45.5553,9.1465,156,11.56
45.1294,10.2633,36,12.28
45.0162,9.1039,85,11.99
45.296,9.9936,50,12.20
45.4142,9.4654,82,12.01
45.4478,9.9512,98,11.91
45.4073,9.758,85,11.99
45.4961,9.3411,126,11.75
45.2876,9.4749,78,12.03
45.1658,9.824,41,12.25
44.7636,8.8164,188,11.37
45.2203,8.3368,135,11.69
45.4993,9.5643,112,11.83
45.5547,9.6561,138,11.67
45.2744,9.5218,75,12.05
45.2626,9.5848,70,12.08
