"id_r";"lon_r";"lat_r";"EH"
"122591991155";12.254837;43.621155;NA
"122669935048";12.262612;43.815048;NA
"122939410057";12.289552;43.890057;NA
"123369918107";12.332614;43.778107;NA
"123391954768";12.334831;43.644768;NA
"123449960575";12.340618;43.780575;NA
"123558515045";12.3515;43.515045;NA
"123603115919";12.35596;43.515919;NA
"123613658640";12.35699;43.75864;NA
"124142005047";12.409834;43.665047;NA
"124145886889";12.410222;43.666889;NA
"124347512126";12.430395;43.562126;NA
"124689017809";12.464517;43.847809;NA
"124980908938";12.493713;43.778938;NA
"125195686731";12.51521;43.586731;NA
"125258605878";12.521494;43.665878;NA
"125332863831";12.528898;43.883831;NA
"125572421711";12.552891;43.511711;NA
"126231164472";12.618737;43.794472;NA
"126261345331";12.621783;43.515331;NA
"126308399212";12.626493;43.469212;NA
"126412333278";12.636861;43.723278;NA
"126448727068";12.640526;43.467068;NA
"126522425048";12.647888;43.545048;NA
"126631006490";12.65876;43.40649;NA
"126888628277";12.6845;43.628277;NA
"126963077711";12.69196;43.477711;NA
"127115781498";12.7072;43.781498;NA
"127307641085";12.726417;43.471085;NA
"127308448651";12.726498;43.468651;NA
"127378076997";12.73343;43.776997;NA
"127630718101";12.758709;43.628101;NA
"127686099812";12.764225;43.849812;NA
"127912891849";12.786904;43.851849;NA
"128028374527";12.798468;43.694527;NA
"128286090402";12.824278;43.310402;NA
"128484188672";12.844062;43.568672;NA
"128574865875";12.853168;43.185875;NA
"128606894988";12.856347;43.424988;NA
"128627773376";12.858434;43.433376;NA
"128737790610";12.86939;43.89061;NA
"128991219886";12.894738;43.839886;NA
"129021007555";12.89771;43.907555;NA
"129047364057";12.900417;43.194057;NA
"129083670273";12.904034;43.330273;NA
"129088073750";12.904464;43.43375;NA
"129218030556";12.9175;43.030556;NA
"129410347452";12.936685;43.497452;NA
"129476413132";12.943316;43.253132;NA
"129546997813";12.950388;43.117813;NA
"129571519808";12.95284;43.119808;NA
"129576935000";12.953333;43.605;NA
"129591383364";12.954831;43.073364;NA
"129719322669";12.967556;43.762669;NA
"129736137499";12.96924;43.737499;NA
"129750589035";12.970743;43.159035;NA
"129776491114";12.973331;43.181114;NA
"129846696441";12.980329;43.406441;NA
"129899787814";12.985661;43.177814;NA
"129984503742";12.994152;42.983742;NA
"130044121425";13.000113;42.991425;NA
"130058078369";13.0015;43.078369;NA
"130087587589";13.00445;43.087589;NA
"130189314974";13.014565;43.664974;NA
"130334330269";13.029075;43.580269;NA
"130460408660";13.041702;43.38866;NA
"130507450507";13.046379;43.660507;NA
"130581786328";13.053796;43.826328;NA
"130722890064";13.067975;43.140064;NA
"130891417255";13.084836;43.057255;NA
"130912102571";13.086903;43.072571;NA
"131029256182";13.098633;42.926182;NA
"131302406212";13.125891;43.496212;NA
"131336118383";13.129262;43.498383;NA
"131424404469";13.13815;42.904469;NA
"131467943638";13.1425;42.943638;NA
"131602954702";13.155992;43.034702;NA
"131693652659";13.164999;43.662659;NA
"131700876211";13.165799;42.886211;NA
"131705245873";13.166221;43.035873;NA
"131754279657";13.171053;43.749657;NA
"131928389492";13.188516;43.229492;NA
"131929425834";13.188611;43.315834;NA
"132093743444";13.205087;42.873444;NA
"132101301027";13.20576;43.701027;NA
"132307960036";13.226497;42.990036;NA
"132343251944";13.229972;43.531944;NA
"132424548480";13.238181;42.73848;NA
"132433871081";13.239088;42.991081;NA
"132446684470";13.240395;42.73447;NA
"132458686702";13.241568;43.006702;NA
"132849623368";13.280655;43.073368;NA
"132869227535";13.282602;43.207535;NA
"132932616419";13.288999;42.626419;NA
"132985600306";13.294283;42.770306;NA
"132997177809";13.29544;42.777809;NA
"132998409221";13.29552;43.209221;NA
"133005215565";13.296259;42.625565;NA
"133057983928";13.301495;43.033928;NA
"133096436690";13.305388;42.55669;NA
"133274566423";13.323167;42.896423;NA
"133303999452";13.32611;42.899452;NA
"133445558666";13.3403;42.558666;NA
"133473924166";13.343056;43.364166;NA
"133555105833";13.351167;43.435833;NA
"133556376379";13.35134;42.976379;NA
"133630077539";13.35871;42.977539;NA
"133927415643";13.388394;43.475643;NA
"134010774757";13.396768;43.094757;NA
"134108567415";13.406583;42.737415;NA
"134111205209";13.40683;42.905209;NA
"134132418318";13.408965;42.768318;NA
"134191375035";13.414821;43.165035;NA
"134230292240";13.4187;43.29224;NA
"134304577351";13.426125;43.327351;NA
"134321680038";13.427877;42.910038;NA
"134572288105";13.452868;43.608105;NA
"134724450031";13.468161;42.840031;NA
"134886093379";13.484261;43.483379;NA
"135023405857";13.498032;43.085857;NA
"135061552374";13.501806;43.492374;NA
"135127220359";13.508361;43.610359;NA
"135418149648";13.53753;42.849648;NA
"135425338210";13.53819;43.43821;NA
"135474883381";13.543148;43.403381;NA
"135543790031";13.5501;42.790031;NA
"135728734037";13.568578;42.954037;NA
"135944580944";13.590132;43.260944;NA
"135975883694";13.59325;43.383694;NA
"136029216110";13.598611;43.10611;NA
"136238935791";13.61955;43.435791;NA
"136502555967";13.645953;43.025967;NA
"136765843370";13.672242;43.42337;NA
"136835640035";13.67926;43.040035;NA
"137767292677";13.772406;43.232677;NA
"3668060150944";15.0944;36.6806;0
"3668080150945";15.0945;36.6808;NA
"3672820149927";14.9927;36.7282;NA
"3672820149930";14.993;36.7282;0
"3673330151092";15.1092;36.7333;0
"3675830146881";14.6881;36.7583;0
"3675960146760";14.676;36.7596;0
"3678560149169";14.9169;36.7856;0
"3679140119544";11.9544;36.7914;0
"3683260145288";14.5288;36.8326;0
"3683460145017";14.5017;36.8346;NA
"3683560145303";14.5303;36.8356;0
"3684220150470";15.047;36.8422;0
"3684460150567";15.0567;36.8446;NA
"3688100149010";14.901;36.881;0
"3688160149013";14.9013;36.8816;NA
"3688460150829";15.0829;36.8846;0
"3693250147100";14.71;36.9325;0
"3693330149253";14.9253;36.9333;0
"3694220145294";14.5294;36.9422;0
"3695390146759";14.6759;36.9539;0
"3697330143997";14.3997;36.9733;0
"3697350144000";14.4;36.9735;NA
"3697400147731";14.7731;36.974;NA
"3701240145935";14.5935;37.0124;0
"3701460145903";14.5903;37.0146;NA
"3702270144082";14.4082;37.0227;0
"3702970147094";14.7094;37.0297;0
"3703830150606";15.0606;37.0383;0
"3705170145906";14.5906;37.0517;0
"3705220152364";15.2364;37.0522;0
"3705300148182";14.8182;37.053;0
"3705750142989";14.2989;37.0575;NA
"3706000151576";15.1576;37.06;0
"3706040148709";14.8709;37.0604;NA
"3706040148710";14.871;37.0604;0
"3706040151583";15.1583;37.0604;NA
"3706190149003";14.9003;37.0619;0
"3706280152919";15.2919;37.0628;0.4
"3709430145609";14.5609;37.0943;NA
"3709610145595";14.5595;37.0961;0
"3710100139330";13.933;37.101;0
"3712640148458";14.8458;37.1264;0
"3712700146821";14.6821;37.127;0
"3712990141139";14.1139;37.1299;0
"3713380141128";14.1128;37.1338;NA
"3714560143964";14.3964;37.1456;0
"3715400138881";13.8881;37.154;NA
"3715510142986";14.2986;37.1551;0
"3715570138891";13.8891;37.1557;0
"3716250147494";14.7494;37.1625;0
"3716530150464";15.0464;37.1653;NA
"3718970143544";14.3544;37.1897;0.1
"3719040142896";14.2896;37.1904;NA
"3719720141769";14.1769;37.1972;NA
"3719850138427";13.8427;37.1985;NA
"3720130137612";13.7612;37.2013;0
"3720830139930";13.993;37.2083;NA
"3722220148667";14.8667;37.2222;0
"3723000145748";14.5748;37.23;0
"3723000152278";15.2278;37.23;0
"3723830136364";13.6364;37.2383;0
"3724060145186";14.5186;37.2406;0
"3724410148948";14.8948;37.2441;0
"3724860151426";15.1426;37.2486;0
"3725960147776";14.7776;37.2596;0
"3726190141033";14.1033;37.2619;NA
"3726210137217";13.7217;37.2621;NA
"3726610139189";13.9189;37.2661;0
"3727460140874";14.0874;37.2746;0
"3728130151493";15.1493;37.2813;NA
"3729070144177";14.4177;37.2907;0
"3729280149986";14.9986;37.2928;NA
"3729320143675";14.3675;37.2932;0
"3729670142128";14.2128;37.2967;0
"3730390142189";14.2189;37.3039;0
"3730470135889";13.5889;37.3047;0
"3730870137537";13.7537;37.3087;NA
"3731210149456";14.9456;37.3121;NA
"3731440139889";13.9889;37.3144;0
"3731560143658";14.3658;37.3156;NA
"3731560143789";14.3789;37.3156;0
"3731710141296";14.1296;37.3171;0
"3731880147256";14.7256;37.3188;0
"3732920144450";14.445;37.3292;0.2
"3734050149249";14.9249;37.3405;NA
"3734060139263";13.9263;37.3406;0
"3734150135496";13.5496;37.3415;0
"3734240140038";14.0038;37.3424;0
"3735050149081";14.9081;37.3505;0
"3735680137727";13.7727;37.3568;NA
"3735850137736";13.7736;37.3585;0
"3735970136455";13.6455;37.3597;0
"3735970138611";13.8611;37.3597;0
"3736670150897";15.0897;37.3667;0
"3736890145728";14.5728;37.3689;0
"3737220142812";14.2812;37.3722;0
"3738140146958";14.6958;37.3814;0
"3740550142817";14.2817;37.4055;NA
"3740690137336";13.7336;37.4069;0
"3741060143840";14.384;37.4106;0
"3741060144448";14.4448;37.4106;NA
"3741190141359";14.1359;37.4119;0
"3742860140511";14.0511;37.4286;0
"3743700132657";13.2657;37.437;NA
"3743880132666";13.2666;37.4388;0
"3743890133842";13.3842;37.4389;0
"3744180150677";15.0677;37.4418;0
"3744520145761";14.5761;37.4452;0.1
"3744890144661";14.4661;37.4489;NA
"3744920144700";14.47;37.4492;0
"3745720138775";13.8775;37.4572;NA
"3745770139822";13.9822;37.4577;0
"3746280148981";14.8981;37.4628;0
"3746690135946";13.5946;37.4669;0
"3746870142504";14.2504;37.4687;0
"3747590145354";14.5354;37.4759;0
"3748100146336";14.6336;37.481;0
"3749640140569";14.0569;37.4964;0
"3750330146469";14.6469;37.5033;0
"3750390132747";13.2747;37.5039;0
"3750470150788";15.0788;37.5047;0
"3750500141752";14.1752;37.505;0
"3751250135350";13.535;37.5125;NA
"3751290131269";13.1269;37.5129;0
"3751360138256";13.8256;37.5136;0
"3751380148541";14.8541;37.5138;NA
"3751480148553";14.8553;37.5148;0
"3751570141754";14.1754;37.5157;NA
"3752000150703";15.0703;37.52;NA
"3753370148713";14.8713;37.5337;0
"3755640145028";14.5028;37.5564;0
"3756110138307";13.8307;37.5611;NA
"3756860142683";14.2683;37.5686;0
"3757580132156";13.2156;37.5758;0
"3757580146919";14.6919;37.5758;0
"3758060134081";13.4081;37.5806;0
"3758390140978";14.0978;37.5839;NA
"3758530137550";13.755;37.5853;NA
"3758650141721";14.1721;37.5865;0
"3759020130390";13.039;37.5902;NA
"3759060140374";14.0374;37.5906;0
"3759190130397";13.0397;37.5919;0
"3759390134146";13.4146;37.5939;NA
"3759440129681";12.9681;37.5944;0
"3759550134153";13.4153;37.5955;0
"3759560149244";14.9244;37.5956;0
"3760060139135";13.9135;37.6006;0
"3760440143460";14.346;37.6044;0
"3761160135531";13.5531;37.6116;NA
"3761640150131";15.0131;37.6164;NA
"3761720134335";13.4335;37.6172;0
"3761950136077";13.6077;37.6195;NA
"3762070133082";13.3082;37.6207;0
"3762170145011";14.5011;37.6217;0
"3762170151658";15.1658;37.6217;0
"3762760130622";13.0622;37.6276;0
"3762980137578";13.7578;37.6298;0
"3763160132294";13.2294;37.6316;0
"3763190141875";14.1875;37.6319;NA
"3763210140109";14.0109;37.6321;NA
"3763220140108";14.0108;37.6322;0
"3764080136039";13.6039;37.6408;NA
"3764260150484";15.0484;37.6426;NA
"3764260150485";15.0485;37.6426;0
"3764600128523";12.8523;37.646;0
"3764620128523";12.8523;37.6462;NA
"3765080130942";13.0942;37.6508;0
"3765110144514";14.4514;37.6511;0
"3765500145283";14.5283;37.655;0
"3765720126003";12.6003;37.6572;0
"3767030136301";13.6301;37.6703;NA
"3767090135541";13.5541;37.6709;0
"3767190134681";13.4681;37.6719;0
"3767350146090";14.609;37.6735;NA
"3767810126744";12.6744;37.6781;0
"3767970138350";13.835;37.6797;NA
"3768170148150";14.815;37.6817;NA
"3768360151975";15.1975;37.6836;NA
"3768510151983";15.1983;37.6851;0
"3768670128072";12.8072;37.6867;0
"3768720134212";13.4212;37.6872;0
"3769020127513";12.7513;37.6902;NA
"3769370142621";14.2621;37.6937;0.2
"3769690151078";15.1078;37.6969;0
"3769960130222";13.0222;37.6996;0
"3769970132592";13.2592;37.6997;0
"3770430138492";13.8492;37.7043;NA
"3770600138501";13.8501;37.706;0
"3770670141144";14.1144;37.7067;NA
"3771190129428";12.9428;37.7119;0
"3771260145260";14.526;37.7126;NA
"3772220134045";13.4045;37.7222;NA
"3772290134247";13.4247;37.7229;NA
"3772890130427";13.0427;37.7289;NA
"3772890130429";13.0429;37.7289;0
"3773220151439";15.1439;37.7322;NA
"3773810131325";13.1325;37.7381;0
"3774080137451";13.7451;37.7408;NA
"3775250147853";14.7853;37.7525;NA
"3775320135929";13.5929;37.7532;0
"3775350147862";14.7862;37.7535;0
"3775530139864";13.9864;37.7553;0
"3775530144025";14.4025;37.7553;NA
"3776090140637";14.0637;37.7609;NA
"3776260137069";13.7069;37.7626;NA
"3776290144246";14.4246;37.7629;0
"3778020128795";12.8795;37.7802;0
"3778450141271";14.1271;37.7845;NA
"3778780129625";12.9625;37.7878;0
"3778910143149";14.3149;37.7891;0
"3779000146033";14.6033;37.79;NA
"3779040150346";15.0346;37.7904;0
"3779220130973";13.0973;37.7922;NA
"3779360125682";12.5682;37.7936;0
"3779760142036";14.2036;37.7976;0
"3779970148256";14.8256;37.7997;NA
