id_r;long_r;lat_r;EH
;m;m; 
V;;;R+
;;; 
id_pluv;longitude;latitude;cumulative
;;; 
"122591991155";762698.65;4835142.11;NA
"122669935048";762477.55;4856702.73;NA
"122939410057";764312.54;4865120.10;NA
"123369918107";768273.11;4852824.19;NA
"123391954768";769047.89;4838021.19;NA
"123449960575";768906.19;4853124.30;NA
"123558515045";770974.06;4823667.05;NA
"123603115919";771330.66;4823778.67;NA
"123613658640";770322.60;4850741.27;NA
"124142005047";775004.86;4840519.65;NA
"124145886889";775027.72;4840725.53;NA
"124347512126";777135.40;4829156.52;NA
"124689017809";778564.05;4861002.41;NA
"124980908938";781234.32;4853451.50;NA
"125195686731";783870.16;4832175.93;NA
"125258605878";784004.24;4840988.42;NA
"125332863831";783568.36;4865222.62;NA
"125572421711";787268.86;4823972.93;NA
"126231164472";791220.57;4855609.57;NA
"126261345331";792820.41;4824615.40;NA
"126308399212";793424.59;4819509.53;NA
"126412333278";793026.42;4847765.77;NA
"126448727068";794570.21;4819320.99;NA
"126522425048";794785.62;4828008.40;NA
"126631006490";796341.12;4812657.31;NA
"126888628277";797333.19;4837383.40;NA
"126963077711";798678.63;4820686.54;NA
"127115781498";798402.74;4854483.85;NA
"127307641085";801498.63;4820074.90;NA
"127308448651";801517.29;4819804.85;NA
"127378076997";800536.19;4854078.87;NA
"127630718101";803321.40;4837632.57;NA
"127686099812";802646.23;4862279.16;NA
"127912891849";804458.87;4862588.77;NA
"128028374527";806191.05;4845156.94;NA
"128286090402";810234.48;4802587.10;NA
"128484188672";810513.76;4831347.32;NA
"128574865875";813215.99;4788863.79;NA
"128606894988";812246.43;4815434.04;NA
"128627773376";812372.18;4816373.53;NA
"128737790610";810887.39;4867201.57;NA
"128991219886";813189.39;4861663.13;NA
"129021007555";813073.39;4869190.84;NA
"129047364057";817013.73;4789950.66;NA
"129083670273";816600.04;4805093.91;NA
"129088073750";816096.09;4816588.88;NA
"129218030556";819251.90;4771855.74;NA
"129410347452";818369.21;4823787.31;NA
"129476413132";820190.12;4796675.71;NA
"129546997813";821474.59;4781673.01;NA
"129571519808";821663.63;4781904.01;NA
"129576935000";819146.53;4835796.94;NA
"129591383364";822069.30;4776753.19;NA
"129719322669";819455.56;4853364.83;NA
"129736137499";819725.27;4850575.56;NA
"129750589035";822913.48;4786329.89;NA
"129776491114";823007.38;4788792.20;NA
"129846696441";822381.98;4813846.57;NA
"129899787814";824027.06;4788473.38;NA
"129984503742";825745.30;4766950.93;NA
"130044121425";826190.70;4767827.42;NA
"130058078369";825842.77;4777489.57;NA
"130087587589";826033.99;4778525.11;NA
"130189314974";823766.20;4842695.94;NA
"130334330269";825393.42;4833344.15;NA
"130460408660";827447.90;4812111.07;NA
"130507450507";826355.72;4842324.57;NA
"130581786328";826051.25;4860772.54;NA
"130722890064";830922.05;4784602.78;NA
"130891417255";832742.28;4775472.02;NA
"130912102571";832827.64;4777181.37;NA
"131029256182";834577.38;4760968.74;NA
"131302406212";833675.06;4824391.75;NA
"131336118383";833935.66;4824646.43;NA
"131424404469";837921.64;4758715.27;NA
"131467943638";838062.24;4763083.24;NA
"131602954702";838662.02;4773252.10;NA
"131693652659";835909.25;4843037.65;NA
"131700876211";840279.75;4756798.95;NA
"131705245873";839489.00;4773423.55;NA
"131754279657";835910.48;4852725.64;NA
"131928389492";840228.72;4795019.61;NA
"131929425834";839754.98;4804610.22;NA
"132093743444";843559.56;4755540.74;NA
"132101301027";838979.68;4847465.50;NA
"132307960036";844656.75;4768578.32;NA
"132343251944";841889.08;4828783.86;NA
"132424548480";847017.97;4740686.22;NA
"132433871081";845677.52;4768746.20;NA
"132446684470";847221.65;4740249.96;NA
"132458686702";845791.98;4770491.46;NA
"132849623368";848599.90;4778058.07;NA
"132869227535";847995.34;4792968.41;NA
"132932616419";851811.38;4728450.30;NA
"132985600306";851430.95;4744453.65;NA
"132997177809";851483.12;4745291.83;NA
"132998409221";849035.28;4793209.57;NA
"133005215565";852411.67;4728385.72;NA
"133057983928";850521.80;4773764.37;NA
"133096436690";853550.21;4720774.06;NA
"133274566423";853074.57;4758582.40;NA
"133303999452";853297.58;4758931.20;NA
"133445558666";856405.66;4721140.09;NA
"133473924166";852001.20;4810619.66;NA
"133555105833";852242.33;4818614.38;NA
"133556376379";854914.93;4767581.99;NA
"133630077539";855509.31;4767742.04;NA
"133927415643";855022.21;4823194.63;NA
"134010774757";857929.95;4780923.72;NA
"134108567415";860811.63;4741275.18;NA
"134111205209";859855.57;4759913.26;NA
"134132418318";860827.00;4744717.79;NA
"134191375035";858987.42;4788807.09;NA
"134230292240";858554.99;4802952.95;NA
"134304577351";858950.35;4806884.85;NA
"134321680038";861545.82;4760540.01;NA
"134572288105";859448.19;4838185.52;NA
"134724450031";865248.28;4752938.40;NA
"134886093379";862730.56;4824467.89;NA
"135023405857";866225.97;4780373.19;NA
"135061552374";864095.47;4825543.76;NA
"135127220359";863913.56;4838677.98;NA
"135418149648";870860.81;4754310.21;NA
"135425338210";867366.30;4819687.47;NA
"135474883381";867978.91;4815840.70;NA
"135543790031";872246.31;4747743.93;NA
"135728734037";872767.54;4766042.47;NA
"135944580944";872655.74;4800228.13;NA
"135975883694";872157.28;4813876.70;NA
"136029216110";874290.75;4783067.77;NA
"136238935791";873966.63;4819781.42;NA
"136502555967";878637.72;4774378.74;NA
"136765843370";878309.31;4818640.03;NA
"136835640035";881264.74;4776092.40;NA
"137767292677";887632.30;4797918.70;NA
"3668060150944";1044899.78;4076977.78;0.1032
"3668080150945";1044907.32;4077000.57;NA
"3672820149927";1035466.77;4081690.64;NA
"3672820149930";1035493.60;4081692.32;0.0990
"3673330151092";1045849.66;4082917.83;NA
"3675830146881";1008028.58;4083367.99;0.0964
"3675960146760";1006938.46;4083448.00;0.1011
"3678560149169";1028292.42;4087644.81;0.0985
"3679140119544";763706.37;4075994.82;0.1043
"3683260145288";993311.90;4090784.24;0.1043
"3683460145017";990879.35;4090866.32;NA
"3683560145303";993426.49;4091125.25;0.0976
"3684220150470";1039519.49;4094662.95;0.1033
"3684460150567";1040368.74;4094984.68;NA
"3688100149010";1026214.83;4098155.42;0.1049
"3688160149013";1026237.47;4098223.74;NA
"3688460150829";1042424.21;4099578.17;NA
"3693250147100";1008825.73;4102836.22;0.0995
"3693330149253";1028021.41;4104100.69;0.0974
"3694220145294";992658.02;4102961.41;0.1032
"3695390146759";1005642.74;4105031.27;0.1011
"3697330143997";980898.02;4105750.82;0.1057
"3697350144000";980923.50;4105774.55;NA
"3697400147731";1014172.78;4107786.45;NA
"3701240145935";997913.87;4111093.75;0.1032
"3701460145903";997614.42;4111321.33;NA
"3702270144082";981342.91;4111280.83;0.1020
"3702970147094";1008122.79;4113630.64;NA
"3703830150606";1039343.65;4116528.09;NA
"3705170145906";997398.17;4115443.99;0.1045
"3705220152364";1054901.03;4119088.75;0.1037
"3705300148182";1017654.32;4116808.18;NA
"3705750142989";971392.95;4114596.65;NA
"3706000151576";1047826.84;4119496.24;0.1046
"3706040148709";1022295.90;4117919.73;NA
"3706040148710";1022304.81;4117920.29;0.0992
"3706040151583";1047886.28;4119544.74;NA
"3706190149003";1024903.16;4118249.01;NA
"3706280152919";1059765.70;4120593.55;0.0976
"3709430145609";994476.16;4120020.41;NA
"3709610145595";994339.85;4120213.04;0.1012
"3710100139330";938573.74;4117670.10;0.0986
"3712640148458";1019608.36;4125113.74;0.1046
"3712700146821";1005042.94;4124293.19;NA
"3712990141139";954491.94;4121732.93;0.1042
"3713380141128";954370.73;4122160.77;NA
"3714560143964";979514.42;4124871.59;0.0971
"3715400138881";934276.13;4123348.60;NA
"3715510142986";970759.70;4125435.20;0.1028
"3715570138891";934355.27;4123541.97;0.0986
"3716250147494";1010789.44;4128598.51;0.0969
"3716530150464";1037177.22;4130557.62;NA
"3718970143544";975502.69;4129557.53;NA
"3719040142896";969740.28;4129311.04;NA
"3719720141769";959684.99;4129511.81;NA
"3719850138427";929987.80;4128082.64;NA
"3720130137612";922732.54;4128025.85;0.1042
"3720830139930";943281.98;4129865.54;NA
"3722220148667";1020806.71;4135871.75;0.1058
"3723000145748";994824.20;4135166.67;0.0999
"3723000152278";1052833.33;4138794.59;0.1047
"3723830136364";911445.95;4131583.29;0.1009
"3724060145186";989763.68;4136050.79;0.1024
"3724410148948";1023151.20;4138460.32;0.1029
"3724860151426";1045128.96;4140364.87;0.0993
"3725960147776";1012636.60;4139538.26;0.1040
