id_r;lon_r;lat_r;EH
;gradi;gradi; 
;;;R+
;;; 
id_pluv;longitude;latitude;cumulative
;;; 
122591991155;762615.36;4834945.67;NA
122669935048;762394.27;4856506.12;NA
122939410057;764229.25;4864923.42;NA
123369918107;768189.78;4852627.60;0
123391954768;768964.54;4837824.72;NA
123449960575;768822.86;4852927.71;NA
123558515045;770890.69;4823470.69;0
123603115919;771247.28;4823582.31;NA
123613658640;770239.25;4850544.69;NA
124142005047;774921.47;4840323.16;NA
124145886889;774944.33;4840529.04;0
124347512126;777051.99;4828960.12;0
124689017809;778480.64;4860805.75;0
124980908938;781150.89;4853254.89;NA
125195686731;783786.69;4831979.50;NA
125258605878;783920.78;4840791.92;0
125332863831;783484.91;4865025.92;0
125572421711;787185.36;4823776.56;0
126231164472;791137.06;4855412.95;0
126261345331;792736.86;4824419.02;NA
126308399212;793341.03;4819313.20;0.2
126412333278;792942.89;4847569.20;0
126448727068;794486.64;4819124.66;NA
126522425048;794702.06;4827812.00;0
126631006490;796257.54;4812461.02;0
126888628277;797249.62;4837186.92;0
126963077711;798595.03;4820490.19;NA
127115781498;798319.17;4854287.22;0
127307641085;801415.00;4819878.55;0
127308448651;801433.67;4819608.50;NA
127378076997;800452.60;4853882.25;NA
127630718101;803237.78;4837436.08;0
127686099812;802562.63;4862082.47;0
127912891849;804375.26;4862392.08;0
128028374527;806107.41;4844960.38;0
128286090402;810150.78;4802390.88;0
128484188672;810430.08;4831150.87;0
128574865875;813132.24;4788667.68;NA
128606894988;812162.71;4815237.72;NA
128627773376;812288.47;4816177.21;0
128737790610;810803.73;4867004.83;0
128991219886;813105.70;4861466.43;0
129021007555;812989.71;4868994.08;0
129047364057;816929.96;4789754.54;0
129083670273;816516.28;4804897.67;0
129088073750;816012.35;4816392.54;0
129218030556;819168.09;4771659.77;NA
129410347452;818285.46;4823590.92;0
129476413132;820106.33;4796479.54;0
129546997813;821390.77;4781476.96;NA
129571519808;821579.82;4781707.96;0
129576935000;819062.77;4835600.45;0
