X;Y;Z;phi
m;m;m;	
R+;R+;D;K
;;; 
Longitude;Latitude;Depth; 
;;; 
14.3;1;12;2
62.9;1;2.04;3
31.5;1;3.84;5
62.9;1;0.54;8
31.5;1;8.55;5
50;1;0.69;8
50;1;12.27;5
22.4;1;1.71;8
22.4;1;9.6;3
46.9;1;13.56;2
5.7;1;7.14;4
37;1;2.4;8
37;1;9.93;5
46.9;1;10.65;5
50;1;13.02;3
62.9;1;10.71;5
72.9;1;6.87;5
84;1;13.25;1
22.4;1;11.01;3
46.9;1;6.33;5
91.9;1;4.02;7
62.9;1;5.13;5
46.9;1;3.06;7
31.5;1;10.44;4
22.4;1;4.65;5
72.9;1;5.25;4
46.9;1;1.5;8
46.9;1;1.53;8
50;1;1.41;8
62.9;1;1.44;8
46.9;1;2.76;7
72.9;1;1.62;8
84;1;2.34;8
5.7;1;5.79;5
72.9;1;7.86;5
84;1;1.95;8
46.9;1;11.34;5
46.9;1;4.65;5
46.9;1;9.54;4
31.5;1;7.29;3
84;1;6.93;5
62.9;1;1.74;8
84;1;11.7;5
37;1;5.28;4
37;1;2.82;7
46.9;1;0.99;8
84;1;1.86;8
37;1;7.2;3
14.3;1;7.53;3
50;1;3.03;7
14.3;1;1.17;8
62.9;1;11.97;4
62.9;1;2.97;7
22.4;1;8.46;5
37;1;7.26;3
91.9;1;0.87;8
37;1;7.44;3
46.9;1;1.92;8
37;1;5.46;5
22.4;1;9.09;3
14.3;1;7.77;3
91.9;1;8.61;5
50;1;3;7
84;1;6.6;5
62.9;1;3.27;7
62.9;1;12.87;4
5.7;1;10.98;3
46.9;1;0.42;8
46.9;1;12.42;5
91.9;1;7.86;5
62.9;1;6.33;3
37;1;5.1;4
62.9;1;2.13;3
22.4;1;12.6;2
91.9;1;4.98;5
62.9;1;4.89;4
5.7;1;0.9;8
5.7;1;8.85;5
37;1;10.14;5
72.9;1;9.03;5
22.4;1;7.86;5
5.7;1;0.66;8
84;1;4.74;5
91.9;1;0.72;8
31.5;1;5.28;5
91.9;1;11.37;3
62.9;1;2.31;3
31.5;1;6.39;3
22.4;1;9.33;3
50;1;13.98;2
14.3;1;5.1;3
31.5;1;12.72;3
72.9;1;10.41;5
31.5;1;8.43;5
62.9;1;2.91;7
22.4;1;3.3;5
46.9;1;10.14;4
31.5;1;12.57;3
37;1;9.69;3
14.3;1;13.65;1
84;1;1.98;8
84;1;5.34;4
62.9;1;0.93;8
91.9;1;4.53;5
72.9;1;4.05;7
72.9;1;0.93;8
46.9;1;8.49;5
84;1;6.03;3
91.9;1;10.35;5
14.3;1;2.61;7
14.3;1;6.6;5
5.7;1;2.52;8
14.3;1;7.41;3
84;1;7.98;4
37;1;1.08;8
62.9;1;6.39;3
50;1;11.7;5
91.9;1;3.09;7
31.5;1;12.27;3
22.4;1;12.39;2
46.9;1;9.24;5
84;1;4.92;5
5.7;1;12.57;2
46.9;1;7.44;4
72.9;1;1.74;8
22.4;1;14.9;1
62.9;1;13.41;3
31.5;1;1.53;8
91.9;1;0.96;8
22.4;1;7.74;5
31.5;1;2.28;8
91.9;1;10.71;5
31.5;1;10.59;4
62.9;1;9.15;5
50;1;3.96;5
46.9;1;6.18;5
37;1;1.77;8
22.4;1;2.04;3
84;1;2.49;2
50;1;4.35;5
5.7;1;0.12;8
37;1;1.59;8
84;1;1.74;8
84;1;10.08;5
46.9;1;14.25;2
50;1;14.19;2
22.4;1;9.66;3
72.9;1;10.38;5
14.3;1;4.02;5
72.9;1;2.88;7
46.9;1;8.79;5
62.9;1;9;5
5.7;1;4.89;5
62.9;1;11.76;4
37;1;5.88;5
22.4;1;0.9;8
5.7;1;6.3;5
72.9;1;6.9;5
31.5;1;12.99;3
46.9;1;8.19;3
46.9;1;8.01;3
91.9;1;7.65;5
31.5;1;0.6;8
62.9;1;9.96;5
37;1;4.89;4
50;1;0.36;8
46.9;1;14.7;1
50;1;11.01;4
72.9;1;1.68;8
5.7;1;12.21;2
62.9;1;9.48;5
72.9;1;3.33;7
22.4;1;8.79;3
5.7;1;8.1;5
91.9;1;3.03;7
5.7;1;0;8
84;1;14.15;1
91.9;1;2.85;3
5.7;1;2.64;8
46.9;1;7.71;4
46.9;1;4.77;5
