X;Y;Z;cat;phi
5.7;-1;-0.10;1;0.44
5.7;-1;-0.30;1;0.76
5.7;-1;-0.50;1;0.57
5.7;-1;-0.70;1;0.79
5.7;-1;-0.90;1;0.33
5.7;-1;-1.10;1;0.43
5.7;-1;-1.30;1;0.58
5.7;-1;-1.50;1;0.38
5.7;-1;-1.70;1;0.46
5.7;-1;-1.90;1;0.48
5.7;-1;-2.07;2;0.46
5.7;-1;-2.10;2;0.47
5.7;-1;-2.13;2;0.40
5.7;-1;-2.16;2;0.42
5.7;-1;-2.19;2;0.43
5.7;-1;-2.22;2;0.49
5.7;-1;-2.25;2;0.49
5.7;-1;-2.28;2;0.47
5.7;-1;-2.31;2;0.47
5.7;-1;-2.34;2;0.45
5.7;-1;-2.37;2;0.41
5.7;-1;-2.40;2;0.45
5.7;-1;-2.43;2;0.40
5.7;-1;-2.46;2;0.48
5.7;-1;-2.49;2;0.45
5.7;-1;-2.55;2;0.43
5.7;-1;-2.58;2;0.40
5.7;-1;-2.61;2;0.42
5.7;-1;-2.64;2;0.41
5.7;-1;-2.67;2;0.41
5.7;-1;-2.70;2;0.48
5.7;-1;-2.73;2;0.47
5.7;-1;-2.76;2;0.42
5.7;-1;-2.79;2;0.46
5.7;-1;-2.82;2;0.43
5.7;-1;-2.85;2;0.47
5.7;-1;-2.88;2;0.44
5.7;-1;-2.91;2;0.50
5.7;-1;-2.94;2;0.47
5.7;-1;-2.97;2;0.41
5.7;-1;-3.00;2;0.48
5.7;-1;-3.03;2;0.47
5.7;-1;-3.06;2;0.44
5.7;-1;-3.09;2;0.46
5.7;-1;-3.12;2;0.46
5.7;-1;-3.15;2;0.45
5.7;-1;-3.18;2;0.43
5.7;-1;-3.21;2;0.40
5.7;-1;-3.24;2;0.43
5.7;-1;-3.27;2;0.48
5.7;-1;-3.30;2;0.46
5.7;-1;-3.33;2;0.49
5.7;-1;-3.36;2;0.43
5.7;-1;-3.39;2;0.41
5.7;-1;-3.45;3;0.41
5.7;-1;-3.48;3;0.49
5.7;-1;-3.51;3;0.44
5.7;-1;-3.54;3;0.47
5.7;-1;-3.57;3;0.46
5.7;-1;-3.60;3;0.49
5.7;-1;-3.63;3;0.43
5.7;-1;-3.66;3;0.40
5.7;-1;-3.69;3;0.47
5.7;-1;-3.72;3;0.46
5.7;-1;-3.75;3;0.48
5.7;-1;-3.78;3;0.44
5.7;-1;-3.81;3;0.41
5.7;-1;-3.84;3;0.45
5.7;-1;-3.87;3;0.48
5.7;-1;-3.90;3;0.41
5.7;-1;-3.93;3;0.48
5.7;-1;-3.96;3;0.49
5.7;-1;-3.99;3;0.45
5.7;-1;-4.02;3;0.48
5.7;-1;-4.05;3;0.42
5.7;-1;-4.08;3;0.41
5.7;-1;-4.11;3;0.46
5.7;-1;-4.14;3;0.41
5.7;-1;-4.17;3;0.42
5.7;-1;-4.20;3;0.48
5.7;-1;-4.23;3;0.41
5.7;-1;-4.29;4;0.41
5.7;-1;-4.32;4;0.43
5.7;-1;-4.35;4;0.42
5.7;-1;-4.38;4;0.47
5.7;-1;-4.41;4;0.46
5.7;-1;-4.44;4;0.45
5.7;-1;-4.47;4;0.41
5.7;-1;-4.50;4;0.43
5.7;-1;-4.53;4;0.45
5.7;-1;-4.59;4;0.42
5.7;-1;-4.62;4;0.45
5.7;-1;-4.65;4;0.48
5.7;-1;-4.68;4;0.49
5.7;-1;-4.71;4;0.50
5.7;-1;-4.74;4;0.49
5.7;-1;-4.77;4;0.41
5.7;-1;-4.80;4;0.47
5.7;-1;-4.83;4;0.46
5.7;-1;-4.86;4;0.45
5.7;-1;-4.89;4;0.46
5.7;-1;-4.92;4;0.42
