E;N;H;P
m;m;m;°
R+;R+;AR+;R+
;;;;
Easting;Northing;Quota;SoilPhi
;;;;
1413574.6;4879232.0;0;26.74
1412678.8;4880631.7;0;26.90
1413248.9;4883157.3;0;27.30
1412970.4;4882484.8;0;27.69
1412733.2;4881358.0;0;27.77
1412883.9;4879379.8;0;27.80
1413315.1;4882108.8;0;28.11
1411406.8;4883838.3;0;28.30
1412988.6;4881823.3;0;28.56
1413409.5;4881243.2;0;28.66
1413158.4;4882657.0;0;28.89
1412660.5;4882220.5;0;29.11
1411019.0;4882883.6;0;29.43
1413243.8;4878893.5;0;29.48
1412306.4;4880071.3;0;29.82
1412387.0;4883954.4;0;29.82
1412466.4;4881803.6;0;30.07
1414174.6;4884579.7;0;30.16
1410753.0;4883266.1;0;30.45
1414116.7;4881396.5;0;30.90
