E;N;H;D
m;m;m;m
R+;R+;AR+;R+
;;;;
Easting;Northing;Quota;SoilThickness
;;;;
1424480.9955199;4879746.76768718;0;0.1
1417244.84513963;4877938.83458814;0;0.4
1417277.84618088;4878010.83569757;0;0.4
1412310.72932087;4875622.84671923;0;0.5
1405015.60401528;4880409.0381144;0;0.5
1404984.60484268;4880618.04312044;0;0.5
1406058.62218632;4880070.02530912;0;0.5
1424646.9976756;4879538.7605101;0;0.5
1424401.99787412;4880482.78555665;0;0.5
1423961.98874586;4880389.7898725;0;0.5
1416524.83716402;4879158.87222731;0;0.5
1426486.0107124;4875259.63544707;0;0.5
1426462.01011938;4875233.63522177;0;0.5
1407263.61109672;4874149.8720413;0;0.5
1412029.72251771;4875471.84667028;0;0.5
1423408.98607237;4881804.8330836;0;0.8
1409655.67104114;4875460.87477702;0;1
1424425.99404239;4879671.76679416;0;1
1411496.7136015;4875941.86370345;0;1.2
1411490.71351013;4875948.86393457;0;1.4
1430134.09928255;4878649.66460356;0;1.5
1428622.05139025;4875314.60366215;0;1.5
1414665.77980627;4875628.81868627;0;1.7
1414671.77985737;4875613.81828361;0;1.8
1421277.93829781;4880756.83723767;0;10
1427204.04810166;4879613.72685203;0;11
1413266.76954665;4879279.91697673;0;2
1423956.98780346;4880230.78635086;0;2
1416485.82681876;4877335.83245582;0;2
1426363.00778358;4875146.63476489;0;2
1428934.06885113;4877338.64832961;0;2
1416365.82433277;4877317.83383279;0;2.1
1426902.02283457;4876044.64724366;0;2.1
1405085.60392767;4880197.03290871;0;2.2
1426880.01791775;4875215.62830674;0;2.4
1428533.04979774;4875330.60542487;0;2.6
1424286.99381295;4880142.779525;0;2.8
1419912.88262435;4875104.7314551;0;3
1426804.01626557;4875175.62856018;0;3
1426324.00666703;4875074.63372306;0;3
1405273.60697997;4880110.03025372;0;3.2
1428711.05938524;4876425.62931395;0;3.3
1416201.8201892;4877147.83252984;0;3.4
1416645.8406916;4879371.87519247;0;0
1426838.01704311;4875200.62861137;0;3.6
1411298.71081896;4876213.87227177;0;4
1427196.02921524;4876189.64621482;0;4
1415085.79344813;4876504.83291889;0;4
1426709.01883187;4875982.64871527;0;4.5
1428557.04935726;4875172.60122321;0;4.5
1428815.06208562;4876551.63084763;0;4.7
1412448.75669489;4880059.94490915;0;5
1422937.97749073;4881915.84253896;0;5
1404826.59879051;4880178.03329982;0;5
1422340.95587201;4880164.80855673;0;5.8
1422277.95471754;4880179.80981562;0;7
1421356.93994839;4880779.83664783;0;8
1422305.95490293;4880108.80782236;0;9
1416462.83904119;4879744.88615911;0;9
1426982.0443328;4879716.73215287;0;9.1
1412988.40869792;4881823.36166189;0;1
1413314.64550745;4882108.88733464;0;2.4
1412732.31947002;4881357.75248772;0;2
1413410.06879012;4881243.63794674;0;2.5
1414116.25823414;4881396.08654178;0;2.1
1412306.75962732;4880071.41011276;0;1.2
1413243.7821364;4878893.14186202;0;1.8
1413574.47997585;4879231.60248303;0;2.1
1412678.54925297;4880632.1574208;0;1.3
1410753.28058441;4883266.18247463;0;1.2
1411406.18928576;4883837.48135332;0;1
1413158.19050873;4882657.37160765;0;2.6
1414174.57409975;4884579.5432113;0;1.3
1412466.62154917;4881803.88825364;0;0.5
1412660.18341484;4882220.2091013;0;1.2
1412884.2323262;4879378.73458397;0;2.2
1411018.45343886;4882883.70899674;0;0.5
1412385.78145159;4883953.99410326;0;1.9
1413249.55922609;4883156.8404624;0;4
1412970.29900031;4882483.69263436;0;3.8
1425829.25271361;4882860.75331922;0;0
1425372.53318315;4882931.730003;0;0.1
1426140.93293372;4882491.98315779;0;0.1
1427214.94106217;4882864.80088629;0;0.1
1424021.20970355;4887407.48234835;0;0.1
1430020.72106044;4886061.88951749;0;0.2
1430270.4373844;4882044.4568403;0;2
1429716.47267287;4881741.93710421;0;0.1
1431747.87863237;4881514.18949542;0;0.5
1431793.88522773;4881520.46312206;0;1.5
1431328.46446317;4882074.17995408;0;3
1431376.54719;4882054.74225599;0;4
1433016.77394128;4881726.24633025;0;1.2
1431291.79309745;4880540.69460777;0;3
