Team;point;x (m);y (m);slope;CO2 flux (g/m2 d)
Carlo (UNIPG2);D1;19;3;8,11;57,65398999999999
Carlo (UNIPG2);D2;18;3;6,36;45,21324
Carlo (UNIPG2);D3;17;3;5,83;41,44547
Carlo (UNIPG2);D4;16;3;10,95;77,84355
Carlo (UNIPG2);D5;15;3;7,81;55,52129
Carlo (UNIPG2);D6;14;3;4,88;34,691919999999996
Carlo (UNIPG2);D7;13;3;8,24;58,578160000000004
Carlo (UNIPG2);D8;12;3;4,81;34,194289999999995
Carlo (UNIPG2);D9;11;3;10,03;71,30327
Carlo (UNIPG2);D10;10;3;3,47;24,66823
Carlo (UNIPG2);D11;9;3;10,66;75,78194
Carlo (UNIPG2);D12;8;3;13,68;97,25112
Carlo (UNIPG2);D13;7;3;8,78;62,417019999999994
Carlo (UNIPG2);D14;6;3;5,9;41,9431
Carlo (UNIPG2);D15;5;3;12,7;90,2843
Carlo (UNIPG2);D16;4;3;11,6;82,4644
Carlo (UNIPG2);D17;3;3;6,72;47,77248
Carlo (UNIPG2);D18;2;3;7,9;56,161100000000005
Carlo (UNIPG2);D19;1;3;7,01;49,834089999999996
Carlo (UNIPG2);D20;0;3;6,86;48,76774
Carlo (UNIPG2);I1;19;7;6,56;46,63504
Carlo (UNIPG2);I2;18;7;9,76;69,38383999999999
Carlo (UNIPG2);I3;17;7;9,54;67,81985999999999
Carlo (UNIPG2);I4;16;7;12,8;90,99520000000001
Carlo (UNIPG2);I5;15;7;14,92;106,06628
Carlo (UNIPG2);I6;14;7;22,29;158,45961
Carlo (UNIPG2);I7;13;7;18,94;134,64446
Carlo (UNIPG2);I8;12;7;16,07;114,24163
Carlo (UNIPG2);I9;11;7;26,23;186,46907000000002
Carlo (UNIPG2);I10;10;7;16,42;116,72978
Carlo (UNIPG2);I11;9;7;17,92;127,39328000000002
Carlo (UNIPG2);I12;8;7;37,84;269,00456
Carlo (UNIPG2);I13;7;7;73,87;525,14183
Carlo (UNIPG2);I14;6;7;73,84;524,9285600000001
Carlo (UNIPG2);I15;5;7;15,12;107,48808
Carlo (UNIPG2);I16;4;7;13,8;98,1042
Carlo (UNIPG2);I17;3;7;14,07;100,02363
Carlo (UNIPG2);I18;2;7;11,57;82,25113
Carlo (UNIPG2);I19;1;7;12,3;87,4407
Carlo (UNIPG2);I20;0;7;8,43;59,928869999999996
Carlo (UNIPG2);M1;19;11;6,43;45,71087
Carlo (UNIPG2);M2;18;11;10,91;77,55919
Carlo (UNIPG2);M3;17;11;9,73;69,17057
Carlo (UNIPG2);M4;16;11;14,8;105,2132
Carlo (UNIPG2);M5;15;11;42,7;303,5543
Carlo (UNIPG2);M6;14;11;28,41;201,96669
Carlo (UNIPG2);M7;13;11;8,99;63,90991
Carlo (UNIPG2);M8;12;11;15,85;112,67765
Carlo (UNIPG2);M9;11;11;18,51;131,58759
Carlo (UNIPG2);M10;10;11;29,56;210,14203999999998
Carlo (UNIPG2);M11;9;11;75,94;539,85746
Carlo (UNIPG2);M12;8;11;35,85;254,85765
Carlo (UNIPG2);M13;7;11;26,43;187,89087
Carlo (UNIPG2);M14;6;11;20,68;147,01412
Carlo (UNIPG2);M15;5;11;25,01;177,79609000000002
Carlo (UNIPG2);M16;4;11;8,32;59,14688
Carlo (UNIPG2);M17;3;11;14,35;102,01415
Carlo (UNIPG2);M18;2;11;6,21;44,14689
Carlo (UNIPG2);M19;1;11;7,79;55,37911
Carlo (UNIPG2);M20;0;11;7,78;55,30802
Carlo (UNIPG2);P1;19;14;6,03;42,867270000000005
Carlo (UNIPG2);P2;18;14;5,77;41,01893
Carlo (UNIPG2);P3;17;14;8,25;58,64925
Carlo (UNIPG2);P4;16;14;9,79;69,59711
Carlo (UNIPG2);P5;15;14;7,21;51,25589
Carlo (UNIPG2);P6;14;14;7,81;55,52129
Carlo (UNIPG2);P7;13;14;9,01;64,05208999999999
Carlo (UNIPG2);P8;12;14;6,22;44,21798
Carlo (UNIPG2);P9;11;14;9,94;70,66346
Carlo (UNIPG2);P10;10;14;8,16;58,00944
Carlo (UNIPG2);P11;9;14;5,5;39,0995
Carlo (UNIPG2);P12;8;14;12,76;90,71084
