cat;easting;northing;symbol;na;mg;k;ca;al;fe;ti;p;mn;ba;sr;s;li;be;b;bi;sc;v;cr;co;ni;cu;zn;ga;ge;arsenico;rb;y;zr;nb;mo;ag;indium;sn;sb;te;cs;cd;se;w;au;tl;pb;u;hg;hf;ta;th;la;ce;pr;nd;sm;eu;gd;tb;dy;ho;er;tm;yb;lu
-;m;m;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
V;m;m;V;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
1;352161.75;4231322.52;S1;410;5200;8500;7900;51500;48100;540;990;859;133;29.3;5000;59.4;3.3;29;0.92;9.3;100;82;15.7;42.9;46.8;99.9;15.2;0.05;20.1;75.8;25.7;12.7;4.6;1.66;0.2;0.12;4.11;0.62;0.28;6.33;1.74;0.05;0.4;7.5;1.73;40.7;2;140;0.3;0.025;9.1;39.3;79.3;9.8;38.5;7;1.5;6.7;0.9;5.1;0.9;2.5;0.3;2.1;0.3
2;441931.18;4203256.71;S2;420;10800;2400;83700;10500;17000;170;700;422;105;139;5000;9.5;0.5;16;0.15;2.2;26;19;6.1;14.8;32.8;97.7;3.1;0.05;4.9;14.3;6.63;1.2;1;1.47;0.055;0.03;2.23;1.13;0.04;0.9;0.18;0.4;0.4;3.8;0.21;41.3;0.5;80;0.05;0.025;1.6;9;19.6;2.3;9.17;2;0.4;1.6;0.2;1.3;0.2;0.6;0.05;0.5;0.05
3;533816.55;4207848.9;S3;340;8800;2400;34200;17400;42200;110;910;904;73.9;92.5;5000;32.7;0.7;10;0.37;3;28;28;19.8;45.9;48.1;158;5.44;0.05;53.1;12.8;11.6;1.2;1;1.16;0.164;0.03;0.85;7.75;0.09;1.49;0.15;0.4;1;9.5;0.17;31.3;1;220;0.05;0.025;8.9;33.1;70.9;8.3;31.3;6.2;1.1;4.9;0.6;2.8;0.5;1.2;0.2;1.1;0.2
4;438022.98;4153279.42;S4;320;6600;3200;104000;18100;22400;190;740;529;74.1;403;5000;14.7;0.9;30;0.14;4;46;36;6.1;17.7;14.9;51.9;5.99;0.05;8.4;27.5;10.4;2;0.7;1;0.049;0.03;0.9;0.24;0.05;1.79;0.16;0.3;0.3;3.6;0.22;11.5;0.8;60;0.05;0.025;2.5;12.7;28.7;3.5;14.5;3;0.6;2.8;0.4;2.2;0.4;1;0.1;0.7;0.05
5;427235.39;4149505.65;S5;250;6100;2700;97900;13600;22000;90;480;300;53.7;281;5000;12;0.7;27;0.09;3.7;45;29;4.8;12.9;8.3;42;4.72;0.05;14.7;17.9;7.91;1;0.3;0.63;0.028;0.01;0.76;0.18;0.01;1.33;0.07;0.4;0.3;1.9;0.11;8.1;0.9;40;0.05;0.025;3.1;9.8;22.7;2.9;12.1;2.6;0.5;2.4;0.3;1.8;0.3;0.8;0.1;0.5;0.05
