X;Y;Z;cat;ID
m;m;m;; 
R;R;A;K;V
;;;; 
xcoord;ycoord;absolute_depth;category;id
;;;; 
1495938.00;4917175.00;8.52;1;1
1495938.00;4917175.00;8.02;1;1
1495938.00;4917175.00;7.52;1;1
1495938.00;4917175.00;7.07;1;1
1495938.00;4917175.00;6.57;1;1
1495938.00;4917175.00;6.22;1;1
1495938.00;4917175.00;5.72;1;1
1495938.00;4917175.00;5.02;1;1
1495938.00;4917175.00;4.52;1;1
1495938.00;4917175.00;4.02;1;1
1495938.00;4917175.00;3.52;1;1
1495938.00;4917175.00;3.02;1;1
1495938.00;4917175.00;2.52;1;1
1495938.00;4917175.00;2.02;1;1
1495938.00;4917175.00;1.52;1;1
1495938.00;4917175.00;1.22;1;1
1495938.00;4917175.00;0.72;1;1
1495938.00;4917175.00;0.22;1;1
1495938.00;4917175.00;-0.18;1;1
1495938.00;4917175.00;-0.63;1;1
1495938.00;4917175.00;-1.13;1;1
1495938.00;4917175.00;-1.63;1;1
1495938.00;4917175.00;-2.13;1;1
1495938.00;4917175.00;-2.63;1;1
1495938.00;4917175.00;-3.13;1;1
1495938.00;4917175.00;-3.63;1;1
1495938.00;4917175.00;-4.13;1;1
1495938.00;4917175.00;-4.38;1;1
1495938.00;4917175.00;-4.88;1;1
1495938.00;4917175.00;-5.38;1;1
1495938.00;4917175.00;-5.88;1;1
1495938.00;4917175.00;-6.38;1;1
1495938.00;4917175.00;-6.88;1;1
1495938.00;4917175.00;-7.38;1;1
1495938.00;4917175.00;-7.88;1;1
1495938.00;4917175.00;-8.53;1;1
1495938.00;4917175.00;-9.03;1;1
1495938.00;4917175.00;-9.53;1;1
1495938.00;4917175.00;-10.03;1;1
1495938.00;4917175.00;-10.53;1;1
1495938.00;4917175.00;-11.03;1;1
1495923.00;4920244.00;97.58;1;2
1495923.00;4920244.00;97.08;1;2
1495923.00;4920244.00;96.58;1;2
1495923.00;4920244.00;96.08;1;2
1495923.00;4920244.00;95.58;1;2
1495923.00;4920244.00;95.08;1;2
1495923.00;4920244.00;94.58;1;2
1495923.00;4920244.00;94.08;1;2
1495923.00;4920244.00;93.58;1;2
1495923.00;4920244.00;93.08;1;2
1495923.00;4920244.00;92.58;1;2
1495923.00;4920244.00;92.08;1;2
1495923.00;4920244.00;91.58;1;2
1495923.00;4920244.00;91.08;1;2
1495923.00;4920244.00;90.58;1;2
1495923.00;4920244.00;90.08;1;2
1495923.00;4920244.00;89.58;1;2
1495923.00;4920244.00;89.08;1;2
1495923.00;4920244.00;88.58;1;2
1495923.00;4920244.00;88.08;1;2
1495923.00;4920244.00;87.58;1;2
1495923.00;4920244.00;87.08;1;2
1495923.00;4920244.00;86.58;1;2
1495923.00;4920244.00;86.08;1;2
1495923.00;4920244.00;85.58;1;2
1495923.00;4920244.00;85.08;1;2
1495923.00;4920244.00;84.58;1;2
1495923.00;4920244.00;84.08;1;2
1495923.00;4920244.00;83.58;1;2
1495923.00;4920244.00;82.88;1;2
1495923.00;4920244.00;82.38;1;2
1495923.00;4920244.00;81.88;1;2
1495923.00;4920244.00;81.38;1;2
1495923.00;4920244.00;80.88;1;2
1495923.00;4920244.00;80.38;1;2
1495923.00;4920244.00;79.88;1;2
1495923.00;4920244.00;79.38;1;2
1495923.00;4920244.00;78.88;1;2
1495923.00;4920244.00;78.38;1;2
1495923.00;4920244.00;77.88;1;2
1495923.00;4920244.00;77.58;1;2
1495923.00;4920244.00;77.08;1;2
1495923.00;4920244.00;76.58;1;2
1495923.00;4920244.00;76.08;1;2
1495923.00;4920244.00;75.58;1;2
1495923.00;4920244.00;75.08;1;2
1495923.00;4920244.00;74.58;1;2
1495923.00;4920244.00;73.93;1;2
1495923.00;4920244.00;73.43;1;2
1495923.00;4920244.00;72.93;1;2
1495923.00;4920244.00;72.43;1;2
1495923.00;4920244.00;71.93;1;2
1495923.00;4920244.00;71.43;1;2
1495923.00;4920244.00;70.93;1;2
1495923.00;4920244.00;70.43;1;2
1495923.00;4920244.00;69.93;1;2
1495923.00;4920244.00;69.43;1;2
1495923.00;4920244.00;68.98;1;2
1495923.00;4920244.00;68.48;1;2
1495923.00;4920244.00;67.98;1;2
1495923.00;4920244.00;67.48;1;2
1495807.00;4920236.00;47.73;1;4
1495807.00;4920236.00;47.23;1;4
1495807.00;4920236.00;46.73;1;4
1495807.00;4920236.00;46.23;1;4
1495807.00;4920236.00;45.73;1;4
1495807.00;4920236.00;45.23;1;4
1495807.00;4920236.00;44.73;1;4
1495807.00;4920236.00;44.23;1;4
1495807.00;4920236.00;43.73;1;4
1495807.00;4920236.00;43.23;1;4
1495807.00;4920236.00;42.73;1;4
1495807.00;4920236.00;42.23;1;4
1495807.00;4920236.00;41.73;1;4
1495807.00;4920236.00;41.23;1;4
1495807.00;4920236.00;40.73;1;4
1495807.00;4920236.00;40.23;1;4
1495807.00;4920236.00;39.73;1;4
1495807.00;4920236.00;39.23;1;4
1495807.00;4920236.00;38.73;1;4
1495807.00;4920236.00;38.23;1;4
1495807.00;4920236.00;37.73;1;4
1495807.00;4920236.00;37.23;1;4
1495807.00;4920236.00;36.73;1;4
1497523.00;4920602.00;104.56;1;5
1497523.00;4920602.00;104.06;1;5
1497523.00;4920602.00;103.56;1;5
1497523.00;4920602.00;102.86;1;5
1497895.00;4917256.00;77.06;1;6
1497895.00;4917256.00;76.81;1;6
1497895.00;4917256.00;76.31;1;6
1497895.00;4917256.00;75.81;1;6
1497895.00;4917256.00;75.31;1;6
1497895.00;4917256.00;74.81;1;6
1497895.00;4917256.00;74.31;1;6
1497895.00;4917256.00;73.81;1;6
1497895.00;4917256.00;73.31;1;6
1495919.00;4917174.00;8.36;1;8
1495919.00;4917174.00;7.86;1;8
1495919.00;4917174.00;7.36;1;8
1495919.00;4917174.00;6.86;1;8
1495919.00;4917174.00;6.36;1;8
1495919.00;4917174.00;6.06;1;8
1495919.00;4917174.00;5.56;1;8
1495919.00;4917174.00;5.06;1;8
1495919.00;4917174.00;4.66;1;8
1495919.00;4917174.00;4.21;1;8
1495919.00;4917174.00;3.71;1;8
1495919.00;4917174.00;3.21;1;8
1495919.00;4917174.00;2.71;1;8
1495919.00;4917174.00;2.31;1;8
1495919.00;4917174.00;1.81;1;8
1495919.00;4917174.00;1.31;1;8
1495919.00;4917174.00;0.81;1;8
1495919.00;4917174.00;0.36;1;8
1495919.00;4917174.00;-0.24;1;8
1495919.00;4917174.00;-0.74;1;8
1495919.00;4917174.00;-1.24;1;8
1495923.00;4920244.00;97.58;1;9
1495923.00;4920244.00;97.08;1;9
1495923.00;4920244.00;96.58;1;9
1495923.00;4920244.00;96.08;1;9
1495923.00;4920244.00;95.58;1;9
1495923.00;4920244.00;95.08;1;9
1495923.00;4920244.00;94.58;1;9
1495923.00;4920244.00;94.08;1;9
1495923.00;4920244.00;93.58;1;9
1495923.00;4920244.00;93.08;1;9
1495923.00;4920244.00;92.58;1;9
1495923.00;4920244.00;92.08;1;9
1495923.00;4920244.00;91.58;1;9
1495923.00;4920244.00;91.08;1;9
1495923.00;4920244.00;90.58;1;9
1495923.00;4920244.00;90.08;1;9
1495923.00;4920244.00;89.58;1;9
1495923.00;4920244.00;89.08;1;9
1495923.00;4920244.00;88.58;1;9
1495923.00;4920244.00;88.08;1;9
1495923.00;4920244.00;87.58;1;9
1495923.00;4920244.00;87.28;1;9
1495923.00;4920244.00;86.78;1;9
1495923.00;4920244.00;86.28;1;9
1495923.00;4920244.00;85.78;1;9
1495923.00;4920244.00;85.28;1;9
1495923.00;4920244.00;84.78;1;9
1495923.00;4920244.00;84.28;1;9
1495923.00;4920244.00;83.78;1;9
1495923.00;4920244.00;83.28;1;9
1495923.00;4920244.00;82.78;1;9
1495923.00;4920244.00;82.28;1;9
1495923.00;4920244.00;81.78;1;9
1495923.00;4920244.00;81.28;1;9
1495923.00;4920244.00;80.78;1;9
1495923.00;4920244.00;80.28;1;9
1495923.00;4920244.00;79.58;1;9
1495923.00;4920244.00;79.08;1;9
1495923.00;4920244.00;78.58;1;9
1495923.00;4920244.00;78.08;1;9
1495923.00;4920244.00;77.58;1;9
1495923.00;4920244.00;77.08;1;9
1495923.00;4920244.00;76.58;1;9
1495923.00;4920244.00;76.08;1;9
1495923.00;4920244.00;75.58;1;9
1495923.00;4920244.00;75.08;1;9
1495923.00;4920244.00;74.58;1;9
1495923.00;4920244.00;74.08;1;9
1495923.00;4920244.00;73.58;1;9
1495923.00;4920244.00;73.08;1;9
1495923.00;4920244.00;72.58;1;9
1495923.00;4920244.00;72.08;1;9
1495923.00;4920244.00;71.58;1;9
1495923.00;4920244.00;71.08;1;9
1495923.00;4920244.00;70.58;1;9
1495923.00;4920244.00;70.08;1;9
1495923.00;4920244.00;69.58;1;9
1495923.00;4920244.00;69.08;1;9
1495923.00;4920244.00;68.58;1;9
1495923.00;4920244.00;68.08;1;9
1495807.00;4920236.00;47.73;1;10
1495807.00;4920236.00;47.23;1;10
1495807.00;4920236.00;46.73;1;10
1495807.00;4920236.00;46.23;1;10
1495807.00;4920236.00;45.73;1;10
1495807.00;4920236.00;45.23;1;10
1495807.00;4920236.00;44.73;1;10
1495807.00;4920236.00;44.23;1;10
1495807.00;4920236.00;43.53;1;10
1495807.00;4920236.00;43.03;1;10
1495807.00;4920236.00;42.48;1;10
1495807.00;4920236.00;41.98;1;10
1495807.00;4920236.00;41.58;1;10
1495807.00;4920236.00;41.08;1;10
1495807.00;4920236.00;40.58;1;10
1495807.00;4920236.00;40.08;1;10
1495807.00;4920236.00;39.58;1;10
1495807.00;4920236.00;39.08;1;10
1495807.00;4920236.00;38.63;1;10
1495807.00;4920236.00;38.13;1;10
1495807.00;4920236.00;37.63;1;10
1495807.00;4920236.00;37.13;1;10
1495807.00;4920236.00;36.83;1;10
1497515.00;4920602.00;103.33;1;11
1497515.00;4920602.00;102.83;1;11
1497515.00;4920602.00;102.33;1;11
1497515.00;4920602.00;101.93;1;11
1497909.00;4917263.00;77.67;1;12
1497909.00;4917263.00;77.17;1;12
1497909.00;4917263.00;76.92;1;12
1497909.00;4917263.00;76.42;1;12
1497909.00;4917263.00;76.17;1;12
1497909.00;4917263.00;75.67;1;12
1497909.00;4917263.00;75.42;1;12
1497909.00;4917263.00;74.92;1;12
1497909.00;4917263.00;74.42;1;12
1497909.00;4917263.00;73.97;1;12
1497909.00;4917263.00;73.47;1;12
1497909.00;4917263.00;72.97;1;12
1497909.00;4917263.00;71.97;1;12
1497909.00;4917263.00;71.47;1;12
1497909.00;4917263.00;70.97;1;12
1497909.00;4917263.00;70.47;1;12
1497909.00;4917263.00;69.97;1;12
1497909.00;4917263.00;69.47;1;12
1497909.00;4917263.00;69.17;1;12
1497909.00;4917263.00;68.67;1;12
1497909.00;4917263.00;68.17;1;12
1495905.00;4917172.00;18.96;1;14
1495905.00;4917172.00;18.46;1;14
1495905.00;4917172.00;17.96;1;14
1495905.00;4917172.00;17.46;1;14
1495905.00;4917172.00;16.96;1;14
1495905.00;4917172.00;16.46;1;14
1495905.00;4917172.00;15.96;1;14
1495905.00;4917172.00;15.46;1;14
1495905.00;4917172.00;14.98;1;14
1495905.00;4917172.00;14.48;1;14
1495905.00;4917172.00;13.98;1;14
1495905.00;4917172.00;13.48;1;14
1495905.00;4917172.00;12.98;1;14
1495905.00;4917172.00;12.48;1;14
1495905.00;4917172.00;11.98;1;14
1495905.00;4917172.00;11.48;1;14
1495905.00;4917172.00;10.98;1;14
1495923.00;4920244.00;97.58;1;15
1495923.00;4920244.00;97.08;1;15
1495923.00;4920244.00;96.58;1;15
1495923.00;4920244.00;96.08;1;15
1495923.00;4920244.00;95.58;1;15
1495923.00;4920244.00;95.08;1;15
1495923.00;4920244.00;94.58;1;15
1495923.00;4920244.00;94.08;1;15
1495923.00;4920244.00;93.58;1;15
1495923.00;4920244.00;93.08;1;15
1495923.00;4920244.00;92.58;1;15
1495923.00;4920244.00;92.08;1;15
1495923.00;4920244.00;91.58;1;15
1495923.00;4920244.00;91.08;1;15
1495923.00;4920244.00;90.58;1;15
1495923.00;4920244.00;90.08;1;15
1495923.00;4920244.00;89.58;1;15
1495923.00;4920244.00;89.08;1;15
1495923.00;4920244.00;88.58;1;15
1495923.00;4920244.00;88.08;1;15
1495923.00;4920244.00;87.58;1;15
