X;Y;Z;cat;ID
m;m;m;; 
R;R;A;K;V
;;;; 
xcoord;ycoord;absolute_depth;category;id_survey
;;;; 
1490833.00;4920303.00;28.77;6;7
1490833.00;4920303.00;27.37;6;7
1490833.00;4920303.00;25.97;6;7
1490833.00;4920303.00;29.37;6;7
1492825.00;4918118.00;26.12;5;35
1492825.00;4918118.00;25.12;5;35
1492825.00;4918118.00;24.12;5;35
1492825.00;4918118.00;23.12;5;35
1492825.00;4918118.00;22.12;5;35
1492825.00;4918118.00;31.82;4;35
1492825.00;4918118.00;30.82;4;35
1492825.00;4918118.00;29.82;4;35
1492825.00;4918118.00;28.82;4;35
1492825.00;4918118.00;27.82;4;35
1492825.00;4918118.00;26.82;4;35
1491597.00;4924349.00;56.37;6;41
1491597.00;4924349.00;55.37;6;41
1491597.00;4924349.00;54.37;6;41
1491597.00;4924349.00;53.37;6;41
1491597.00;4924349.00;52.37;6;41
1491597.00;4924349.00;51.37;6;41
1491597.00;4924349.00;50.37;6;41
1491597.00;4924349.00;49.37;6;41
1491597.00;4924349.00;48.37;6;41
1491597.00;4924349.00;47.37;6;41
1491597.00;4924349.00;46.37;6;41
1491597.00;4924349.00;61.37;4;41
1491597.00;4924349.00;60.37;4;41
1491597.00;4924349.00;59.37;4;41
1491597.00;4924349.00;58.37;4;41
1491597.00;4924349.00;57.37;4;41
1492179.00;4922551.00;32.71;6;45
1492179.00;4922551.00;31.71;6;45
1492179.00;4922551.00;30.71;6;45
1492179.00;4922551.00;29.71;6;45
1492179.00;4922551.00;28.71;6;45
1492179.00;4922551.00;27.71;6;45
1492179.00;4922551.00;26.71;6;45
1492179.00;4922551.00;25.71;6;45
1492179.00;4922551.00;24.71;6;45
1492179.00;4922551.00;23.71;6;45
1492179.00;4922551.00;35.91;6;45
1492179.00;4922551.00;38.11;6;45
1492179.00;4922551.00;37.11;6;45
1492179.00;4922551.00;38.71;6;45
1492179.00;4922551.00;34.71;6;45
1492179.00;4922551.00;33.71;6;45
1490371.00;4918394.00;5.76;6;47
1490371.00;4918394.00;4.76;6;47
1490371.00;4918394.00;4.26;6;47
1490371.00;4918394.00;3.26;6;47
1490371.00;4918394.00;2.26;6;47
1490371.00;4918394.00;1.26;6;47
1490371.00;4918394.00;0.26;6;47
1490371.00;4918394.00;-0.74;6;47
1490371.00;4918394.00;-1.74;6;47
1490371.00;4918394.00;8.26;4;47
1490371.00;4918394.00;7.26;4;47
1490371.00;4918394.00;6.26;4;47
1491648.00;4924444.00;63.95;5;51
1491648.00;4924444.00;62.95;5;51
1491648.00;4924444.00;61.95;5;51
1491648.00;4924444.00;60.45;5;51
1491648.00;4924444.00;59.45;5;51
1491648.00;4924444.00;58.45;5;51
1491648.00;4924444.00;57.95;5;51
1491648.00;4924444.00;56.95;5;51
1491648.00;4924444.00;55.95;5;51
1491648.00;4924444.00;54.95;5;51
1491648.00;4924444.00;53.95;5;51
1491648.00;4924444.00;52.95;5;51
1491648.00;4924444.00;65.95;6;51
1491648.00;4924444.00;64.95;6;51
1491648.00;4924444.00;66.45;6;51
1491936.00;4922718.00;27.10;6;56
1491936.00;4922718.00;26.10;6;56
1491936.00;4922718.00;25.10;6;56
1491936.00;4922718.00;24.10;6;56
1491936.00;4922718.00;30.10;6;56
1491936.00;4922718.00;29.10;6;56
1491864.00;4922666.00;28.62;6;59
1491864.00;4922666.00;27.62;6;59
1491864.00;4922666.00;26.62;6;59
1491864.00;4922666.00;25.62;6;59
1491864.00;4922666.00;24.62;6;59
1491864.00;4922666.00;29.62;6;59
1491864.00;4922666.00;35.02;4;59
1491864.00;4922666.00;34.02;4;59
1491864.00;4922666.00;33.02;4;59
1491864.00;4922666.00;32.02;4;59
1491864.00;4922666.00;31.02;4;59
1491864.00;4922666.00;35.62;6;59
1492491.00;4923695.00;34.11;5;60
1492491.00;4923695.00;33.11;5;60
1492491.00;4923695.00;32.11;5;60
1492491.00;4923695.00;31.11;5;60
1492491.00;4923695.00;30.11;5;60
1492491.00;4923695.00;29.11;5;60
1492491.00;4923695.00;28.11;5;60
1492491.00;4923695.00;27.11;5;60
1492491.00;4923695.00;26.11;5;60
1492491.00;4923695.00;25.11;5;60
1492491.00;4923695.00;24.11;5;60
1492491.00;4923695.00;23.11;5;60
1492491.00;4923695.00;22.11;5;60
1492491.00;4923695.00;21.11;5;60
1492491.00;4923695.00;20.11;5;60
1492491.00;4923695.00;48.71;6;60
1492491.00;4923695.00;47.71;6;60
1492491.00;4923695.00;46.71;6;60
1492491.00;4923695.00;45.71;6;60
1492491.00;4923695.00;44.71;6;60
1492491.00;4923695.00;43.71;6;60
1492491.00;4923695.00;42.71;6;60
1492491.00;4923695.00;41.71;6;60
1492491.00;4923695.00;40.71;6;60
1492491.00;4923695.00;39.71;6;60
1492491.00;4923695.00;38.71;6;60
1492491.00;4923695.00;37.71;6;60
1492491.00;4923695.00;36.71;6;60
1492491.00;4923695.00;35.71;6;60
1492491.00;4923695.00;34.71;6;60
1492491.00;4923695.00;52.11;4;60
1492491.00;4923695.00;51.11;4;60
1492491.00;4923695.00;50.11;4;60
1491910.00;4923508.00;28.26;6;65
1491910.00;4923508.00;27.26;6;65
1491910.00;4923508.00;26.26;6;65
1491910.00;4923508.00;25.26;6;65
1491910.00;4923508.00;24.26;6;65
1491910.00;4923508.00;23.26;6;65
1491910.00;4923508.00;22.26;6;65
1491910.00;4923508.00;21.26;6;65
1491910.00;4923508.00;20.26;6;65
1491910.00;4923508.00;19.26;6;65
1491910.00;4923508.00;18.26;6;65
1491910.00;4923508.00;17.26;6;65
1491910.00;4923508.00;16.26;6;65
1491910.00;4923508.00;15.26;6;65
1491910.00;4923508.00;14.26;6;65
1491910.00;4923508.00;13.26;6;65
1491910.00;4923508.00;12.26;6;65
1491910.00;4923508.00;11.26;6;65
1491910.00;4923508.00;45.01;6;65
1491910.00;4923508.00;44.01;6;65
1491910.00;4923508.00;43.01;6;65
1491910.00;4923508.00;42.01;6;65
1491910.00;4923508.00;41.01;6;65
1491910.00;4923508.00;40.01;6;65
1491910.00;4923508.00;39.01;6;65
1491910.00;4923508.00;38.01;6;65
1491910.00;4923508.00;37.01;6;65
1491910.00;4923508.00;36.01;6;65
1491910.00;4923508.00;35.01;6;65
1491910.00;4923508.00;34.01;6;65
1491910.00;4923508.00;33.01;6;65
1491910.00;4923508.00;32.01;6;65
1491910.00;4923508.00;31.01;6;65
1491910.00;4923508.00;30.01;6;65
1491910.00;4923508.00;29.01;6;65
1491480.00;4924340.00;51.68;5;72
1491480.00;4924340.00;50.58;5;72
1491480.00;4924340.00;49.58;5;72
1491480.00;4924340.00;48.58;5;72
1491480.00;4924340.00;60.48;6;72
1491480.00;4924340.00;59.48;6;72
1491480.00;4924340.00;61.58;6;72
1491480.00;4924340.00;58.68;6;72
1491480.00;4924340.00;57.68;6;72
1491480.00;4924340.00;56.68;6;72
1491480.00;4924340.00;55.78;6;72
1491480.00;4924340.00;54.78;6;72
1491480.00;4924340.00;53.78;6;72
1491480.00;4924340.00;52.78;6;72
1491484.00;4921386.00;24.48;6;73
1491484.00;4921386.00;23.48;6;73
1491484.00;4921386.00;26.18;4;73
1491484.00;4921386.00;25.18;4;73
1491912.00;4926098.00;72.27;6;97
1491912.00;4926098.00;74.27;6;97
1491912.00;4926098.00;73.27;6;97
1491912.00;4926098.00;75.07;4;97
1491211.00;4918032.00;-3.99;6;105
1491211.00;4918032.00;-4.99;6;105
1491211.00;4918032.00;-9.99;6;105
1491211.00;4918032.00;4.21;6;105
1491211.00;4918032.00;3.21;6;105
1491211.00;4918032.00;2.21;6;105
1491211.00;4918032.00;1.21;6;105
1491211.00;4918032.00;6.01;4;105
1491211.00;4918032.00;5.01;4;105
1491211.00;4918032.00;0.01;6;105
1491211.00;4918032.00;-0.99;6;105
1491211.00;4918032.00;-1.99;6;105
1491211.00;4918032.00;-2.99;6;105
1491211.00;4918032.00;-5.99;6;105
1491211.00;4918032.00;-6.99;6;105
1491211.00;4918032.00;-7.99;6;105
1491211.00;4918032.00;-8.99;6;105
1491211.00;4918032.00;-10.99;6;105
1491211.00;4918032.00;-11.99;6;105
1491211.00;4918032.00;-12.99;6;105
1492011.00;4922458.00;32.45;6;806
1492011.00;4922458.00;31.45;6;806
1492011.00;4922458.00;30.45;6;806
1492011.00;4922458.00;35.45;6;806
1492011.00;4922458.00;34.45;6;806
1492011.00;4922458.00;33.45;6;806
1492011.00;4922458.00;37.45;6;806
1492011.00;4922458.00;36.45;6;806
1492081.00;4917441.00;3.86;6;815
1492081.00;4917441.00;2.86;6;815
1492081.00;4917441.00;-0.14;6;815
1492081.00;4917441.00;-1.14;6;815
1492081.00;4917441.00;-2.14;6;815
1492081.00;4917441.00;-3.14;6;815
1492081.00;4917441.00;-4.14;6;815
1492081.00;4917441.00;-5.14;6;815
1492081.00;4917441.00;-6.14;6;815
1492081.00;4917441.00;-7.14;6;815
1492081.00;4917441.00;1.86;6;815
1492081.00;4917441.00;0.86;6;815
1492081.00;4917441.00;5.86;4;815
1492081.00;4917441.00;4.86;4;815
1492081.00;4917441.00;7.86;4;815
1492081.00;4917441.00;6.86;4;815
1492129.00;4924261.00;52.46;6;820
1492129.00;4924261.00;51.46;6;820
1492129.00;4924261.00;50.46;6;820
1492129.00;4924261.00;49.46;6;820
1492129.00;4924261.00;54.06;6;820
1492129.00;4924261.00;53.06;6;820
1492129.00;4924261.00;58.46;6;820
1492129.00;4924261.00;57.46;6;820
1492129.00;4924261.00;56.46;6;820
1492129.00;4924261.00;55.96;6;820
1492129.00;4924261.00;54.96;6;820
1492129.00;4924261.00;59.96;4;820
1492129.00;4924261.00;58.96;4;820
1491911.00;4923618.00;42.92;6;822
1491911.00;4923618.00;41.92;6;822
1491911.00;4923618.00;47.92;4;822
1491911.00;4923618.00;46.92;4;822
1491911.00;4923618.00;45.92;4;822
1491911.00;4923618.00;44.92;4;822
1491911.00;4923618.00;43.92;4;822
1491043.00;4918234.00;-3.75;6;825
1491043.00;4918234.00;-4.75;6;825
1491043.00;4918234.00;-5.75;6;825
1491043.00;4918234.00;-6.75;6;825
1491043.00;4918234.00;-7.75;6;825
1491043.00;4918234.00;-8.75;6;825
1491043.00;4918234.00;-1.35;6;825
1491043.00;4918234.00;-2.35;6;825
1491043.00;4918234.00;1.45;6;825
1491043.00;4918234.00;0.45;6;825
1491043.00;4918234.00;-0.55;6;825
1491043.00;4918234.00;4.95;4;825
1491043.00;4918234.00;3.95;4;825
1491043.00;4918234.00;2.95;4;825
1491788.00;4917776.00;35.86;5;827
1491788.00;4917776.00;34.86;5;827
1491788.00;4917776.00;37.86;6;827
1491788.00;4917776.00;36.86;6;827
1491788.00;4917776.00;40.86;4;827
1491788.00;4917776.00;33.86;3;827
1491788.00;4917776.00;32.86;3;827
1491788.00;4917776.00;31.86;3;827
1491788.00;4917776.00;40.36;4;827
1491788.00;4917776.00;39.36;4;827
1491788.00;4917776.00;38.36;4;827
1492241.00;4927419.00;108.30;5;828
1492241.00;4927419.00;107.30;5;828
1492241.00;4927419.00;106.30;5;828
1492241.00;4927419.00;105.30;5;828
1492241.00;4927419.00;104.30;5;828
1492241.00;4927419.00;103.30;5;828
1492241.00;4927419.00;102.30;5;828
1492241.00;4927419.00;101.30;5;828
1492241.00;4927419.00;100.30;5;828
1492241.00;4927419.00;99.30;5;828
1492241.00;4927419.00;98.30;5;828
1492241.00;4927419.00;97.30;5;828
1492241.00;4927419.00;109.30;5;828
1492241.00;4927419.00;111.00;6;828
1492241.00;4927419.00;110.00;6;828
1492241.00;4927419.00;111.60;4;828
1492084.00;4917453.00;4.07;6;829
1492084.00;4917453.00;3.07;6;829
1492084.00;4917453.00;0.07;6;829
1492084.00;4917453.00;-0.93;6;829
1492084.00;4917453.00;-1.93;6;829
1492084.00;4917453.00;-2.93;6;829
1492084.00;4917453.00;-3.93;6;829
1492084.00;4917453.00;-4.93;6;829
1492084.00;4917453.00;-5.93;6;829
1492084.00;4917453.00;-6.93;6;829
1492084.00;4917453.00;2.07;6;829
1492084.00;4917453.00;1.07;6;829
1492084.00;4917453.00;6.07;4;829
1492084.00;4917453.00;5.07;4;829
1492084.00;4917453.00;8.07;4;829
1492084.00;4917453.00;7.07;4;829
1492459.00;4921169.00;32.54;6;831
