east_3003|north_3003|z
1479071.00|4920137.00|15.92000008
1479102.79|4920144.89|16.04999924
1479083.41|4920154.85|15.88000011
1491902.00|4917142.00|4.360000134
1491725.00|4917229.00|6
1491569.98|4917284.22|5.090000153
1491439.52|4917331.61|4.769999981
1491274.59|4917589.43|4.28000021
1491111.93|4917911.40|4.869999886
1491015.00|4917883.00|3.940000057
1491388.00|4917212.00|4.159999847
1491455.00|4917224.00|4.090000153
1491084.00|4917386.00|4.579999924
1491249.00|4917394.00|4.989999771
1491035.00|4918021.00|5.409999847
1490969.00|4917966.00|4.320000172
1491589.00|4919540.00|14.82999992
1491589.00|4919613.00|13.78999996
1491571.00|4919943.00|17.21999931
1491544.00|4920232.00|24.75
1491513.00|4920346.00|25.70000076
1491365.00|4920536.00|24.76000023
1491573.49|4919804.98|19.63999939
