Timestamp;T (°C);CT (°C);H (%)
2023/08/16 00:18:51;17.46;16.87;97.4
2023/08/16 00:38:51;17.43;16.87;97.6
2023/08/16 00:58:51;17.45;16.87;97.7
2023/08/16 01:18:50;17.46;16.87;97.8
2023/08/16 01:38:50;17.48;16.87;97.9
2023/08/16 01:58:50;17.51;16.87;97.8
2023/08/16 02:18:50;17.54;16.87;97.7
2023/08/16 02:38:49;17.56;16.87;97.4
2023/08/16 02:58:49;17.54;16.87;96.6
2023/08/16 03:18:49;17.56;16.87;96.2
2023/08/16 03:38:49;17.53;16.87;96.2
2023/08/16 03:58:48;17.45;16.81;96.7
2023/08/16 04:18:48;17.46;16.81;96.9
2023/08/16 04:38:48;17.43;16.81;97.4
2023/08/16 04:58:48;17.39;16.81;97.4
2023/08/16 05:18:51;17.43;16.81;97.2
2023/08/16 05:38:47;17.39;16.81;
2023/08/16 05:58:47;17.41;16.81;96.7
2023/08/16 06:18:47;17.4;16.81;96.7
2023/08/16 06:38:46;17.41;16.81;96.7
2023/08/16 06:58:46;17.44;16.81;96.8
2023/08/16 07:18:46;17.48;16.81;96.7
2023/08/16 07:38:46;17.49;16.81;96.5
2023/08/16 07:58:46;17.53;16.81;96.6
2023/08/16 08:18:45;17.56;16.87;96.6
2023/08/16 08:38:45;17.6;16.87;96.9
2023/08/16 08:58:45;17.61;16.87;97.1
2023/08/16 09:38:44;17.76;16.93;97.2
2023/08/16 09:58:44;17.95;;97.4
2023/08/16 10:18:44;18.05;17.06;97.3
2023/08/16 10:38:44;18.57;17.37;96.6
2023/08/16 10:58:43;18.95;17.5;95.7
2023/08/16 11:18:43;19.08;17.56;94.9
2023/08/16 11:38:43;19.22;17.62;93.9
2023/08/16 11:58:43;19.11;17.62;93.4
2023/08/16 12:18:42;18.7;17.43;93.7
2023/08/16 12:38:42;18.47;17.37;94.7
2023/08/16 12:58:42;18.33;17.37;95.2
2023/08/16 13:18:42;18.37;17.37;95.3
2023/08/16 13:38:42;18.37;17.37;95.2
2023/08/16 13:58:41;18.37;17.37;94.9
2023/08/16 14:18:41;18.49;17.43;94.5
2023/08/16 14:38:41;18.49;17.43;94.2
2023/08/16 14:58:41;18.52;17.43;93.8
2023/08/16 15:18:40;18.75;17.56;92.6
2023/08/16 15:38:40;19.11;17.68;
2023/08/16 15:58:40;19.32;17.81;88.1
2023/08/16 16:18:40;19.3;17.75;86.4
2023/08/16 16:38:39;19.21;17.68;87.1
2023/08/16 16:58:39;19.15;17.68;87.8
2023/08/16 17:18:39;19.26;17.81;88.2
2023/08/16 17:38:39;19.05;17.68;89.3
2023/08/16 17:58:38;18.69;17.56;91.3
2023/08/16 18:18:38;18.56;17.5;92.5
2023/08/16 18:38:38;18.45;17.5;
2023/08/16 18:58:38;18.39;17.5;93.7
2023/08/16 19:18:38;18.35;17.43;94.1
2023/08/16 19:38:37;18.31;17.43;94.4
2023/08/16 19:58:37;18.3;17.43;94.6
2023/08/16 20:18:37;18.2;17.37;95.1
2023/08/16 20:38:37;18.12;17.37;95.3
2023/08/16 20:58:36;18.04;17.31;95.9
2023/08/16 21:18:36;17.99;17.31;96.3
2023/08/16 21:38:36;17.93;17.31;96.6
2023/08/16 21:58:36;17.91;17.25;96.9
2023/08/16 22:18:36;17.84;17.25;97.1
2023/08/16 22:38:35;17.85;17.25;97.3
2023/08/16 22:58:35;17.8;17.25;97.5
2023/08/16 23:18:35;17.84;17.25;97.6
2023/08/16 23:38:34;17.83;17.18;97.7
2023/08/16 23:58:35;17.81;17.18;97.9
