Timestamp;T (°C);CT (°C);H (%)
2023/12/19 00:09:11;10.45;9.93;84.6
2023/12/19 00:29:11;10.47;9.93;84.8
2023/12/19 00:49:11;10.42;9.93;84.7
2023/12/19 01:09:11;10.45;9.93;84.8
2023/12/19 01:29:10;10.44;9.93;84.9
2023/12/19 01:49:10;10.46;9.93;84.9
2023/12/19 02:09:10;10.49;9.93;85.1
2023/12/19 02:29:10;10.49;9.93;
2023/12/19 02:49:10;10.44;9.87;84.8
2023/12/19 03:09:09;10.42;9.87;84.5
2023/12/19 03:29:09;10.4;9.87;84.7
2023/12/19 03:49:09;10.35;9.87;84.7
2023/12/19 04:09:09;10.36;9.81;84.6
2023/12/19 04:29:09;10.29;9.81;84.6
2023/12/19 04:49:08;10.35;9.81;84.6
2023/12/19 05:09:08;10.34;9.81;84.4
2023/12/19 05:29:08;10.36;9.75;84.3
2023/12/19 05:49:08;10.29;9.81;84.5
2023/12/19 06:09:07;10.32;9.81;84.6
2023/12/19 06:29:07;10.25;9.75;84.4
2023/12/19 06:49:07;10.23;9.81;84.6
2023/12/19 07:09:07;10.28;9.81;84.7
2023/12/19 07:29:07;10.32;9.81;84.8
2023/12/19 07:49:06;10.27;9.75;84.8
2023/12/19 08:09:06;10.28;9.81;
2023/12/19 08:29:06;10.35;9.81;85.5
2023/12/19 08:49:06;10.39;9.87;
2023/12/19 09:09:05;10.58;10.06;87.9
2023/12/19 09:29:05;10.69;10.12;88.8
2023/12/19 09:49:05;10.82;10.18;90.2
2023/12/19 10:09:05;10.9;10.25;91.4
2023/12/19 10:29:05;10.96;10.31;91.9
2023/12/19 10:49:04;11.02;10.31;93.2
2023/12/19 11:09:04;11.03;10.37;93.9
2023/12/19 11:29:04;11.12;10.43;94.5
2023/12/19 11:49:04;11.13;10.43;94.5
2023/12/19 12:09:04;11.17;10.43;94.7
2023/12/19 12:29:03;11.23;10.5;94.9
2023/12/19 12:49:03;11.25;10.5;
2023/12/19 13:09:03;11.27;10.5;95.2
2023/12/19 13:29:03;11.25;10.56;95.2
2023/12/19 13:49:02;11.31;10.56;95.4
2023/12/19 14:09:02;11.34;10.56;95.1
2023/12/19 14:29:02;11.34;10.62;95.1
2023/12/19 14:49:02;11.36;10.62;95.1
2023/12/19 15:09:02;11.35;10.62;95.5
2023/12/19 15:29:01;11.39;10.62;95.7
2023/12/19 15:49:01;11.4;10.62;96.3
2023/12/19 16:09:01;11.37;10.62;96.3
2023/12/19 16:29:01;11.28;10.56;95.2
2023/12/19 16:49:01;11.22;10.5;94.3
2023/12/19 17:09:00;11.15;10.43;93.2
2023/12/19 17:29:00;11.15;10.43;92.2
2023/12/19 17:49:00;11.04;10.37;91.3
2023/12/19 18:09:00;10.95;10.37;90.7
2023/12/19 18:28:59;10.97;10.37;90.3
2023/12/19 18:48:59;10.91;10.31;89.8
2023/12/19 19:08:59;10.87;10.25;89.2
2023/12/19 19:28:59;10.88;10.25;
2023/12/19 19:48:59;10.89;10.25;88.8
2023/12/19 20:08:58;10.84;10.18;88.5
2023/12/19 20:28:58;10.79;10.18;88.2
2023/12/19 20:48:58;10.78;10.18;88.1
2023/12/19 21:08:58;10.72;10.12;87.8
2023/12/19 21:28:57;10.7;10.12;87.5
2023/12/19 21:48:57;10.66;10.06;87.2
2023/12/19 22:08:57;10.66;10.06;87.4
2023/12/19 22:28:57;10.61;10.06;86.8
2023/12/19 22:48:57;10.57;;86.6
2023/12/19 23:08:57;10.6;10.06;86.7
2023/12/19 23:28:56;10.62;;86.8
2023/12/19 23:48:56;10.56;;86.6
