Timestamp;T (°C);CT (°C);H (%)
2023/12/10 00:11:33;10.99;10.31;88.9
2023/12/10 00:31:33;10.9;10.31;88.8
2023/12/10 00:51:32;10.89;10.18;88.8
2023/12/10 01:11:32;10.94;10.43;88.9
2023/12/10 01:31:32;;10.43;88.8
2023/12/10 01:51:32;11.01;10.5;88.9
2023/12/10 02:11:31;11.1;10.56;88.9
2023/12/10 02:31:31;11.19;10.62;89.1
2023/12/10 02:51:31;11.2;10.56;89.1
2023/12/10 03:11:31;11.23;10.68;89.3
2023/12/10 03:31:31;11.29;10.68;89.5
2023/12/10 03:51:30;11.34;10.75;89.9
2023/12/10 04:11:30;11.34;10.75;
2023/12/10 04:31:30;11.35;10.75;
2023/12/10 04:51:30;11.37;10.75;90.4
2023/12/10 05:11:30;11.38;10.81;
2023/12/10 05:31:29;11.39;10.81;91.5
2023/12/10 05:51:29;11.41;10.81;91.9
2023/12/10 06:11:29;11.42;10.81;92.2
2023/12/10 06:31:29;11.43;10.81;92.2
2023/12/10 06:51:28;11.42;10.87;92.4
2023/12/10 07:11:28;11.42;10.81;92.5
2023/12/10 07:31:28;11.44;10.81;92.6
2023/12/10 07:51:28;11.55;;92.8
2023/12/10 08:11:28;11.58;10.93;
2023/12/10 08:31:27;11.65;;93.2
2023/12/10 08:51:28;11.63;11.06;93.5
2023/12/10 09:11:27;11.7;11.06;93.6
2023/12/10 09:31:27;11.72;11.06;93.7
2023/12/10 09:51:26;11.77;11.18;
2023/12/10 10:11:26;11.81;11.25;
2023/12/10 10:31:26;11.85;11.25;94.2
2023/12/10 10:51:26;11.88;11.31;94.3
2023/12/10 11:11:26;11.92;11.31;94.5
2023/12/10 11:31:25;11.93;11.31;94.5
2023/12/10 11:51:25;11.94;11.31;94.7
2023/12/10 12:11:25;11.97;11.37;94.9
2023/12/10 12:31:25;11.99;11.37;
2023/12/10 12:51:24;12.05;11.5;95.4
2023/12/10 13:11:24;13.02;13.12;95.6
2023/12/10 13:31:24;13.03;11.43;
2023/12/10 13:51:24;12.2;11.12;93.7
2023/12/10 14:11:24;11.93;11.18;93.6
2023/12/10 14:31:23;11.83;11.12;93.4
2023/12/10 14:51:23;11.78;11.12;93.5
2023/12/10 15:11:23;11.72;11.06;93.6
2023/12/10 15:31:23;11.7;11.06;93.6
2023/12/10 15:51:23;11.71;11.06;93.3
2023/12/10 16:11:22;11.69;11.06;93.3
2023/12/10 16:31:22;11.7;11.06;93.1
2023/12/10 16:51:22;11.72;11.06;93.1
2023/12/10 17:11:22;11.73;11.12;93.1
2023/12/10 17:31:21;11.72;11.06;92.9
2023/12/10 17:51:21;11.68;11.06;92.9
2023/12/10 18:11:21;11.68;;92.9
2023/12/10 18:31:21;11.69;11.06;92.8
2023/12/10 18:51:21;11.67;11.06;
2023/12/10 19:11:20;11.68;11.06;93.2
2023/12/10 19:31:20;11.65;;93.2
2023/12/10 19:51:20;11.6;;
2023/12/10 20:11:20;11.65;11.06;93.2
2023/12/10 20:31:19;11.66;;93.2
2023/12/10 20:51:19;11.64;;93.2
2023/12/10 21:11:19;11.64;11.06;93.4
2023/12/10 21:31:19;11.71;11.06;93.4
2023/12/10 21:51:19;11.68;11.06;93.7
2023/12/10 22:11:18;11.66;11.06;93.7
2023/12/10 22:51:18;11.72;11.18;94.3
2023/12/10 23:11:18;11.76;11.12;94.2
2023/12/10 23:31:18;11.77;11.12;94.2
2023/12/10 23:51:17;11.76;11.12;94.1
2023/12/11 00:11:17;11.74;11.12;94.2
2023/12/11 00:31:17;11.72;11.12;94.2
2023/12/11 00:51:17;11.74;11.18;94.2
2023/12/11 01:11:16;11.74;11.06;
2023/12/11 01:51:16;11.72;11.12;93.9
