Timestamp;T (°C);CT (°C);H (%)
2023/06/10 00:17:43;14.86;14.37;99.9
2023/06/10 00:37:43;14.87;14.31;99.9
2023/06/10 00:57:43;14.85;14.31;99.9
2023/06/10 01:17:43;14.86;14.31;99.9
2023/06/10 01:37:42;14.9;14.31;99.9
2023/06/10 01:57:42;14.85;14.31;99.9
2023/06/10 02:17:42;14.82;14.31;99.9
2023/06/10 02:57:41;14.82;14.31;99.9
2023/06/10 03:17:41;14.82;14.25;99.9
2023/06/10 03:37:41;14.79;14.25;99.9
2023/06/10 03:57:41;14.78;14.25;99.9
2023/06/10 04:17:41;14.82;14.25;99.9
2023/06/10 04:37:40;14.82;14.25;99.9
2023/06/10 04:57:43;14.77;14.25;99.9
2023/06/10 05:17:40;14.77;14.25;99.9
2023/06/10 05:37:40;14.74;14.25;99.9
2023/06/10 05:57:41;14.74;14.25;99.9
2023/06/10 06:17:41;14.75;14.18;99.9
2023/06/10 06:37:39;14.78;14.25;99.9
2023/06/10 06:57:39;14.77;14.18;99.9
2023/06/10 07:17:38;14.79;14.25;99.9
2023/06/10 07:37:38;14.75;14.25;99.9
2023/06/10 07:57:38;14.73;14.25;99.9
2023/06/10 08:17:39;14.82;14.25;99.9
2023/06/10 08:37:38;14.83;14.25;99.9
2023/06/10 08:57:37;14.88;14.25;99.9
2023/06/10 09:17:37;14.88;14.25;99.9
2023/06/10 09:37:37;14.9;14.31;99.9
2023/06/10 09:57:37;14.96;14.31;99.9
2023/06/10 10:17:36;14.97;14.31;99.9
2023/06/10 10:37:36;14.98;14.31;99.9
2023/06/10 10:57:36;15.02;14.37;99.9
2023/06/10 11:17:36;15.06;14.37;99.9
2023/06/10 11:37:35;15.06;14.37;99.9
2023/06/10 12:17:35;15.11;14.37;99.9
2023/06/10 12:37:35;15.14;14.43;99.9
2023/06/10 12:57:35;15.17;14.43;99.9
2023/06/10 13:17:34;15.22;14.5;99.9
2023/06/10 13:37:34;15.27;14.5;99.9
2023/06/10 13:57:34;15.26;14.5;99.9
2023/06/10 14:17:34;15.29;14.5;99.9
2023/06/10 14:37:33;15.28;14.5;99.9
2023/06/10 14:57:33;15.25;14.5;99.9
2023/06/10 15:17:33;15.23;14.5;99.9
2023/06/10 15:37:33;15.31;14.56;99.9
2023/06/10 15:57:33;15.36;14.56;99.9
2023/06/10 16:17:33;15.36;14.56;99.9
2023/06/10 16:37:32;15.41;14.62;99.9
2023/06/10 16:57:32;15.37;14.56;99.9
2023/06/10 17:17:31;15.39;14.62;99.9
2023/06/10 17:37:31;15.36;14.62;99.9
2023/06/10 17:57:31;15.34;14.62;99.9
