Timestamp;T (°C);CT (°C);H (%)
2023/06/20 00:17:16;15.4;14.62;98.5
2023/06/20 00:37:16;15.4;14.62;98.4
2023/06/20 00:57:16;15.37;14.56;98.6
2023/06/20 01:17:15;15.33;14.56;98.5
2023/06/20 01:37:15;15.28;14.5;98.5
2023/06/20 01:57:15;15.25;14.43;98.6
2023/06/20 02:17:15;15.22;14.43;98.5
2023/06/20 02:37:14;15.18;14.5;98.5
2023/06/20 02:57:14;15.18;14.43;98.6
2023/06/20 03:17:14;15.16;14.43;98.6
2023/06/20 03:37:14;15.16;14.43;98.5
2023/06/20 03:57:14;15.14;14.37;98.6
2023/06/20 04:17:13;15.13;14.37;98.5
2023/06/20 04:37:13;15.18;14.37;98.6
2023/06/20 04:57:13;15.12;14.37;98.5
2023/06/20 05:17:13;15.1;14.37;98.5
2023/06/20 05:37:14;15.09;14.37;98.5
2023/06/20 05:57:12;15.11;14.37;98.4
2023/06/20 06:17:12;15.09;14.37;98.5
2023/06/20 06:37:12;15.12;14.37;98.5
2023/06/20 06:57:12;15.16;14.43;98.6
2023/06/20 07:17:11;15.16;14.43;98.7
2023/06/20 07:37:11;15.25;14.5;98.8
2023/06/20 07:57:11;15.33;14.56;98.9
2023/06/20 08:17:11;15.42;14.62;98.8
2023/06/20 08:37:10;15.56;14.68;98.9
2023/06/20 08:57:10;15.66;14.75;
2023/06/20 09:17:10;15.71;14.81;99.1
2023/06/20 09:37:10;15.79;14.81;99.1
2023/06/20 09:57:10;15.83;14.87;99.1
2023/06/20 10:17:09;15.94;14.93;99.2
2023/06/20 10:37:09;15.96;;98.8
2023/06/20 10:57:09;15.95;14.93;98.6
2023/06/20 11:17:09;16.01;;98.6
2023/06/20 11:37:08;16.04;;98.5
2023/06/20 11:57:08;16.07;15.06;98.7
2023/06/20 12:17:08;16.1;15.06;98.6
2023/06/20 12:37:08;16.13;15.12;98.8
2023/06/20 12:57:08;16.19;15.18;98.9
2023/06/20 13:17:07;16.28;15.18;98.9
2023/06/20 13:37:07;16.33;15.25;98.8
2023/06/20 13:57:07;16.33;15.31;98.9
2023/06/20 14:17:07;16.42;15.37;98.8
2023/06/20 14:37:06;16.49;15.43;98.9
2023/06/20 14:57:06;16.47;15.37;98.9
2023/06/20 15:17:06;16.56;15.5;
2023/06/20 15:37:06;16.64;15.56;99.1
2023/06/20 15:57:06;16.61;15.5;
2023/06/20 16:17:05;16.68;15.56;98.9
2023/06/20 16:37:05;16.63;15.56;98.6
2023/06/20 16:57:05;16.63;15.5;98.5
2023/06/20 17:17:05;16.59;15.5;98.4
2023/06/20 17:37:04;16.57;15.5;98.2
2023/06/20 17:57:04;16.5;15.43;98.1
2023/06/20 18:17:04;16.57;15.5;98.3
2023/06/20 18:37:04;16.53;15.5;98.4
2023/06/20 18:57:04;16.58;15.5;98.4
2023/06/20 19:17:03;16.55;15.5;98.8
2023/06/20 19:37:03;16.53;15.5;98.9
2023/06/20 19:57:03;16.56;15.5;99.1
2023/06/20 20:17:03;16.5;15.5;99.4
2023/06/20 20:37:03;16.5;15.5;99.3
2023/06/20 20:57:02;16.44;15.43;99.3
2023/06/20 21:17:02;16.41;15.37;99.4
2023/06/20 21:37:02;16.33;15.31;99.4
2023/06/20 21:57:02;16.3;15.31;99.5
2023/06/20 22:17:01;16.22;15.25;99.5
2023/06/20 22:37:01;16.19;15.25;99.5
2023/06/20 22:57:01;16.12;15.18;99.5
2023/06/20 23:17:01;16.14;15.18;99.6
2023/06/20 23:37:01;16.08;15.18;99.5
2023/06/20 23:57:01;16.1;15.12;99.5
