Timestamp;T (°C);CT (°C);H (%)
2023/07/04 00:13:35;16.95;16.12;
2023/07/04 00:33:34;16.94;16.06;
2023/07/04 00:53:34;16.89;16.06;99.1
2023/07/04 01:13:34;16.83;;99.2
2023/07/04 01:33:34;16.79;15.93;99.2
2023/07/04 01:53:34;16.78;;99.3
2023/07/04 02:13:33;16.79;;99.2
2023/07/04 02:33:33;16.76;15.93;99.2
2023/07/04 02:53:33;16.72;15.93;99.3
2023/07/04 03:13:33;16.74;15.93;99.3
2023/07/04 03:33:32;16.7;15.93;99.4
2023/07/04 03:53:32;16.7;15.87;99.4
2023/07/04 04:13:32;16.66;15.87;99.5
2023/07/04 04:33:32;16.67;15.87;99.4
2023/07/04 04:53:32;16.67;15.87;99.4
2023/07/04 05:13:31;16.68;15.87;99.4
2023/07/04 05:33:31;16.7;15.87;99.3
2023/07/04 05:53:31;16.68;15.87;99.3
2023/07/04 06:13:31;16.67;15.87;99.3
2023/07/04 06:33:30;16.69;15.87;99.3
2023/07/04 06:53:30;16.7;15.87;99.3
2023/07/04 07:13:30;16.7;15.93;99.3
2023/07/04 07:33:30;16.73;15.93;99.2
2023/07/04 07:53:30;16.76;15.93;99.2
2023/07/04 08:13:29;16.77;15.93;99.3
2023/07/04 08:33:29;16.77;;99.3
2023/07/04 08:53:29;16.83;;99.3
2023/07/04 09:13:29;16.91;16.06;99.3
2023/07/04 09:33:29;16.93;16.12;99.3
2023/07/04 09:53:28;16.93;16.06;99.5
2023/07/04 10:13:28;;16.18;99.5
2023/07/04 10:33:28;17.06;16.25;99.4
2023/07/04 10:53:28;17.08;16.31;99.4
2023/07/04 11:13:27;17.08;16.25;99.3
2023/07/04 11:33:27;17.12;16.31;99.4
2023/07/04 11:53:27;17.19;16.37;99.3
2023/07/04 12:13:27;17.24;16.37;99.3
2023/07/04 12:33:27;17.23;16.37;99.2
2023/07/04 12:53:26;17.29;16.43;99.1
2023/07/04 13:13:26;17.3;16.5;99.1
2023/07/04 13:33:26;17.29;16.43;
2023/07/04 13:53:26;17.37;16.5;
2023/07/04 14:13:26;17.38;16.5;98.8
2023/07/04 14:33:25;17.46;16.5;98.8
2023/07/04 14:53:25;17.48;16.62;98.9
2023/07/04 15:13:25;17.53;16.62;98.9
2023/07/04 15:33:25;17.5;16.62;
2023/07/04 15:53:25;17.48;16.62;
2023/07/04 16:13:24;17.56;16.68;98.9
2023/07/04 16:33:24;17.58;16.62;
2023/07/04 16:53:24;17.6;16.68;98.8
2023/07/04 17:13:23;17.61;16.75;98.7
2023/07/04 17:33:23;17.64;16.68;98.8
2023/07/04 17:53:23;17.53;16.68;98.9
2023/07/04 18:13:23;17.48;16.56;98.9
2023/07/04 18:33:23;17.53;16.68;
2023/07/04 18:53:22;17.51;16.62;99.1
2023/07/04 19:13:22;17.48;16.62;99.3
2023/07/04 19:33:22;17.62;16.62;99.4
2023/07/04 19:53:22;17.5;16.5;99.3
2023/07/04 20:13:21;17.34;16.5;99.6
2023/07/04 20:33:21;17.26;16.43;99.7
2023/07/04 20:53:21;17.27;16.37;99.8
2023/07/04 21:13:21;17.21;16.37;99.9
2023/07/04 21:33:21;17.17;16.37;99.9
2023/07/04 21:53:20;17.16;16.31;99.9
2023/07/04 22:13:20;17.13;16.31;99.9
2023/07/04 22:33:20;17.08;16.25;99.9
2023/07/04 22:53:20;17.03;16.18;99.9
2023/07/04 23:13:20;17.03;16.18;99.9
2023/07/04 23:33:20;;16.18;99.9
2023/07/04 23:53:19;16.94;16.12;99.9
