Timestamp;T (°C);CT (°C);H (%)
2023/07/10 15:35:14;;17.37;84.8
2023/07/10 15:55:04;18.02;17.25;84.3
2023/07/10 16:15:03;18.03;17.18;83.9
2023/07/10 16:35:03;18.05;17.18;83.5
2023/07/10 16:55:03;18.15;17.18;84.9
2023/07/10 17:15:03;18.1;17.18;86.6
2023/07/10 17:35:03;18.42;17.25;84.5
2023/07/10 17:55:03;18.59;17.25;
2023/07/10 18:15:02;18.77;17.25;82.3
2023/07/10 18:35:02;18.61;17.25;84.7
2023/07/10 18:55:02;18.16;17.31;86.6
2023/07/10 19:15:01;18.03;17.31;89.3
2023/07/10 19:35:01;17.95;17.31;
2023/07/10 19:55:01;17.86;17.37;93.7
2023/07/10 20:15:01;17.71;17.43;94.5
2023/07/10 20:35:00;17.59;17.37;94.7
2023/07/10 20:55:00;17.48;17.43;94.8
2023/07/10 21:15:00;17.38;17.37;94.8
2023/07/10 21:35:00;17.29;17.37;94.6
2023/07/10 21:55:00;17.29;17.37;94.5
2023/07/10 22:14:59;17.23;17.31;94.5
2023/07/10 22:34:59;17.18;17.37;94.6
2023/07/10 22:54:59;17.09;17.25;
2023/07/10 23:14:59;17.07;17.25;95.1
2023/07/10 23:34:59;17.06;17.31;95.2
2023/07/10 23:54:58;17.07;17.18;95.1
2023/07/11 00:14:58;17.07;17.25;94.9
2023/07/11 00:34:58;17.03;17.18;95.2
2023/07/11 00:54:58;17.01;17.18;
2023/07/11 01:14:58;16.9;17.25;95.5
2023/07/11 01:34:57;16.9;17.12;95.8
2023/07/11 01:54:57;16.91;17.18;95.8
2023/07/11 02:14:57;16.89;17.18;95.8
2023/07/11 02:34:57;16.82;17.12;96.2
2023/07/11 02:54:57;16.8;17.12;96.3
2023/07/11 03:14:56;16.81;17.12;96.1
2023/07/11 03:34:56;16.79;17.12;96.2
2023/07/11 03:54:56;16.81;17.06;96.1
2023/07/11 04:14:56;16.79;17.12;96.1
2023/07/11 04:34:56;16.75;17.12;96.1
2023/07/11 04:54:55;16.77;17.06;96.1
2023/07/11 05:14:56;16.73;17.06;96.3
2023/07/11 05:34:55;16.71;17.12;96.4
2023/07/11 05:54:55;16.71;17.06;96.3
2023/07/11 06:14:54;16.8;17.06;
2023/07/11 06:34:54;16.82;17.12;95.8
2023/07/11 06:54:54;16.92;17.06;95.6
2023/07/11 07:14:54;16.96;17.06;95.5
2023/07/11 07:34:54;17.05;17.06;95.7
2023/07/11 07:54:53;17.16;17.12;96.1
2023/07/11 08:14:53;17.27;17.25;96.3
2023/07/11 08:34:53;17.45;17.18;96.8
2023/07/11 08:54:53;17.47;17.25;96.7
2023/07/11 09:14:53;17.55;17.43;96.5
2023/07/11 09:34:52;17.95;17.31;96.3
2023/07/11 09:54:52;18.26;17.31;96.1
2023/07/11 10:14:52;18.34;17.31;95.2
2023/07/11 10:34:52;18.52;17.31;94.2
2023/07/11 10:54:52;18.73;17.37;92.4
2023/07/11 11:14:51;18.47;17.5;93.1
2023/07/11 11:34:51;18.38;17.37;93.2
2023/07/11 11:54:51;18.27;17.56;
2023/07/11 12:14:51;18.32;17.5;93.3
2023/07/11 12:34:51;18.37;17.68;92.7
2023/07/11 12:54:50;18.42;17.62;92.2
2023/07/11 13:14:50;18.46;17.56;90.6
2023/07/11 13:34:50;18.44;17.56;89.8
2023/07/11 13:54:50;18.52;17.62;89.1
2023/07/11 14:14:49;18.5;17.75;88.5
2023/07/11 14:34:49;18.57;17.81;88.7
2023/07/11 14:54:49;18.52;17.81;87.8
2023/07/11 15:14:49;18.6;17.81;87.6
2023/07/11 15:34:49;18.62;17.81;87.6
2023/07/11 15:54:48;18.68;17.81;87.2
2023/07/11 16:14:48;18.64;17.81;87.5
2023/07/11 16:34:48;18.7;17.81;87.5
2023/07/11 16:54:48;18.68;17.81;
2023/07/11 17:14:48;19.24;17.81;85.3
2023/07/11 17:34:47;19.47;17.81;84.6
2023/07/11 17:54:47;19.23;17.87;86.1
2023/07/11 18:14:47;18.91;17.87;87.9
2023/07/11 18:34:47;18.77;17.87;88.8
