Timestamp;T (°C);CT (°C);H (%)
2023/05/10 00:13:54;12.47;11.87;99.9
2023/05/10 00:33:54;12.47;11.87;99.9
2023/05/10 01:13:53;12.44;11.87;99.9
2023/05/10 01:33:53;12.44;11.87;99.9
2023/05/10 01:53:53;12.45;11.87;99.9
2023/05/10 02:13:53;12.4;11.87;99.9
2023/05/10 02:33:52;12.4;11.87;99.9
2023/05/10 02:53:52;12.36;11.81;99.9
2023/05/10 03:13:52;12.34;11.81;99.9
2023/05/10 03:33:53;12.35;11.81;99.9
2023/05/10 03:53:51;12.32;11.81;99.9
2023/05/10 04:13:51;12.32;11.81;99.9
2023/05/10 04:33:51;12.31;11.81;99.9
2023/05/10 04:53:51;12.34;11.81;99.9
2023/05/10 05:13:51;12.36;11.81;99.9
2023/05/10 05:33:51;12.32;11.81;99.9
2023/05/10 06:13:50;12.37;11.81;99.9
2023/05/10 06:33:50;12.35;11.81;99.9
2023/05/10 06:53:49;12.33;11.81;99.9
2023/05/10 07:33:49;12.42;11.81;99.9
2023/05/10 07:53:49;12.44;11.81;99.9
2023/05/10 08:13:48;12.47;11.81;99.9
2023/05/10 08:33:48;12.52;11.81;99.9
2023/05/10 08:53:48;12.53;11.87;99.9
2023/05/10 09:13:48;12.57;11.87;99.9
2023/05/10 09:33:47;12.57;11.87;99.9
2023/05/10 10:33:47;12.67;11.93;99.9
2023/05/10 11:13:46;12.67;11.93;99.9
2023/05/10 11:33:47;12.66;11.93;99.9
2023/05/10 12:33:45;12.67;11.93;99.9
2023/05/10 12:53:45;12.67;11.93;99.9
2023/05/10 13:33:45;12.71;;99.9
2023/05/10 14:33:44;12.75;;99.9
2023/05/10 14:53:44;12.75;;99.9
2023/05/10 15:13:43;12.73;;99.9
2023/05/10 15:33:43;12.76;;99.9
2023/05/10 15:53:43;12.74;;99.9
2023/05/10 16:13:43;12.79;;99.9
2023/05/10 16:33:43;12.76;;99.9
2023/05/10 16:53:42;12.74;;99.9
2023/05/10 17:33:42;12.77;12.06;99.9
